Reboilers,,,,
,Phase Comp Mole Frac,350308,350308.Phase Comp Mole Frac.Liquid Phase.H2O,
,Phase Comp Mole Frac,350308,350308.Phase Comp Mole Frac.Vapour Phase.H2O,
350307,Object Name,350307,350307.Object Name,
1,Vapour Fraction,350307,350307.Vapour Fraction,
185.5555556,Temperature,350307,350307.Temperature,
7.908009087,Pressure,350307,350307.Pressure,
405.3642154,Molar Flow,350307,350307.Molar Flow,
7302.677071,Mass Flow,350307,350307.Mass Flow,
,Phase Comp Mole Frac,350307,350307.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350307,350307.Phase Comp Mole Frac.Liquid Phase.H2O,
1,Phase Comp Mole Frac,350307,350307.Phase Comp Mole Frac.Vapour Phase.H2O,
350306,Object Name,350306,350306.Object Name,
1,Vapour Fraction,350306,350306.Vapour Fraction,
121.1111111,Temperature,350306,350306.Temperature,
1.013249966,Pressure,350306,350306.Pressure,
4881.923208,Molar Flow,350306,350306.Molar Flow,
87948.33712,Mass Flow,350306,350306.Mass Flow,
,Phase Comp Mole Frac,350306,350306.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350306,350306.Phase Comp Mole Frac.Liquid Phase.H2O,
1,Phase Comp Mole Frac,350306,350306.Phase Comp Mole Frac.Vapour Phase.H2O,
350305,Object Name,350305,350305.Object Name,
1,Vapour Fraction,350305,350305.Vapour Fraction,
135,Temperature,350305,350305.Temperature,
1.220092738,Pressure,350305,350305.Pressure,
4881.923208,Molar Flow,350305,350305.Molar Flow,
87948.33712,Mass Flow,350305,350305.Mass Flow,
,Phase Comp Mole Frac,350305,350305.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350305,350305.Phase Comp Mole Frac.Liquid Phase.H2O,
1,Phase Comp Mole Frac,350305,350305.Phase Comp Mole Frac.Vapour Phase.H2O,
350304,Object Name,350304,350304.Object Name,
0,Vapour Fraction,350304,350304.Vapour Fraction,
162.7777778,Temperature,350304,350304.Temperature,
7.563271132,Pressure,350304,350304.Pressure,
24229.33333,Molar Flow,350304,350304.Molar Flow,
436493.8745,Mass Flow,350304,350304.Mass Flow,
1,Phase Comp Mole Frac,350304,350304.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350304,350304.Phase Comp Mole Frac.Liquid Phase.H2O,
,Phase Comp Mole Frac,350304,350304.Phase Comp Mole Frac.Vapour Phase.H2O,
350303,Object Name,350303,350303.Object Name,
1,Vapour Fraction,350303,350303.Vapour Fraction,
185.5555556,Temperature,350303,350303.Temperature,
7.908009087,Pressure,350303,350303.Pressure,
24229.33333,Molar Flow,350303,350303.Molar Flow,
436493.8745,Mass Flow,350303,350303.Mass Flow,
,Phase Comp Mole Frac,350303,350303.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350303,350303.Phase Comp Mole Frac.Liquid Phase.H2O,
1,Phase Comp Mole Frac,350303,350303.Phase Comp Mole Frac.Vapour Phase.H2O,
350302,Object Name,350302,350302.Object Name,
1,Vapour Fraction,350302,350302.Vapour Fraction,
170,Temperature,350302,350302.Temperature,
7.563309087,Pressure,350302,350302.Pressure,
1382842.281,Molar Flow,350302,350302.Molar Flow,
24912042.63,Mass Flow,350302,350302.Mass Flow,
,Phase Comp Mole Frac,350302,350302.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350302,350302.Phase Comp Mole Frac.Liquid Phase.H2O,
1,Phase Comp Mole Frac,350302,350302.Phase Comp Mole Frac.Vapour Phase.H2O,
350301,Object Name,350301,350301.Object Name,
1,Vapour Fraction,350301,350301.Vapour Fraction,
185.5555556,Temperature,350301,350301.Temperature,
7.908009087,Pressure,350301,350301.Pressure,
