snap,x,y,h,v,T,r,NOx,NOVOC,CO,SO2,NH3,PM2.5,PM10
4,555760,5933540,2.7,-999,-999,0.05046265,-999,-999,-999,-999,-999,0.75,2.63
4,562687,5930401,18,98.6,50,0.056418958,-999,-999,-999,-999,-999,3.38,11.8
4,564684,5924783,20,0.00778,20,0.075693976,-999,-999,-999,-999,-999,73.7,104
4,562717,5930435,23,50.5,25,0.075693976,-999,-999,-999,-999,-999,81.9,152
4,559016,5929826,5,19.3,11,0.097720502,-999,-999,-999,-999,-999,7.49,26.2
4,562836,5930353,5,14.9,20,0.097720502,-999,-999,-999,-999,-999,38.2,54.1
4,562848,5930368,5,14.9,20,0.097720502,-999,-999,-999,-999,-999,39.9,56.6
4,562785,5930476,16,1.99,20,0.097720502,-999,-999,-999,-999,-999,2.04,2.9
4,562777,5930479,16,1.99,20,0.097720502,-999,-999,-999,-999,-999,2.31,3.28
4,562732,5930408,20,1.88,4,0.097720502,-999,-999,-999,-999,-999,1.33,1.88
4,569690,5932872,28,15,25,0.097720502,-999,-999,-999,-999,-999,0.213,0.302
4,561475,5935689,8,14.2,20,0.099974649,-999,-999,-999,-999,-999,1.67,5.83
4,564202,5929325,8.5,2.48,11,0.105550206,-999,-999,-999,-999,-999,0.09,0.128
4,564196,5929298,10,4.13,11,0.105550206,-999,-999,-999,-999,-999,18,25.5
4,564231,5929284,22,4.13,11,0.105550206,-999,-999,-999,-999,-999,18,25.5
4,564202,5929297,23,2.48,11,0.105550206,-999,-999,-999,-999,-999,1.8,2.55
4,572566,5932195,12,14.4,30,0.119682684,-999,-999,-999,-999,-999,63.5,90
4,564688,5928322,15,144,11,0.125016061,-999,-999,-999,-999,-999,21.7,30.7
4,564624,5925230,21,21.8,15,0.126156626,-999,-999,-999,-999,-999,0.898,3.14
4,564623,5925227,21,21.8,15,0.126156626,-999,-999,-999,-999,-999,5.39,7.63
4,559046,5929936,38,11.5,42,0.126156626,-999,-999,-999,-999,-999,2.47,3.5
4,562703,5930385,12,21.4,13,0.12865502,-999,-999,-999,-999,-999,27.5,38.9
4,561475,5935729,8,3.33,20,0.132314186,-999,-999,-999,-999,-999,11.2,39.3
4,561475,5935729,8,3.33,20,0.132314186,-999,-999,-999,-999,-999,11.2,39.3
4,564644,5925232,11,10,15,0.149270533,-999,-999,-999,-999,-999,3.45,4.89
4,558921,5929871,21,10.9,40,0.149270533,-999,-999,-999,-999,-999,8.85,12.5
4,572970,5930066,35,3.58,20,0.149270533,-999,-999,-999,-999,-999,0.263,0.373
4,564645,5928371,11,83.8,11,0.150015029,-999,-999,-999,-999,-999,73.3,104
4,564387,5928601,12,21.3,11,0.150015029,-999,-999,-999,-999,-999,0.25,0.874
4,564672,5928298,13,37.3,11,0.150015029,-999,-999,-999,-999,-999,17.8,25.2
4,564602,5928462,23,37.3,11,0.150015029,-999,-999,-999,-999,-999,17.8,25.2
4,564717,5928357,24,25.7,11,0.150015029,-999,-999,-999,-999,-999,14,19.8
4,564669,5928298,24,37.3,11,0.150015029,-999,-999,-999,-999,-999,17.8,25.2
4,564665,5928304,27,37.3,11,0.150015029,-999,-999,-999,-999,-999,9.31,16.7
4,564606,5928458,27,37.3,11,0.150015029,-999,-999,-999,-999,-999,17.8,25.2
4,564353,5928573,35,21.3,11,0.150015029,-999,-999,-999,-999,-999,1.5,2.12
4,564684,5928304,75,37.3,11,0.150015029,-999,-999,-999,-999,-999,9.31,16.7
4,562792,5930389,12,11,17,0.154509681,-999,-999,-999,-999,-999,11.5,16.3
4,564586,5925226,25,22,15,0.159576912,-999,-999,-999,-999,-999,12.7,18
4,564587,5925229,25,22.1,16,0.159576912,-999,-999,-999,-999,-999,20.8,29.4
4,564590,5925237,28,15.3,14,0.159576912,-999,-999,-999,-999,-999,2.67,3.78
4,572526,5932203,12,14.6,20,0.164488116,-999,-999,-999,-999,-999,70,130
4,564701,5928359,17,62.4,11,0.174989746,-999,-999,-999,-999,-999,43.3,61.4
4,564700,5928375,17,62.4,11,0.174989746,-999,-999,-999,-999,-999,43.3,61.4
4,564304,5928629,52,45.1,11,0.174989746,-999,-999,-999,-999,-999,78.1,111
4,564720,5928243,75,41.9,11,0.174989746,-999,-999,-999,-999,-999,22.3,35.1
4,564720,5928243,75,41.9,11,0.174989746,-999,-999,-999,-999,-999,30.8,43.6
4,564720,5928243,75,41.9,11,0.174989746,-999,-999,-999,-999,-999,30.8,43.6
4,564707,5928346,25,18.8,11,0.176619277,-999,-999,-999,-999,-999,14.2,20.1
4,574965,5931920,4,16.4,20,0.178412412,-999,-999,-999,-999,-999,347,492
4,564643,5925227,11,20.9,12,0.178412412,-999,-999,-999,-999,-999,8.62,12.2
4,565190,5941701,12.1,12,26,0.178412412,-999,-999,-999,-999,-999,1.58,2.23
4,564593,5925240,28,24.8,5,0.178412412,-999,-999,-999,-999,-999,10.6,15
4,564592,5925238,28,17.6,15,0.178412412,-999,-999,-999,-999,-999,20.8,29.4
4,562875,5930351,40,20.9,20,0.178412412,-999,-999,-999,-999,-999,26.4,37.4
4,562761,5930425,22,118,40,0.185411617,-999,-999,-999,-999,-999,0.0208,0.0295
4,564639,5925229,17,24.9,15,0.187120516,-999,-999,-999,-999,-999,11.2,15.9
4,562581,5930450,6,1.22,26,0.195441005,-999,-999,-999,-999,-999,0.0025,0.00353
4,564629,5925182,18,11.6,12,0.195441005,-999,-999,-999,-999,-999,5.71,8.08
4,564585,5925223,25,31.4,14.4,0.19947114,-999,-999,-999,-999,-999,28.6,40.5
4,564742,5928248,7,53.2,11,0.200267435,-999,-999,-999,-999,-999,48.2,68.3
4,564288,5928634,23,34.5,11,0.200267435,-999,-999,-999,-999,-999,58.5,82.9
4,564278,5928636,23,34.5,11,0.200267435,-999,-999,-999,-999,-999,58.5,82.9
4,564710,5928273,62,26.2,11,0.200267435,-999,-999,-999,-999,-999,74.4,105
4,564709,5928277,62,26.2,11,0.200267435,-999,-999,-999,-999,-999,74.4,105
4,564707,5928280,44,68.6,11,0.201850602,-999,-999,-999,-999,-999,196,278
4,558986,5929786,9,8.47,11,0.203421447,-999,-999,-999,-999,-999,1.78,6.23
4,559006,5929856,9,26.7,11,0.203421447,-999,-999,-999,-999,-999,12,41.9
4,565194,5941704,12.1,25.7,26,0.203421447,-999,-999,-999,-999,-999,3.86,5.46
4,564603,5925240,20,2.7,15,0.203421447,-999,-999,-999,-999,-999,2.32,3.29
4,562734,5930352,30,8.79,15,0.203421447,-999,-999,-999,-999,-999,16.4,23.3
4,562738,5930367,40,18.3,16,0.203421447,-999,-999,-999,-999,-999,0.0342,0.0484
4,565293,5926828,3,26.1,15,0.218509686,-999,-999,-999,-999,-999,21.1,29.8
4,574960,5931915,4,20.4,20,0.218509686,-999,-999,-999,-999,-999,645,914
4,565189,5941700,12.1,29.3,26,0.225675833,-999,-999,-999,-999,-999,0.904,1.28
4,565192,5941703,12.1,13.5,26,0.225675833,-999,-999,-999,-999,-999,2.85,4.03
4,572618,5932114,17,6.59,20,0.225675833,-999,-999,-999,-999,-999,21.1,38
4,559056,5930386,17,20.3,17,0.225675833,-999,-999,-999,-999,-999,79.3,112
4,559001,5929801,18,13.7,11,0.225675833,-999,-999,-999,-999,-999,164,233
4,559031,5929786,36,6.99,9,0.225675833,-999,-999,-999,-999,-999,58.9,83.4
4,559116,5929941,43,27.7,13,0.225675833,-999,-999,-999,-999,-999,107,152
