primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age,,
coal_biomass,supercritical,47,700,450,47.24,2958750.00,14,,
coal_biomass,supercritical,47,800,514.24,45.84,3381128.00,14,,
coal_biomass,supercritical,47,900,578.56,44.68,3804032.00,14,,
coal_biomass,supercritical,47,1000,642.8,43.7,4226410.00,14,,
coal_biomass,supercritical,47,1100,707.04,42.86,4648788.00,14,,
coal_biomass,supercritical,47,1200,771.36,42.11,5071692.00,14,,
coal_biomass,supercritical,47,1300,836,41.44,5496700.00,14,,
coal_biomass,supercritical,47,1400,900,40.84,5917500.00,14,,
coal_biomass,supercritical,47,1500,964,40.29,6338300.00,14,,
coal_biomass,supercritical,47,1600,1028.8,39.91,6764360.00,14,,
coal_biomass,supercritical,47,1700,1092.8,39.56,7185160.00,14,,
coal_biomass,supercritical,47,1800,1156.8,39.25,7605960.00,14,,
coal_biomass,supercritical,47,1900,1221.6,38.98,8032020.00,14,,
coal_biomass,supercritical,47,2000,1285.6,38.72,8452820.00,14,,
coal_biomass,supercritical,47,2100,1349.6,38.49,8873620.00,14,,
coal_biomass,supercritical,47,2200,1414.4,38.28,9299680.00,14,,
coal_biomass,supercritical,47,2300,1478.4,38.08,9720480.00,14,,
coal_biomass,supercritical,47,2400,1542.4,37.9,10141280.00,14,,
coal_biomass,supercritical,47,2500,1607.2,37.73,10567340.00,14,,
coal_biomass,supercritical,50,100,64.336,88.32,423009.20,15,,
coal_biomass,supercritical,50,200,128.64,66.63,845808.00,15,,
coal_biomass,supercritical,50,300,192.88,58.22,1268186.00,15,,
coal_biomass,supercritical,50,400,257.12,53.51,1690564.00,15,,
coal_biomass,supercritical,50,500,321.44,50.42,2113468.00,15,,
coal_biomass,supercritical,50,600,385.68,48.18,2535846.00,15,,
coal_biomass,supercritical,50,700,450,46.46,2958750.00,15,,
coal_biomass,supercritical,50,800,514.24,45.09,3381128.00,15,,
coal_biomass,supercritical,50,900,578.56,43.95,3804032.00,15,,
coal_biomass,supercritical,50,1000,642.8,42.99,4226410.00,15,,
coal_biomass,supercritical,50,1100,707.04,42.16,4648788.00,15,,
coal_biomass,supercritical,50,1200,771.36,41.42,5071692.00,15,,
coal_biomass,supercritical,50,1300,836,40.77,5496700.00,15,,
coal_biomass,supercritical,50,1400,900,40.17,5917500.00,15,,
coal_biomass,supercritical,50,1500,964,39.63,6338300.00,15,,
coal_biomass,supercritical,50,1600,1028.8,39.25,6764360.00,15,,
coal_biomass,supercritical,50,1700,1092.8,38.92,7185160.00,15,,
coal_biomass,supercritical,50,1800,1156.8,38.61,7605960.00,15,,
coal_biomass,supercritical,50,1900,1221.6,38.34,8032020.00,15,,
coal_biomass,supercritical,50,2000,1285.6,38.09,8452820.00,15,,
coal_biomass,supercritical,50,2100,1349.6,37.87,8873620.00,15,,
coal_biomass,supercritical,50,2200,1414.4,37.66,9299680.00,15,,
coal_biomass,supercritical,50,2300,1478.4,37.46,9720480.00,15,,
coal_biomass,supercritical,50,2400,1542.4,37.28,10141280.00,15,,
coal_biomass,supercritical,50,2500,1607.2,37.11,10567340.00,15,,
coal_biomass,supercritical,53,100,64.336,87.11,423009.20,16,,
coal_biomass,supercritical,53,200,128.64,65.6,845808.00,16,,
coal_biomass,supercritical,53,300,192.88,57.28,1268186.00,16,,
coal_biomass,supercritical,53,400,257.12,52.64,1690564.00,16,,
coal_biomass,supercritical,53,500,321.44,49.59,2113468.00,16,,
coal_biomass,supercritical,53,600,385.68,47.38,2535846.00,16,,
coal_biomass,supercritical,53,700,450,45.69,2958750.00,16,,
coal_biomass,supercritical,53,800,514.24,44.34,3381128.00,16,,
coal_biomass,supercritical,53,900,578.56,43.22,3804032.00,16,,
coal_biomass,supercritical,53,1000,642.8,42.28,4226410.00,16,,
coal_biomass,supercritical,53,1100,707.04,41.46,4648788.00,16,,
coal_biomass,supercritical,53,1200,771.36,40.73,5071692.00,16,,
coal_biomass,supercritical,53,1300,836,40.09,5496700.00,16,,
coal_biomass,supercritical,53,1400,900,39.51,5917500.00,16,,
coal_biomass,supercritical,53,1500,964,38.97,6338300.00,16,,
coal_biomass,supercritical,53,1600,1028.8,38.6,6764360.00,16,,
coal_biomass,supercritical,53,1700,1092.8,38.27,7185160.00,16,,
coal_biomass,supercritical,53,1800,1156.8,37.98,7605960.00,16,,
coal_biomass,supercritical,53,1900,1221.6,37.71,8032020.00,16,,
coal_biomass,supercritical,53,2000,1285.6,37.46,8452820.00,16,,
coal_biomass,supercritical,53,2100,1349.6,37.24,8873620.00,16,,
coal_biomass,supercritical,53,2200,1414.4,37.03,9299680.00,16,,
