primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
anthracite,subcritical,47,900,576.7,48.34,3791802.50,14
anthracite,subcritical,47,1000,640.8,47.49,4213260.00,14
anthracite,subcritical,47,1100,704.8,46.75,4634060.00,14
anthracite,subcritical,47,1200,768.9,46.1,5055517.50,14
anthracite,subcritical,47,1300,833,45.51,5476975.00,14
anthracite,subcritical,47,1400,897,45.05,5897775.00,14
anthracite,subcritical,47,1500,961.1,44.71,6319232.50,14
anthracite,subcritical,47,1600,1025,44.41,6739375.00,14
anthracite,subcritical,47,1700,1089,44.15,7160175.00,14
anthracite,subcritical,47,1800,1153,43.91,7580975.00,14
anthracite,subcritical,47,1900,1217,43.7,8001775.00,14
anthracite,subcritical,47,2000,1281,43.5,8422575.00,14
anthracite,subcritical,47,2100,1346,43.32,8849950.00,14
anthracite,subcritical,47,2200,1410,43.16,9270750.00,14
anthracite,subcritical,47,2300,1474,43.01,9691550.00,14
anthracite,subcritical,47,2400,1538,42.86,10112350.00,14
anthracite,subcritical,47,2500,1602,42.73,10533150.00,14
anthracite,subcritical,50,100,64.12,86.75,421589.00,15
anthracite,subcritical,50,200,128.2,67.45,842915.00,15
anthracite,subcritical,50,300,192.3,60.07,1264372.50,15
anthracite,subcritical,50,400,256.3,55.98,1685172.50,15
anthracite,subcritical,50,500,320.4,53.31,2106630.00,15
anthracite,subcritical,50,600,384.5,51.38,2528087.50,15
anthracite,subcritical,50,700,448.6,49.9,2949545.00,15
anthracite,subcritical,50,800,512.6,48.72,3370345.00,15
anthracite,subcritical,50,900,576.7,47.74,3791802.50,15
anthracite,subcritical,50,1000,640.8,46.9,4213260.00,15
anthracite,subcritical,50,1100,704.8,46.18,4634060.00,15
anthracite,subcritical,50,1200,768.9,45.53,5055517.50,15
anthracite,subcritical,50,1300,833,44.96,5476975.00,15
anthracite,subcritical,50,1400,897,44.5,5897775.00,15
anthracite,subcritical,50,1500,961.1,44.16,6319232.50,15
anthracite,subcritical,50,1600,1025,43.87,6739375.00,15
anthracite,subcritical,50,1700,1089,43.61,7160175.00,15
anthracite,subcritical,50,1800,1153,43.38,7580975.00,15
anthracite,subcritical,50,1900,1217,43.17,8001775.00,15
anthracite,subcritical,50,2000,1281,42.98,8422575.00,15
anthracite,subcritical,50,2100,1346,42.8,8849950.00,15
anthracite,subcritical,50,2200,1410,42.64,9270750.00,15
anthracite,subcritical,50,2300,1474,42.49,9691550.00,15
anthracite,subcritical,50,2400,1538,42.34,10112350.00,15
anthracite,subcritical,50,2500,1602,42.21,10533150.00,15
anthracite,subcritical,53,100,64.12,85.77,421589.00,16
anthracite,subcritical,53,200,128.2,66.61,842915.00,16
anthracite,subcritical,53,300,192.3,59.31,1264372.50,16
anthracite,subcritical,53,400,256.3,55.27,1685172.50,16
anthracite,subcritical,53,500,320.4,52.63,2106630.00,16
anthracite,subcritical,53,600,384.5,50.72,2528087.50,16
anthracite,subcritical,53,700,448.6,49.27,2949545.00,16
anthracite,subcritical,53,800,512.6,48.1,3370345.00,16
anthracite,subcritical,53,900,576.7,47.14,3791802.50,16
anthracite,subcritical,53,1000,640.8,46.32,4213260.00,16
anthracite,subcritical,53,1100,704.8,45.6,4634060.00,16
anthracite,subcritical,53,1200,768.9,44.97,5055517.50,16
anthracite,subcritical,53,1300,833,44.4,5476975.00,16
anthracite,subcritical,53,1400,897,43.95,5897775.00,16
anthracite,subcritical,53,1500,961.1,43.62,6319232.50,16
anthracite,subcritical,53,1600,1025,43.33,6739375.00,16
anthracite,subcritical,53,1700,1089,43.07,7160175.00,16
anthracite,subcritical,53,1800,1153,42.85,7580975.00,16
anthracite,subcritical,53,1900,1217,42.64,8001775.00,16
anthracite,subcritical,53,2000,1281,42.45,8422575.00,16
anthracite,subcritical,53,2100,1346,42.28,8849950.00,16
anthracite,subcritical,53,2200,1410,42.11,9270750.00,16
anthracite,subcritical,53,2300,1474,41.96,9691550.00,16
anthracite,subcritical,53,2400,1538,41.82,10112350.00,16
anthracite,subcritical,53,2500,1602,41.69,10533150.00,16
anthracite,subcritical,57,100,64.12,84.46,421589.00,17
anthracite,subcritical,57,200,128.2,65.5,842915.00,17
anthracite,subcritical,57,300,192.3,58.3,1264372.50,17
anthracite,subcritical,57,400,256.3,54.32,1685172.50,17
anthracite,subcritical,57,500,320.4,51.72,2106630.00,17
anthracite,subcritical,57,600,384.5,49.85,2528087.50,17
anthracite,subcritical,57,700,448.6,48.43,2949545.00,17
anthracite,subcritical,57,800,512.6,47.29,3370345.00,17
anthracite,subcritical,57,900,576.7,46.34,3791802.50,17
anthracite,subcritical,57,1000,640.8,45.53,4213260.00,17
anthracite,subcritical,57,1100,704.8,44.83,4634060.00,17
anthracite,subcritical,57,1200,768.9,44.21,5055517.50,17
anthracite,subcritical,57,1300,833,43.65,5476975.00,17
anthracite,subcritical,57,1400,897,43.21,5897775.00,17
anthracite,subcritical,57,1500,961.1,42.89,6319232.50,17
anthracite,subcritical,57,1600,1025,42.61,6739375.00,17
