primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
coal,ultrasupercritical,30.00,2500.00,1738.00,41.61,11427350.00,9.00
coal,ultrasupercritical,33.00,100.00,69.57,96.79,457422.75,10.00
coal,ultrasupercritical,33.00,200.00,139.10,73.83,914582.50,10.00
coal,ultrasupercritical,33.00,300.00,208.60,64.77,1371545.00,10.00
coal,ultrasupercritical,33.00,400.00,278.10,59.64,1828507.50,10.00
coal,ultrasupercritical,33.00,500.00,347.60,56.23,2285470.00,10.00
coal,ultrasupercritical,33.00,600.00,417.10,53.75,2742432.50,10.00
coal,ultrasupercritical,33.00,700.00,486.60,51.84,3199395.00,10.00
coal,ultrasupercritical,33.00,800.00,556.10,50.31,3656357.50,10.00
coal,ultrasupercritical,33.00,900.00,625.60,49.04,4113320.00,10.00
coal,ultrasupercritical,33.00,1000.00,695.10,47.97,4570282.50,10.00
coal,ultrasupercritical,33.00,1100.00,764.60,47.04,5027245.00,10.00
coal,ultrasupercritical,33.00,1200.00,834.10,46.23,5484207.50,10.00
coal,ultrasupercritical,33.00,1300.00,903.60,45.51,5941170.00,10.00
coal,ultrasupercritical,33.00,1400.00,973.10,44.86,6398132.50,10.00
coal,ultrasupercritical,33.00,1500.00,1043.00,44.28,6857725.00,10.00
coal,ultrasupercritical,33.00,1600.00,1112.00,43.74,7311400.00,10.00
coal,ultrasupercritical,33.00,1700.00,1182.00,43.25,7771650.00,10.00
coal,ultrasupercritical,33.00,1800.00,1251.00,42.79,8225325.00,10.00
coal,ultrasupercritical,33.00,1900.00,1321.00,42.45,8685575.00,10.00
coal,ultrasupercritical,33.00,2000.00,1390.00,42.14,9139250.00,10.00
coal,ultrasupercritical,33.00,2100.00,1460.00,41.86,9599500.00,10.00
coal,ultrasupercritical,33.00,2200.00,1529.00,41.60,10053175.00,10.00
coal,ultrasupercritical,33.00,2300.00,1599.00,41.36,10513425.00,10.00
coal,ultrasupercritical,33.00,2400.00,1668.00,41.14,10967100.00,10.00
coal,ultrasupercritical,33.00,2500.00,1738.00,40.93,11427350.00,10.00
coal,ultrasupercritical,37.00,100.00,69.57,94.98,457422.75,11.00
coal,ultrasupercritical,37.00,200.00,139.10,72.30,914582.50,11.00
coal,ultrasupercritical,37.00,300.00,208.60,63.38,1371545.00,11.00
coal,ultrasupercritical,37.00,400.00,278.10,58.33,1828507.50,11.00
coal,ultrasupercritical,37.00,500.00,347.60,54.99,2285470.00,11.00
coal,ultrasupercritical,37.00,600.00,417.10,52.56,2742432.50,11.00
coal,ultrasupercritical,37.00,700.00,486.60,50.69,3199395.00,11.00
coal,ultrasupercritical,37.00,800.00,556.10,49.19,3656357.50,11.00
coal,ultrasupercritical,37.00,900.00,625.60,47.95,4113320.00,11.00
coal,ultrasupercritical,37.00,1000.00,695.10,46.90,4570282.50,11.00
coal,ultrasupercritical,37.00,1100.00,764.60,46.00,5027245.00,11.00
coal,ultrasupercritical,37.00,1200.00,834.10,45.20,5484207.50,11.00
coal,ultrasupercritical,37.00,1300.00,903.60,44.50,5941170.00,11.00
coal,ultrasupercritical,37.00,1400.00,973.10,43.86,6398132.50,11.00
coal,ultrasupercritical,37.00,1500.00,1043.00,43.29,6857725.00,11.00
coal,ultrasupercritical,37.00,1600.00,1112.00,42.77,7311400.00,11.00
coal,ultrasupercritical,37.00,1700.00,1182.00,42.29,7771650.00,11.00
coal,ultrasupercritical,37.00,1800.00,1251.00,41.84,8225325.00,11.00
coal,ultrasupercritical,37.00,1900.00,1321.00,41.51,8685575.00,11.00
coal,ultrasupercritical,37.00,2000.00,1390.00,41.21,9139250.00,11.00
coal,ultrasupercritical,37.00,2100.00,1460.00,40.93,9599500.00,11.00
coal,ultrasupercritical,37.00,2200.00,1529.00,40.68,10053175.00,11.00
coal,ultrasupercritical,37.00,2300.00,1599.00,40.45,10513425.00,11.00
coal,ultrasupercritical,37.00,2400.00,1668.00,40.23,10967100.00,11.00
coal,ultrasupercritical,37.00,2500.00,1738.00,40.03,11427350.00,11.00
coal,ultrasupercritical,40.00,100.00,69.57,93.63,457422.75,12.00
coal,ultrasupercritical,40.00,200.00,139.10,71.15,914582.50,12.00
coal,ultrasupercritical,40.00,300.00,208.60,62.33,1371545.00,12.00
coal,ultrasupercritical,40.00,400.00,278.10,57.35,1828507.50,12.00
coal,ultrasupercritical,40.00,500.00,347.60,54.05,2285470.00,12.00
coal,ultrasupercritical,40.00,600.00,417.10,51.66,2742432.50,12.00
coal,ultrasupercritical,40.00,700.00,486.60,49.82,3199395.00,12.00
coal,ultrasupercritical,40.00,800.00,556.10,48.35,3656357.50,12.00
coal,ultrasupercritical,40.00,900.00,625.60,47.13,4113320.00,12.00
coal,ultrasupercritical,40.00,1000.00,695.10,46.10,4570282.50,12.00
coal,ultrasupercritical,40.00,1100.00,764.60,45.21,5027245.00,12.00
coal,ultrasupercritical,40.00,1200.00,834.10,44.43,5484207.50,12.00
coal,ultrasupercritical,40.00,1300.00,903.60,43.74,5941170.00,12.00
coal,ultrasupercritical,40.00,1400.00,973.10,43.12,6398132.50,12.00
coal,ultrasupercritical,40.00,1500.00,1043.00,42.55,6857725.00,12.00
coal,ultrasupercritical,40.00,1600.00,1112.00,42.04,7311400.00,12.00
coal,ultrasupercritical,40.00,1700.00,1182.00,41.57,7771650.00,12.00
coal,ultrasupercritical,40.00,1800.00,1251.00,41.13,8225325.00,12.00
coal,ultrasupercritical,40.00,1900.00,1321.00,40.80,8685575.00,12.00
coal,ultrasupercritical,40.00,2000.00,1390.00,40.51,9139250.00,12.00
coal,ultrasupercritical,40.00,2100.00,1460.00,40.24,9599500.00,12.00
coal,ultrasupercritical,40.00,2200.00,1529.00,39.99,10053175.00,12.00
coal,ultrasupercritical,40.00,2300.00,1599.00,39.76,10513425.00,12.00
coal,ultrasupercritical,40.00,2400.00,1668.00,39.55,10967100.00,12.00
coal,ultrasupercritical,40.00,2500.00,1738.00,39.35,11427350.00,12.00
coal,ultrasupercritical,43.00,100.00,69.57,92.27,457422.75,13.00
coal,ultrasupercritical,43.00,200.00,139.10,70.00,914582.50,13.00
coal,ultrasupercritical,43.00,300.00,208.60,61.28,1371545.00,13.00
coal,ultrasupercritical,43.00,400.00,278.10,56.37,1828507.50,13.00
coal,ultrasupercritical,43.00,500.00,347.60,53.12,2285470.00,13.00
coal,ultrasupercritical,43.00,600.00,417.10,50.77,2742432.50,13.00
coal,ultrasupercritical,43.00,700.00,486.60,48.96,3199395.00,13.00
coal,ultrasupercritical,43.00,800.00,556.10,47.51,3656357.50,13.00
coal,ultrasupercritical,43.00,900.00,625.60,46.31,4113320.00,13.00
coal,ultrasupercritical,43.00,1000.00,695.10,45.30,4570282.50,13.00
coal,ultrasupercritical,43.00,1100.00,764.60,44.42,5027245.00,13.00
coal,ultrasupercritical,43.00,1200.00,834.10,43.66,5484207.50,13.00
