primary_fuel,generation_technology,capacity_MW,amortization_rate,CO2_emission_rate_ton_hr,marginal_cost_MWh,annual_emission_ton,age
natural_gas,CCGT,2000,47,716.43,34.2,4706945.1,14
natural_gas,CCGT,2000,50,716.43,33.984,4706945.1,15
natural_gas,CCGT,2000,53,716.43,33.768,4706945.1,16
natural_gas,CCGT,2000,57,716.43,33.48,4706945.1,17
natural_gas,CCGT,2000,60,716.43,33.264,4706945.1,18
natural_gas,CCGT,2000,63,716.43,33.048,4706945.1,19
natural_gas,CCGT,2000,67,716.43,32.76,4706945.1,20
natural_gas,CCGT,2000,70,716.43,32.544,4706945.1,21
natural_gas,CCGT,2000,73,716.43,32.328,4706945.1,22
natural_gas,CCGT,2000,77,716.43,32.04,4706945.1,23
natural_gas,CCGT,2000,80,716.43,31.818,4706945.1,24
natural_gas,CCGT,2000,83,716.43,31.602,4706945.1,25
natural_gas,CCGT,2000,87,716.43,31.314,4706945.1,26
natural_gas,CCGT,2000,90,716.43,31.098,4706945.1,27
natural_gas,CCGT,2000,93,716.43,30.882,4706945.1,28
natural_gas,CCGT,2000,97,716.43,30.594,4706945.1,29
natural_gas,CCGT,2000,100,716.43,30.378,4706945.1,30
natural_gas,CCGT,2500,3,895.12,37.29,5880938.4,1
natural_gas,CCGT,2500,7,895.12,37.002,5880938.4,2
natural_gas,CCGT,2500,10,895.12,36.786,5880938.4,3
natural_gas,CCGT,2500,13,895.12,36.57,5880938.4,4
natural_gas,CCGT,2500,17,895.12,36.282,5880938.4,5
natural_gas,CCGT,2500,20,895.12,36.066,5880938.4,6
natural_gas,CCGT,2500,23,895.12,35.85,5880938.4,7
natural_gas,CCGT,2500,27,895.12,35.562,5880938.4,8
natural_gas,CCGT,2500,30,895.12,35.352,5880938.4,9
natural_gas,CCGT,2500,33,895.12,35.136,5880938.4,10
natural_gas,CCGT,2500,37,895.12,34.848,5880938.4,11
natural_gas,CCGT,2500,40,895.12,34.632,5880938.4,12
natural_gas,CCGT,2500,43,895.12,34.416,5880938.4,13
natural_gas,CCGT,2500,47,895.12,34.128,5880938.4,14
natural_gas,CCGT,2500,50,895.12,33.912,5880938.4,15
natural_gas,CCGT,2500,53,895.12,33.696,5880938.4,16
natural_gas,CCGT,2500,57,895.12,33.414,5880938.4,17
natural_gas,CCGT,2500,60,895.12,33.198,5880938.4,18
natural_gas,CCGT,2500,63,895.12,32.982,5880938.4,19
natural_gas,CCGT,2500,67,895.12,32.694,5880938.4,20
natural_gas,CCGT,2500,70,895.12,32.478,5880938.4,21
natural_gas,CCGT,2500,73,895.12,32.262,5880938.4,22
natural_gas,CCGT,2500,77,895.12,31.974,5880938.4,23
natural_gas,CCGT,2500,80,895.12,31.764,5880938.4,24
natural_gas,CCGT,2500,83,895.12,31.548,5880938.4,25
natural_gas,CCGT,2500,87,895.12,31.26,5880938.4,26
natural_gas,CCGT,2500,90,895.12,31.044,5880938.4,27
natural_gas,CCGT,2500,93,895.12,30.828,5880938.4,28
natural_gas,CCGT,2500,97,895.12,30.54,5880938.4,29
natural_gas,CCGT,2500,100,895.12,30.324,5880938.4,30
