Old IRI,New IRI
http://www.theworldavatar.com/kb/ontospecies/s00004372.owl/Species_7258073011326400,http://www.theworldavatar.com/kb/ontospecies/Species_d444b030-3656-4410-8c7b-9312dc9961cb
http://www.theworldavatar.com/kb/ontospecies/s00004376.owl/Species_7258073364636900,http://www.theworldavatar.com/kb/ontospecies/Species_b5642744-e411-4e74-8d70-08dbe1e39797
http://www.theworldavatar.com/kb/ontospecies/s00004383.owl/Species_7258073954809300,http://www.theworldavatar.com/kb/ontospecies/Species_9f218b08-05c6-488f-ae8c-0aad7da57508
http://www.theworldavatar.com/kb/ontospecies/s00004384.owl/Species_7258074038829700,http://www.theworldavatar.com/kb/ontospecies/Species_e10df2bb-9798-4c72-828b-1cfd6b967a0a
http://www.theworldavatar.com/kb/ontospecies/s00004533.owl/Species_7258087329145500,http://www.theworldavatar.com/kb/ontospecies/Species_799e5430-f3ae-43c0-a02e-f1f9a7164143
http://www.theworldavatar.com/kb/ontospecies/s00004534.owl/Species_7258087419950400,http://www.theworldavatar.com/kb/ontospecies/Species_cde61822-fbcd-4ee3-b56d-b8f277b00000
http://www.theworldavatar.com/kb/ontospecies/s00004536.owl/Species_7258087593788900,http://www.theworldavatar.com/kb/ontospecies/Species_5719aa5a-b2a7-4c99-b276-2201cf5c92d8
http://www.theworldavatar.com/kb/ontospecies/s00004537.owl/Species_7258087675256000,http://www.theworldavatar.com/kb/ontospecies/Species_0ca50a74-c772-46d5-95d7-aece9e96d1e7
http://www.theworldavatar.com/kb/ontospecies/s00004538.owl/Species_7258087749745500,http://www.theworldavatar.com/kb/ontospecies/Species_0fab244a-e9bb-4143-bb39-76198ecf750d
http://www.theworldavatar.com/kb/ontospecies/s00004539.owl/Species_7258087849347700,http://www.theworldavatar.com/kb/ontospecies/Species_f7231649-db01-467c-9355-44813832d221
http://www.theworldavatar.com/kb/ontospecies/s00004598.owl/Species_7258093299563000,http://www.theworldavatar.com/kb/ontospecies/Species_10f8db59-4d8e-4a43-89eb-5b1d9c7e9821
http://www.theworldavatar.com/kb/ontospecies/s00004599.owl/Species_7258093374555500,http://www.theworldavatar.com/kb/ontospecies/Species_8e464df3-ba41-4b9a-aa72-466d54c6e2fd
http://www.theworldavatar.com/kb/ontospecies/s00004601.owl/Species_7258093542206100,http://www.theworldavatar.com/kb/ontospecies/Species_a0324a14-466c-4efd-9212-1f26c984db8d
http://www.theworldavatar.com/kb/ontospecies/s00004602.owl/Species_7258093617078400,http://www.theworldavatar.com/kb/ontospecies/Species_793ebc48-c552-4a74-85a8-90e0b9bc8e1d
http://www.theworldavatar.com/kb/ontospecies/s00004603.owl/Species_7258093719987600,http://www.theworldavatar.com/kb/ontospecies/Species_00e0e336-4c75-4d5c-9242-29b4c9aacbff
http://www.theworldavatar.com/kb/ontospecies/s00004604.owl/Species_7258093817592000,http://www.theworldavatar.com/kb/ontospecies/Species_51949c88-4c82-40d9-af73-b47f59fac77a
http://www.theworldavatar.com/kb/ontospecies/s00004615.owl/Species_7258094836653600,http://www.theworldavatar.com/kb/ontospecies/Species_8b4e661c-11cb-4296-b3d1-4cbca0a0237c
http://www.theworldavatar.com/kb/ontospecies/s00004625.owl/Species_7258095730951700,http://www.theworldavatar.com/kb/ontospecies/Species_5a165fec-28f2-4b69-8bab-75919ac50307
http://www.theworldavatar.com/kb/ontospecies/s00004692.owl/Species_7258101739704100,http://www.theworldavatar.com/kb/ontospecies/Species_d638f1e4-bcf4-4d52-b999-dc6822fb72a1
http://www.theworldavatar.com/kb/ontospecies/s00004693.owl/Species_7258101824603000,http://www.theworldavatar.com/kb/ontospecies/Species_7e8d571f-1a2e-4130-a27d-7f03fe9cafba
http://www.theworldavatar.com/kb/ontospecies/s00004694.owl/Species_7258101918471400,http://www.theworldavatar.com/kb/ontospecies/Species_6ff0d6ca-b9a3-4c9a-89a8-26475f8e638e
http://www.theworldavatar.com/kb/ontospecies/s00008640.owl/Species_7258546950000800,http://www.theworldavatar.com/kb/ontospecies/Species_e179b9f4-ab21-4f46-b83a-0065ce2553b2
http://www.theworldavatar.com/kb/ontospecies/s00008670.owl/Species_7258551108611000,http://www.theworldavatar.com/kb/ontospecies/Species_48076567-dfe1-4d4a-93c1-20946ba68bf6
http://www.theworldavatar.com/kb/ontospecies/s00008672.owl/Species_7258551363062500,http://www.theworldavatar.com/kb/ontospecies/Species_0092c497-ad02-458d-a1cb-7be57784a159
http://www.theworldavatar.com/kb/ontospecies/s00008729.owl/Species_7258559357316100,http://www.theworldavatar.com/kb/ontospecies/Species_7cba9b1d-79c6-4df4-ae92-eaedb7476f20
http://www.theworldavatar.com/kb/ontospecies/s00009010.owl/Species_7258598915178300,http://www.theworldavatar.com/kb/ontospecies/Species_afe27844-7010-49fa-9674-73be295bf11d
http://www.theworldavatar.com/kb/ontospecies/s00009076.owl/Species_7258608447642500,http://www.theworldavatar.com/kb/ontospecies/Species_cba9378c-b272-45b1-a614-52c80d11ba0f
http://www.theworldavatar.com/kb/ontospecies/s00009089.owl/Species_7258610739177200,http://www.theworldavatar.com/kb/ontospecies/Species_008ee48a-78a8-4d7b-84e9-897d691cde24
http://www.theworldavatar.com/kb/ontospecies/s00009173.owl/Species_7258625334369800,http://www.theworldavatar.com/kb/ontospecies/Species_f7194422-7fc7-4c05-ab1a-e64a12df4cde
http://www.theworldavatar.com/kb/ontospecies/s00009174.owl/Species_7258625512592100,http://www.theworldavatar.com/kb/ontospecies/Species_0ab3dbfa-d3ce-4c7c-be5b-660e3601b6e2
http://www.theworldavatar.com/kb/ontospecies/s00009193.owl/Species_7258628267260600,http://www.theworldavatar.com/kb/ontospecies/Species_1e7d8a91-2ea9-4c75-b9ed-8396f13573bb
http://www.theworldavatar.com/kb/ontospecies/s00009219.owl/Species_7258632113304300,http://www.theworldavatar.com/kb/ontospecies/Species_bbfd8e83-6c58-4ff3-820c-2095d2ab6998
http://www.theworldavatar.com/kb/ontospecies/s00009221.owl/Species_7258632344024100,http://www.theworldavatar.com/kb/ontospecies/Species_bd3e0b6d-68f8-4395-bbeb-9d66b6fb090e
http://www.theworldavatar.com/kb/ontospecies/s00009325.owl/Species_7258647843807700,http://www.theworldavatar.com/kb/ontospecies/Species_6d9422b5-8d1d-414d-9b8c-0e8e3407e700
http://www.theworldavatar.com/kb/ontospecies/s00009358.owl/Species_7258652228177800,http://www.theworldavatar.com/kb/ontospecies/Species_c510ad6b-5fe7-4de3-ae7c-29c2497d70a4
http://www.theworldavatar.com/kb/ontospecies/s00009800.owl/Species_7258713082017600,http://www.theworldavatar.com/kb/ontospecies/Species_ea684392-7ac2-4519-8a72-ecb5ab768cf9
http://www.theworldavatar.com/kb/ontospecies/s00009809.owl/Species_7258714287538500,http://www.theworldavatar.com/kb/ontospecies/Species_70f5eb2c-e74c-4147-8bae-41dbeff35255
http://www.theworldavatar.com/kb/ontospecies/s00009856.owl/Species_7258721441555500,http://www.theworldavatar.com/kb/ontospecies/Species_efd401ff-51bd-4fec-afb7-3650e92910a1
http://www.theworldavatar.com/kb/ontospecies/s00009881.owl/Species_7258725138298400,http://www.theworldavatar.com/kb/ontospecies/Species_9a49de29-8090-482e-b802-edda16dc68bf
http://www.theworldavatar.com/kb/ontospecies/s00009882.owl/Species_7258725302700600,http://www.theworldavatar.com/kb/ontospecies/Species_663e4fd4-1fcd-4b07-9521-19eedf78c55d
http://www.theworldavatar.com/kb/ontospecies/s00009927.owl/Species_7258731789046200,http://www.theworldavatar.com/kb/ontospecies/Species_e3b2d2f7-c248-46b3-bbbe-07ce1dd908d4
http://www.theworldavatar.com/kb/ontospecies/s00010068.owl/Species_7258752730000700,http://www.theworldavatar.com/kb/ontospecies/Species_2ed8ca6a-2ae6-4ff0-a5e0-f42c7d2515e6
http://www.theworldavatar.com/kb/ontospecies/s00010102.owl/Species_7258757353240900,http://www.theworldavatar.com/kb/ontospecies/Species_d668de75-6ebd-4db6-9540-25d4b0f1fcb0
http://www.theworldavatar.com/kb/ontospecies/s00010103.owl/Species_7258757501986000,http://www.theworldavatar.com/kb/ontospecies/Species_92e851ca-20f7-410d-b33a-82db8c36bb42
http://www.theworldavatar.com/kb/ontospecies/s00010108.owl/Species_7258758284407700,http://www.theworldavatar.com/kb/ontospecies/Species_453fe568-f93c-4229-b08b-8c05b937faa4
http://www.theworldavatar.com/kb/ontospecies/s00010222.owl/Species_7258774345937500,http://www.theworldavatar.com/kb/ontospecies/Species_fbf65357-0142-4a9e-9e38-98b6f076b6fb
