primary_fuel,generation_technology,capacity_MW,amortization_rate,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh,age
natural_gas,CCGT,900,47,322,57.19,2115540,10,0.75,15,54.52,4.77037037,59.29037037,18.06,273.7,-30.24,-198828,77.23666667,-8.578723404,68.65794326,14
natural_gas,CCGT,900,50,322,56.83,2115540,10,0.75,15,54.18,4.77037037,58.95037037,18.06,273.7,-30.24,-198828,76.755,-8.064,68.691,15
natural_gas,CCGT,900,53,322,56.47,2115540,10,0.75,15,53.83,4.77037037,58.60037037,18.06,273.7,-30.24,-198828,76.25916667,-7.60754717,68.6516195,16
natural_gas,CCGT,900,57,322,55.98,2115540,10,0.75,15,53.37,4.77037037,58.14037037,18.06,273.7,-30.24,-198828,75.6075,-7.073684211,68.53381579,17
natural_gas,CCGT,900,60,322,55.62,2115540,10,0.75,15,53.02,4.77037037,57.79037037,18.06,273.7,-30.24,-198828,75.11166667,-6.72,68.39166667,18
natural_gas,CCGT,900,63,322,55.25,2115540,10,0.75,15,52.67,4.77037037,57.44037037,18.06,273.7,-30.24,-198828,74.61583333,-6.4,68.21583333,19
natural_gas,CCGT,900,67,322,54.77,2115540,10,0.75,15,52.21,4.77037037,56.98037037,18.06,273.7,-30.24,-198828,73.96416667,-6.017910448,67.94625622,20
natural_gas,CCGT,900,70,322,54.4,2115540,10,0.75,15,51.86,4.77037037,56.63037037,18.06,273.7,-30.24,-198828,73.46833333,-5.76,67.70833333,21
natural_gas,CCGT,900,73,322,54.04,2115540,10,0.75,15,51.52,4.77037037,56.29037037,18.06,273.7,-30.24,-198828,72.98666667,-5.523287671,67.463379,22
natural_gas,CCGT,900,77,322,53.56,2115540,10,0.75,15,51.06,4.77037037,55.83037037,18.06,273.7,-30.24,-198828,72.335,-5.236363636,67.09863636,23
natural_gas,CCGT,900,80,322,53.19,2115540,10,0.75,15,50.71,4.77037037,55.48037037,18.06,273.7,-30.24,-198828,71.83916667,-5.04,66.79916667,24
natural_gas,CCGT,900,83,322,52.83,2115540,10,0.75,15,50.36,4.77037037,55.13037037,18.06,273.7,-30.24,-198828,71.34333333,-4.857831325,66.48550201,25
natural_gas,CCGT,900,87,322,52.34,2115540,10,0.75,15,49.9,4.77037037,54.67037037,18.06,273.7,-30.24,-198828,70.69166667,-4.634482759,66.05718391,26
natural_gas,CCGT,900,90,322,51.98,2115540,10,0.75,15,49.55,4.77037037,54.32037037,18.06,273.7,-30.24,-198828,70.19583333,-4.48,65.71583333,27
natural_gas,CCGT,900,93,322,51.62,2115540,10,0.75,15,49.21,4.77037037,53.98037037,18.06,273.7,-30.24,-198828,69.71416667,-4.335483871,65.3786828,28
natural_gas,CCGT,900,97,322,51.13,2115540,10,0.75,15,48.74,4.77037037,53.51037037,18.06,273.7,-30.24,-198828,69.04833333,-4.156701031,64.8916323,29
natural_gas,CCGT,900,100,322,50.77,2115540,10,0.75,15,48.4,4.77037037,53.17037037,18.06,273.7,-30.24,-198828,68.56666667,-4.032,64.53466667,30
natural_gas,CCGT,1200,3,429,62.3,2818530,10,0.75,15,59.39,4.766666667,64.15666667,24.06,364.65,-40.29,-264906.75,84.13583333,-179.0666667,-94.93083333,1
natural_gas,CCGT,1200,7,429,61.82,2818530,10,0.75,15,58.93,4.766666667,63.69666667,24.06,364.65,-40.29,-264906.75,83.48416667,-76.74285714,6.741309524,2
natural_gas,CCGT,1200,10,429,61.46,2818530,10,0.75,15,58.59,4.766666667,63.35666667,24.06,364.65,-40.29,-264906.75,83.0025,-53.72,29.2825,3
natural_gas,CCGT,1200,13,429,61.09,2818530,10,0.75,15,58.24,4.766666667,63.00666667,24.06,364.65,-40.29,-264906.75,82.50666667,-41.32307692,41.18358974,4
