primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
anthracite,subcritical,10,1700,1089,50.76,7160175.00,10,0.75,38.42,8.541176471,46.96117647,128.48,925.65,-34.87,844756,64.77421488,-0.273490196,64.50072468
anthracite,subcritical,10,1800,1153,50.47,7580975.00,10,0.75,38.2,8.540740741,46.74074074,136.03,980.05,-36.92,894397.25,64.40330579,-0.273481481,64.1298243
anthracite,subcritical,10,1900,1217,50.22,8001775.00,10,0.75,38.01,8.540350877,46.55035088,143.58,1034.45,-38.97,944038.5,64.08297521,-0.273473684,63.80950152
anthracite,subcritical,10,2000,1281,50,8422575.00,10,0.75,37.84,8.54,46.38,151.13,1088.85,-41.02,993679.75,63.79636364,-0.273466667,63.52289697
anthracite,subcritical,10,2100,1346,49.79,8849950.00,10,0.75,37.68,8.546031746,46.22603175,158.8,1144.1,-43.1,1044110,63.52661157,-0.273650794,63.25296078
anthracite,subcritical,10,2200,1410,49.61,9270750.00,10,0.75,37.55,8.545454545,46.09545455,166.35,1198.5,-45.15,1093751.25,63.30743802,-0.273636364,63.03380165
anthracite,subcritical,10,2300,1474,49.45,9691550.00,10,0.75,37.43,8.544927536,45.97492754,173.9,1252.9,-47.2,1143392.5,63.10512397,-0.273623188,62.83150078
anthracite,subcritical,10,2400,1538,49.29,10112350.00,10,0.75,37.3,8.544444444,45.84444444,181.45,1307.3,-49.25,1193033.75,62.88595041,-0.273611111,62.6123393
anthracite,subcritical,10,2500,1602,49.16,10533150.00,10,0.75,37.21,8.544,45.754,189,1361.7,-51.3,1242675,62.73421488,-0.2736,62.46061488
anthracite,subcritical,13,100,64.12,98.89,421589.00,10,0.75,74.84,8.549333333,83.38933333,7.56,54.502,-2.058,49707,126.1765289,-0.2744,125.9021289
anthracite,subcritical,13,200,128.2,77.76,842915.00,10,0.75,58.85,8.546666667,67.39666667,15.12,108.97,-4.11,99414,99.21818182,-0.274,98.94418182
anthracite,subcritical,13,300,192.3,69.47,1264372.50,10,0.75,52.58,8.546666667,61.12666667,22.69,163.455,-6.155,149186.75,88.64727273,-0.273555556,88.37371717
anthracite,subcritical,13,400,256.3,64.79,1685172.50,10,0.75,49.04,8.543333333,57.58333333,30.24,217.855,-8.205,198828,82.67900826,-0.2735,82.40550826
anthracite,subcritical,13,500,320.4,61.68,2106630.00,10,0.75,46.68,8.544,55.224,37.8,272.34,-10.26,248535,78.70016529,-0.2736,78.42656529
anthracite,subcritical,13,600,384.5,59.43,2528087.50,10,0.75,44.98,8.544444444,53.52444444,45.36,326.825,-12.315,298242,75.83404959,-0.273666667,75.56038292
anthracite,subcritical,13,700,448.6,57.69,2949545.00,10,0.75,43.66,8.544761905,52.2047619,52.92,381.31,-14.37,347949,73.60859504,-0.273714286,73.33488076
anthracite,subcritical,13,800,512.6,56.29,3370345.00,10,0.75,42.6,8.543333333,51.14333333,60.48,435.71,-16.41,397656,71.8214876,-0.2735,71.5479876
anthracite,subcritical,13,900,576.7,55.12,3791802.50,10,0.75,41.72,8.543703704,50.2637037,68.04,490.195,-18.465,447363,70.33785124,-0.273555556,70.06429568
anthracite,subcritical,13,1000,640.8,54.13,4213260.00,10,0.75,40.97,8.544,49.514,75.6,544.68,-20.52,497070,69.07338843,-0.2736,68.79978843
anthracite,subcritical,13,1100,704.8,53.28,4634060.00,10,0.75,40.32,8.543030303,48.8630303,83.15,599.08,-22.57,546711.25,67.97752066,-0.273575758,67.7039449
anthracite,subcritical,13,1200,768.9,52.52,5055517.50,10,0.75,39.75,8.543333333,48.29333333,90.71,653.565,-24.625,596418.25,67.01652893,-0.273611111,66.74291781
anthracite,subcritical,13,1300,833,51.84,5476975.00,10,0.75,39.23,8.543589744,47.77358974,98.28,708.05,-26.67,646191,66.13983471,-0.273538462,65.86629625
anthracite,subcritical,13,1400,897,51.3,5897775.00,10,0.75,38.83,8.542857143,47.37285714,105.83,762.45,-28.72,695832.25,65.46545455,-0.27352381,65.19193074
anthracite,subcritical,13,1500,961.1,50.89,6319232.50,10,0.75,38.52,8.543111111,47.06311111,113.39,816.935,-30.775,745539.25,64.94280992,-0.273555556,64.66925436
anthracite,subcritical,13,1600,1025,50.53,6739375.00,10,0.75,38.24,8.541666667,46.78166667,120.93,871.25,-32.82,795114.75,64.4707438,-0.2735,64.1972438
anthracite,subcritical,13,1700,1089,50.22,7160175.00,10,0.75,38.01,8.541176471,46.55117647,128.48,925.65,-34.87,844756,64.08297521,-0.273490196,63.80948501
anthracite,subcritical,13,1800,1153,49.94,7580975.00,10,0.75,37.8,8.540740741,46.34074074,136.03,980.05,-36.92,894397.25,63.72892562,-0.273481481,63.45544414
anthracite,subcritical,13,1900,1217,49.69,8001775.00,10,0.75,37.61,8.540350877,46.15035088,143.58,1034.45,-38.97,944038.5,63.40859504,-0.273473684,63.13512136
anthracite,subcritical,13,2000,1281,49.47,8422575.00,10,0.75,37.44,8.54,45.98,151.13,1088.85,-41.02,993679.75,63.12198347,-0.273466667,62.8485168
anthracite,subcritical,13,2100,1346,49.27,8849950.00,10,0.75,37.29,8.546031746,45.83603175,158.8,1144.1,-43.1,1044110,62.86909091,-0.273650794,62.59544012
anthracite,subcritical,13,2200,1410,49.09,9270750.00,10,0.75,37.15,8.545454545,45.69545455,166.35,1198.5,-45.15,1093751.25,62.63305785,-0.273636364,62.35942149
anthracite,subcritical,13,2300,1474,48.92,9691550.00,10,0.75,37.02,8.544927536,45.56492754,173.9,1252.9,-47.2,1143392.5,62.4138843,-0.273623188,62.14026111
anthracite,subcritical,13,2400,1538,48.77,10112350.00,10,0.75,36.91,8.544444444,45.45444444,181.45,1307.3,-49.25,1193033.75,62.22842975,-0.273611111,61.95481864
anthracite,subcritical,13,2500,1602,48.64,10533150.00,10,0.75,36.81,8.544,45.354,189,1361.7,-51.3,1242675,62.05983471,-0.2736,61.78623471
anthracite,subcritical,17,100,64.12,97.58,421589.00,10,0.75,73.85,8.549333333,82.39933333,7.56,54.502,-2.058,49707,124.507438,-0.2744,124.233038
anthracite,subcritical,17,200,128.2,76.65,842915.00,10,0.75,58.01,8.546666667,66.55666667,15.12,108.97,-4.11,99414,97.80198347,-0.274,97.52798347
anthracite,subcritical,17,300,192.3,68.46,1264372.50,10,0.75,51.81,8.546666667,60.35666667,22.69,163.455,-6.155,149186.75,87.34909091,-0.273555556,87.07553535
anthracite,subcritical,17,400,256.3,63.84,1685172.50,10,0.75,48.32,8.543333333,56.86333333,30.24,217.855,-8.205,198828,81.46512397,-0.2735,81.19162397
anthracite,subcritical,17,500,320.4,60.78,2106630.00,10,0.75,46,8.544,54.544,37.8,272.34,-10.26,248535,77.55371901,-0.2736,77.28011901
anthracite,subcritical,17,600,384.5,58.56,2528087.50,10,0.75,44.32,8.544444444,52.86444444,45.36,326.825,-12.315,298242,74.72132231,-0.273666667,74.44765565
anthracite,subcritical,17,700,448.6,56.84,2949545.00,10,0.75,43.02,8.544761905,51.5647619,52.92,381.31,-14.37,347949,72.52958678,-0.273714286,72.25587249
anthracite,subcritical,17,800,512.6,55.47,3370345.00,10,0.75,41.98,8.543333333,50.52333333,60.48,435.71,-16.41,397656,70.77619835,-0.2735,70.50269835
anthracite,subcritical,17,900,576.7,54.32,3791802.50,10,0.75,41.11,8.543703704,49.6537037,68.04,490.195,-18.465,447363,69.30942149,-0.273555556,69.03586593
anthracite,subcritical,17,1000,640.8,53.35,4213260.00,10,0.75,40.38,8.544,48.924,75.6,544.68,-20.52,497070,68.07867769,-0.2736,67.80507769
anthracite,subcritical,17,1100,704.8,52.51,4634060.00,10,0.75,39.74,8.543030303,48.2830303,83.15,599.08,-22.57,546711.25,66.99966942,-0.273575758,66.72609366
anthracite,subcritical,17,1200,768.9,51.76,5055517.50,10,0.75,39.17,8.543333333,47.71333333,90.71,653.565,-24.625,596418.25,66.03867769,-0.273611111,65.76506657
anthracite,subcritical,17,1300,833,51.1,5476975.00,10,0.75,38.67,8.543589744,47.21358974,98.28,708.05,-26.67,646191,65.19570248,-0.273538462,64.92216402
anthracite,subcritical,17,1400,897,50.56,5897775.00,10,0.75,38.27,8.542857143,46.81285714,105.83,762.45,-28.72,695832.25,64.52132231,-0.27352381,64.2477985
anthracite,subcritical,17,1500,961.1,50.16,6319232.50,10,0.75,37.96,8.543111111,46.50311111,113.39,816.935,-30.775,745539.25,63.99867769,-0.273555556,63.72512213
anthracite,subcritical,17,1600,1025,49.81,6739375.00,10,0.75,37.7,8.541666667,46.24166667,120.93,871.25,-32.82,795114.75,63.56033058,-0.2735,63.28683058
anthracite,subcritical,17,1700,1089,49.5,7160175.00,10,0.75,37.46,8.541176471,46.00117647,128.48,925.65,-34.87,844756,63.15570248,-0.273490196,62.88221228
anthracite,subcritical,17,1800,1153,49.23,7580975.00,10,0.75,37.26,8.540740741,45.80074074,136.03,980.05,-36.92,894397.25,62.8185124,-0.273481481,62.54503092
anthracite,subcritical,17,1900,1217,48.99,8001775.00,10,0.75,37.08,8.540350877,45.62035088,143.58,1034.45,-38.97,944038.5,62.51504132,-0.273473684,62.24156764
anthracite,subcritical,17,2000,1281,48.77,8422575.00,10,0.75,36.91,8.54,45.45,151.13,1088.85,-41.02,993679.75,62.22842975,-0.273466667,61.95496309
anthracite,subcritical,17,2100,1346,48.57,8849950.00,10,0.75,36.76,8.546031746,45.30603175,158.8,1144.1,-43.1,1044110,61.97553719,-0.273650794,61.7018864
anthracite,subcritical,17,2200,1410,48.39,9270750.00,10,0.75,36.62,8.545454545,45.16545455,166.35,1198.5,-45.15,1093751.25,61.73950413,-0.273636364,61.46586777
anthracite,subcritical,17,2300,1474,48.23,9691550.00,10,0.75,36.5,8.544927536,45.04492754,173.9,1252.9,-47.2,1143392.5,61.53719008,-0.273623188,61.26356689
anthracite,subcritical,17,2400,1538,48.08,10112350.00,10,0.75,36.39,8.544444444,44.93444444,181.45,1307.3,-49.25,1193033.75,61.35173554,-0.273611111,61.07812443
anthracite,subcritical,17,2500,1602,47.94,10533150.00,10,0.75,36.28,8.544,44.824,189,1361.7,-51.3,1242675,61.16628099,-0.2736,60.89268099
anthracite,subcritical,20,100,64.12,96.6,421589.00,10,0.75,73.11,8.549333333,81.65933333,7.56,54.502,-2.058,49707,123.2598347,-0.2744,122.9854347
anthracite,subcritical,20,200,128.2,75.81,842915.00,10,0.75,57.38,8.546666667,65.92666667,15.12,108.97,-4.11,99414,96.73983471,-0.274,96.46583471
anthracite,subcritical,20,300,192.3,67.69,1264372.50,10,0.75,51.23,8.546666667,59.77666667,22.69,163.455,-6.155,149186.75,86.37123967,-0.273555556,86.09768411
anthracite,subcritical,20,400,256.3,63.12,1685172.50,10,0.75,47.77,8.543333333,56.31333333,30.24,217.855,-8.205,198828,80.53785124,-0.2735,80.26435124
anthracite,subcritical,20,500,320.4,60.1,2106630.00,10,0.75,45.49,8.544,54.034,37.8,272.34,-10.26,248535,76.6938843,-0.2736,76.4202843
anthracite,subcritical,20,600,384.5,57.9,2528087.50,10,0.75,43.82,8.544444444,52.36444444,45.36,326.825,-12.315,298242,73.87834711,-0.273666667,73.60468044
anthracite,subcritical,20,700,448.6,56.21,2949545.00,10,0.75,42.54,8.544761905,51.0847619,52.92,381.31,-14.37,347949,71.72033058,-0.273714286,71.44661629
anthracite,subcritical,20,800,512.6,54.85,3370345.00,10,0.75,41.51,8.543333333,50.05333333,60.48,435.71,-16.41,397656,69.98380165,-0.2735,69.71030165
anthracite,subcritical,20,900,576.7,53.73,3791802.50,10,0.75,40.67,8.543703704,49.2137037,68.04,490.195,-18.465,447363,68.56760331,-0.273555556,68.29404775
anthracite,subcritical,20,1000,640.8,52.77,4213260.00,10,0.75,39.94,8.544,48.484,75.6,544.68,-20.52,497070,67.3368595,-0.2736,67.0632595
anthracite,subcritical,20,1100,704.8,51.93,4634060.00,10,0.75,39.3,8.543030303,47.8430303,83.15,599.08,-22.57,546711.25,66.25785124,-0.273575758,65.98427548
