primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
anthracite,supercritical,17,1100,10,0.75,665.8,53.17,4377635,38.91,8.07030303,46.98030303,77.12,507064,62.59788703,0.934787879,63.53267491
anthracite,supercritical,17,1200,10,0.75,726.4,52.41,4776080,38.36,8.071111111,46.43111111,84.13,553154.75,61.71305439,0.934777778,62.64783217
anthracite,supercritical,17,1300,10,0.75,786.9,51.72,5173867.5,37.85,8.070769231,45.92076923,91.14,599245.5,60.89257322,0.934769231,61.82734245
anthracite,supercritical,17,1400,10,0.75,847.4,51.11,5571655,37.41,8.07047619,45.48047619,98.15,645336.25,60.18470711,0.934761905,61.11946902
anthracite,supercritical,17,1500,10,0.75,907.9,50.55,5969442.5,37,8.070222222,45.07022222,105.16,691427,59.5251046,0.934755556,60.45986016
anthracite,supercritical,17,1600,10,0.75,968.5,50.15,6367887.5,36.7,8.070833333,44.77083333,112.18,737583.5,59.04246862,0.934833333,59.97730195
anthracite,supercritical,17,1700,10,0.75,1029,49.8,6765675,36.45,8.070588235,44.52058824,119.18,783608.5,58.64027197,0.934745098,59.57501706
anthracite,supercritical,17,1800,10,0.75,1090,49.49,7166750,36.22,8.074074074,44.29407407,126.25,830093.75,58.27025105,0.935185185,59.20543623
anthracite,supercritical,17,1900,10,0.75,1150,49.21,7561250,36.02,8.070175439,44.09017544,133.2,875790,57.94849372,0.934736842,58.88323057
anthracite,supercritical,17,2000,10,0.75,1211,48.96,7962325,35.83,8.073333333,43.90333333,140.26,922209.5,57.64282427,0.935066667,58.57789093
anthracite,supercritical,17,2100,10,0.75,1271,48.74,8356825,35.67,8.06984127,43.73984127,147.21,967905.75,57.38541841,0.934666667,58.32008508
anthracite,supercritical,17,2200,10,0.75,1332,48.53,8757900,35.52,8.072727273,43.59272727,154.28,1014391,57.14410042,0.935030303,58.07913072
anthracite,supercritical,17,2300,10,0.75,1392,48.34,9152400,35.38,8.069565217,43.44956522,161.23,1060087.25,56.91887029,0.934666667,57.85353696
anthracite,supercritical,17,2400,10,0.75,1453,48.17,9553475,35.26,8.072222222,43.33222222,168.29,1106506.75,56.7258159,0.934944444,57.66076034
anthracite,supercritical,17,2500,10,0.75,1513,48.01,9947975,35.14,8.069333333,43.20933333,175.24,1152203,56.53276151,0.934613333,57.46737484
anthracite,supercritical,20,100,10,0.75,60.58,98.15,398313.5,71.84,8.077333333,79.91733333,7.02,46156.5,115.5752301,0.936,116.5112301
anthracite,supercritical,20,200,10,0.75,121.1,77.06,796232.5,56.4,8.073333333,64.47333333,14.03,92247.25,90.73556485,0.935333333,91.67089819
anthracite,supercritical,20,300,10,0.75,181.6,68.76,1194020,50.33,8.071111111,58.40111111,21.03,138272.25,80.97023013,0.934666667,81.90489679
anthracite,supercritical,20,400,10,0.75,242.2,64.07,1592465,46.89,8.073333333,54.96333333,28.05,184428.75,75.43600418,0.935,76.37100418
anthracite,supercritical,20,500,10,0.75,302.7,60.95,1990252.5,44.61,8.072,52.682,35.06,230519.5,71.76797071,0.934933333,72.70290404
anthracite,supercritical,20,600,10,0.75,363.2,58.68,2388040,42.95,8.071111111,51.02111111,42.07,276610.25,69.09738494,0.934888889,70.03227383
anthracite,supercritical,20,700,10,0.75,423.7,56.94,2785827.5,41.67,8.07047619,49.74047619,49.07,322635.25,67.03813808,0.934666667,67.97280474
anthracite,supercritical,20,800,10,0.75,484.3,55.53,3184272.5,40.64,8.071666667,48.71166667,56.09,368791.75,65.38108787,0.934833333,66.3159212
anthracite,supercritical,20,900,10,0.75,544.8,54.37,3582060,39.79,8.071111111,47.86111111,63.1,414882.5,64.01361925,0.934814815,64.94843406
anthracite,supercritical,20,1000,10,0.75,605.3,53.38,3979847.5,39.07,8.070666667,47.14066667,70.11,460973.25,62.85529289,0.9348,63.79009289
anthracite,supercritical,20,1100,10,0.75,665.8,52.52,4377635,38.44,8.07030303,46.51030303,77.12,507064,61.84175732,0.934787879,62.7765452
anthracite,supercritical,20,1200,10,0.75,726.4,51.76,4776080,37.88,8.071111111,45.95111111,84.13,553154.75,60.94083682,0.934777778,61.8756146
anthracite,supercritical,20,1300,10,0.75,786.9,51.09,5173867.5,37.39,8.070769231,45.46076923,91.14,599245.5,60.15253138,0.934769231,61.08730061
anthracite,supercritical,20,1400,10,0.75,847.4,50.49,5571655,36.95,8.07047619,45.02047619,98.15,645336.25,59.44466527,0.934761905,60.37942718
anthracite,supercritical,20,1500,10,0.75,907.9,49.94,5969442.5,36.55,8.070222222,44.62022222,105.16,691427,58.80115063,0.934755556,59.73590618
anthracite,supercritical,20,1600,10,0.75,968.5,49.55,6367887.5,36.27,8.070833333,44.34083333,112.18,737583.5,58.35069038,0.934833333,59.28552371
anthracite,supercritical,20,1700,10,0.75,1029,49.2,6765675,36.01,8.070588235,44.08058824,119.18,783608.5,57.93240586,0.934745098,58.86715096
