primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
bituminous,subcritical,13,1900,1534,46.21,10086050,10,0.75,34.12,10.76491228,44.88491228,189.34,1303.9,-40.76,1244910.5,60.52591304,-0.286035088,60.23987796
bituminous,subcritical,13,2000,1615,45.94,10618625,10,0.75,33.92,10.76666667,44.68666667,199.34,1372.75,-42.91,1310660.5,60.17113043,-0.286066667,59.88506377
bituminous,subcritical,13,2100,1696,45.7,11151200,10,0.75,33.74,10.76825397,44.50825397,209.33,1441.6,-45.07,1376344.75,59.85182609,-0.28615873,59.56566736
bituminous,subcritical,13,2200,1777,45.48,11683775,10,0.75,33.58,10.76969697,44.34969697,219.33,1510.45,-47.22,1442094.75,59.568,-0.286181818,59.28181818
bituminous,subcritical,13,2300,1857,45.28,12209775,10,0.75,33.43,10.76521739,44.19521739,229.2,1578.45,-49.35,1506990,59.30191304,-0.286086957,59.01582609
bituminous,subcritical,13,2400,1938,45.1,12742350,10,0.75,33.3,10.76666667,44.06666667,239.2,1647.3,-51.5,1572740,59.07130435,-0.286111111,58.78519324
bituminous,subcritical,13,2500,2019,44.93,13274925,10,0.75,33.17,10.768,43.938,249.2,1716.15,-53.65,1638490,58.84069565,-0.286133333,58.55456232
bituminous,subcritical,17,100,80.82,100.2,531391.5,10,0.75,73.98,10.776,84.756,9.98,68.697,-2.143,65618.5,131.234087,-0.285733333,130.9483536
bituminous,subcritical,17,200,161.6,76.8,1062520,10,0.75,56.71,10.77333333,67.48333333,19.95,137.36,-4.29,131171.25,100.5986087,-0.286,100.3126087
bituminous,subcritical,17,300,242.3,67.57,1593122.5,10,0.75,49.89,10.76888889,60.65888889,29.91,205.955,-6.435,196658.25,88.50052174,-0.286,88.21452174
bituminous,subcritical,17,400,323.1,62.35,2124382.5,10,0.75,46.04,10.77,56.81,39.88,274.635,-8.585,262211,81.67095652,-0.286166667,81.38478986
bituminous,subcritical,17,500,403.8,58.89,2654985,10,0.75,43.48,10.768,54.248,49.84,343.23,-10.73,327698,77.12973913,-0.286133333,76.8436058
bituminous,subcritical,17,600,484.6,56.37,3186245,10,0.75,41.62,10.76888889,52.38888889,59.81,411.91,-12.88,393250.75,73.83026087,-0.286222222,73.54403865
bituminous,subcritical,17,700,565.3,54.43,3716847.5,10,0.75,40.19,10.76761905,50.95761905,69.77,480.505,-15.025,458737.75,71.29356522,-0.286190476,71.00737474
bituminous,subcritical,17,800,646.1,52.87,4248107.5,10,0.75,39.04,10.76833333,49.80833333,79.75,549.185,-17.165,524356.25,69.25356522,-0.286083333,68.96748188
bituminous,subcritical,17,900,726.8,51.58,4778710,10,0.75,38.08,10.76740741,48.84740741,89.71,617.78,-19.31,589843.25,67.5506087,-0.286074074,67.26453462
bituminous,subcritical,17,1000,807.6,50.47,5309970,10,0.75,37.27,10.768,48.038,99.68,686.46,-21.46,655396,66.11373913,-0.286133333,65.8276058
bituminous,subcritical,17,1100,888.3,49.52,5840572.5,10,0.75,36.56,10.76727273,47.32727273,109.64,755.055,-23.605,720883,64.85426087,-0.286121212,64.56813966
bituminous,subcritical,17,1200,969.1,48.68,6371832.5,10,0.75,35.94,10.76777778,46.70777778,119.61,823.735,-25.755,786435.75,63.75443478,-0.286166667,63.46826812
bituminous,subcritical,17,1300,1050,47.93,6903750,10,0.75,35.39,10.76923077,46.15923077,129.6,892.5,-27.9,852120,62.77878261,-0.286153846,62.49262876
bituminous,subcritical,17,1400,1131,47.31,7436325,10,0.75,34.93,10.77142857,45.70142857,139.6,961.35,-30.05,917870,61.96278261,-0.286190476,61.67659213
bituminous,subcritical,17,1500,1211,46.85,7962325,10,0.75,34.59,10.76444444,45.35444444,149.47,1029.35,-32.18,982765.25,61.35965217,-0.286044444,61.07360773
bituminous,subcritical,17,1600,1292,46.44,8494900,10,0.75,34.29,10.76666667,45.05666667,159.47,1098.2,-34.33,1048515.25,60.82747826,-0.286083333,60.54139493
bituminous,subcritical,17,1700,1373,46.07,9027475,10,0.75,34.02,10.76862745,44.78862745,169.47,1167.05,-36.48,1114265.25,60.34852174,-0.286117647,60.06240409
bituminous,subcritical,17,1800,1454,45.75,9560050,10,0.75,33.78,10.77037037,44.55037037,179.46,1235.9,-38.64,1179949.5,59.92278261,-0.286222222,59.63656039
bituminous,subcritical,17,1900,1534,45.46,10086050,10,0.75,33.57,10.76491228,44.33491228,189.34,1303.9,-40.76,1244910.5,59.55026087,-0.286035088,59.26422578
bituminous,subcritical,17,2000,1615,45.2,10618625,10,0.75,33.37,10.76666667,44.13666667,199.34,1372.75,-42.91,1310660.5,59.19547826,-0.286066667,58.90941159
bituminous,subcritical,17,2100,1696,44.96,11151200,10,0.75,33.2,10.76825397,43.96825397,209.33,1441.6,-45.07,1376344.75,58.89391304,-0.28615873,58.60775431
bituminous,subcritical,17,2200,1777,44.74,11683775,10,0.75,33.03,10.76969697,43.79969697,219.33,1510.45,-47.22,1442094.75,58.59234783,-0.286181818,58.30616601
bituminous,subcritical,17,2300,1857,44.54,12209775,10,0.75,32.89,10.76521739,43.65521739,229.2,1578.45,-49.35,1506990,58.344,-0.286086957,58.05791304
bituminous,subcritical,17,2400,1938,44.36,12742350,10,0.75,32.75,10.76666667,43.51666667,239.2,1647.3,-51.5,1572740,58.09565217,-0.286111111,57.80954106
bituminous,subcritical,17,2500,2019,44.19,13274925,10,0.75,32.63,10.768,43.398,249.2,1716.15,-53.65,1638490,57.88278261,-0.286133333,57.59664928
bituminous,subcritical,20,100,80.82,99.14,531391.5,10,0.75,73.2,10.776,83.976,9.98,68.697,-2.143,65618.5,129.8504348,-0.285733333,129.5647014
bituminous,subcritical,20,200,161.6,75.89,1062520,10,0.75,56.03,10.77333333,66.80333333,19.95,137.36,-4.29,131171.25,99.39234783,-0.286,99.10634783
bituminous,subcritical,20,300,242.3,66.75,1593122.5,10,0.75,49.29,10.76888889,60.05888889,29.91,205.955,-6.435,196658.25,87.43617391,-0.286,87.15017391
bituminous,subcritical,20,400,323.1,61.59,2124382.5,10,0.75,45.48,10.77,56.25,39.88,274.635,-8.585,262211,80.67756522,-0.286166667,80.39139855
bituminous,subcritical,20,500,403.8,58.16,2654985,10,0.75,42.94,10.768,53.708,49.84,343.23,-10.73,327698,76.17182609,-0.286133333,75.88569275
bituminous,subcritical,20,600,484.6,55.67,3186245,10,0.75,41.1,10.76888889,51.86888889,59.81,411.91,-12.88,393250.75,72.90782609,-0.286222222,72.62160386
bituminous,subcritical,20,700,565.3,53.76,3716847.5,10,0.75,39.69,10.76761905,50.45761905,69.77,480.505,-15.025,458737.75,70.4066087,-0.286190476,70.12041822
bituminous,subcritical,20,800,646.1,52.21,4248107.5,10,0.75,38.55,10.76833333,49.31833333,79.75,549.185,-17.165,524356.25,68.38434783,-0.286083333,68.09826449
bituminous,subcritical,20,900,726.8,50.94,4778710,10,0.75,37.61,10.76740741,48.37740741,89.71,617.78,-19.31,589843.25,66.71686957,-0.286074074,66.43079549
bituminous,subcritical,20,1000,807.6,49.85,5309970,10,0.75,36.81,10.768,47.578,99.68,686.46,-21.46,655396,65.29773913,-0.286133333,65.0116058
bituminous,subcritical,20,1100,888.3,48.9,5840572.5,10,0.75,36.11,10.76727273,46.87727273,109.64,755.055,-23.605,720883,64.056,-0.286121212,63.76987879
bituminous,subcritical,20,1200,969.1,48.07,6371832.5,10,0.75,35.49,10.76777778,46.25777778,119.61,823.735,-25.755,786435.75,62.95617391,-0.286166667,62.67000725
bituminous,subcritical,20,1300,1050,47.33,6903750,10,0.75,34.95,10.76923077,45.71923077,129.6,892.5,-27.9,852120,61.99826087,-0.286153846,61.71210702
bituminous,subcritical,20,1400,1131,46.73,7436325,10,0.75,34.5,10.77142857,45.27142857,139.6,961.35,-30.05,917870,61.2,-0.286190476,60.91380952
bituminous,subcritical,20,1500,1211,46.27,7962325,10,0.75,34.16,10.76444444,44.92444444,149.47,1029.35,-32.18,982765.25,60.59686957,-0.286044444,60.31082512
bituminous,subcritical,20,1600,1292,45.86,8494900,10,0.75,33.86,10.76666667,44.62666667,159.47,1098.2,-34.33,1048515.25,60.06469565,-0.286083333,59.77861232
bituminous,subcritical,20,1700,1373,45.5,9027475,10,0.75,33.6,10.76862745,44.36862745,169.47,1167.05,-36.48,1114265.25,59.60347826,-0.286117647,59.31736061
bituminous,subcritical,20,1800,1454,45.18,9560050,10,0.75,33.36,10.77037037,44.13037037,179.46,1235.9,-38.64,1179949.5,59.17773913,-0.286222222,58.89151691
bituminous,subcritical,20,1900,1534,44.9,10086050,10,0.75,33.15,10.76491228,43.91491228,189.34,1303.9,-40.76,1244910.5,58.80521739,-0.286035088,58.5191823
bituminous,subcritical,20,2000,1615,44.64,10618625,10,0.75,32.96,10.76666667,43.72666667,199.34,1372.75,-42.91,1310660.5,58.46817391,-0.286066667,58.18210725
bituminous,subcritical,20,2100,1696,44.4,11151200,10,0.75,32.78,10.76825397,43.54825397,209.33,1441.6,-45.07,1376344.75,58.14886957,-0.28615873,57.86271084
bituminous,subcritical,20,2200,1777,44.19,11683775,10,0.75,32.63,10.76969697,43.39969697,219.33,1510.45,-47.22,1442094.75,57.88278261,-0.286181818,57.59660079
bituminous,subcritical,20,2300,1857,43.99,12209775,10,0.75,32.48,10.76521739,43.24521739,229.2,1578.45,-49.35,1506990,57.61669565,-0.286086957,57.3306087
bituminous,subcritical,20,2400,1938,43.81,12742350,10,0.75,32.35,10.76666667,43.11666667,239.2,1647.3,-51.5,1572740,57.38608696,-0.286111111,57.09997585
bituminous,subcritical,20,2500,2019,43.64,13274925,10,0.75,32.22,10.768,42.988,249.2,1716.15,-53.65,1638490,57.15547826,-0.286133333,56.86934493
bituminous,subcritical,23,100,80.82,98.07,531391.5,10,0.75,72.41,10.776,83.186,9.98,68.697,-2.143,65618.5,128.4490435,-0.285733333,128.1633101
bituminous,subcritical,23,200,161.6,74.99,1062520,10,0.75,55.37,10.77333333,66.14333333,19.95,137.36,-4.29,131171.25,98.22156522,-0.286,97.93556522
bituminous,subcritical,23,300,242.3,65.93,1593122.5,10,0.75,48.68,10.76888889,59.44888889,29.91,205.955,-6.435,196658.25,86.35408696,-0.286,86.06808696
bituminous,subcritical,23,400,323.1,60.82,2124382.5,10,0.75,44.91,10.77,55.68,39.88,274.635,-8.585,262211,79.66643478,-0.286166667,79.38026812
bituminous,subcritical,23,500,403.8,57.43,2654985,10,0.75,42.4,10.768,53.168,49.84,343.23,-10.73,327698,75.21391304,-0.286133333,74.92777971
