Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
has Transport Model,Object Property,,,Species,Transport Model,,A relation between a species and its transport data model.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#indicatesMultiplicityOf,Object Property,,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#StoichiometricCoefficient,Reactant UNION Product,only,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl
indicates Number Of,Object Property,,,Element Number,Element,only,A relation that defines the number of atoms of a given element contained in a species or molecular entity.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
participates In,Object Property,,,Reactant,Forward Reaction,only,A relation that defines that a species participates as a reactant in a reaction. The relationship can also exist between a species that is a product (of the forward reaction) that participates in the reverse reaction.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
participates In,Object Property,,,Product,Reverse Reaction,,A relation that defines that a species participates as a reactant in a reaction. The relationship can also exist between a species that is a product (of the forward reaction) that participates in the reverse reaction.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.w3.org/2002/07/owl#sameAs,Object Property,,,Reactant UNION Product,Species,,,http://www.w3.org/2002/07/owl
http://www.w3.org/2002/07/owl#versionInfo,Data Property,,,Mechanism Representation Language,String,,,http://www.w3.org/2002/07/owl
efficiency,Data Property,,,,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.w3.org/2000/01/rdf-schema#comment,Data Property,,,,String,,,http://www.w3.org/2000/01/rdf-schema
hasCommit,Data Property,,,Mechanism Representation Language,String,,test comment,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Source Comment,Data Property,,,,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
requires Reaction Validation,Data Property,,,Reaction Mechanism,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
requires Species Validation,Data Property,,,Reaction Mechanism,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.opengis.net/ont/geosparql#dimension,Data Property,,,Phase,Integer,,,http://www.opengis.net/ont/geosparql
http://purl.org/dc/elements/1.1/identifier,Data Property,,,,String,,,http://purl.org/dc/elements
has Chemical Element Array Id,Data Property,,,Phase,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Chemical Species Array Id,Data Property,,,Phase,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Chemical Species Array,Data Property,,,Phase,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Chemical Reaction Array Id,Data Property,,,Phase,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Phase Thermo State,Data Property,,,Phase,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Type Of Thermo Model,Data Property,,,Phase,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Site Density,Data Property,,,Site Phase,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Site Density Units,Data Property,,,Site Phase,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Type Of Kinetics Model,Data Property,,,Gas Phase UNION Site Phase,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Type Of Transport Model,Data Property,,,Phase UNION Species,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Phase Array,Data Property,,,Bulk Phase UNION Site Phase,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
is Element Data Case Sensitive,Data Property,,,Element Metadata,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.w3.org/2000/01/rdf-schema#label,Data Property,,,,String,,,http://www.w3.org/2000/01/rdf-schema
has Atomic Mass,Data Property,,,Element,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Atomic Mass Units,Data Property,,,Element,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Expected Phase,Data Property,,,Species,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Note,Data Property,,,Species,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Occupancy,Data Property,,,Species,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Occupancy Units,Data Property,,,Species,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Bulk Species Density,Data Property,,,Species,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Bulk Species Density Units,Data Property,,,Species,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Number Of Element,Data Property,,,Element Number,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#stoichiometricValue,Data Property,,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#StoichiometricCoefficient,String,,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl
has Thermo Comment,Data Property,,,Species,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Maximum Temperature,Data Property,,,NASA UNION CHEB Rate Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Minimum Temperature,Data Property,,,NASA UNION CHEB Rate Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Pressure,Data Property,,,NASA,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Number Of Coefficients,Data Property,,,NASA UNION Fall Off Model Coefficient,Integer,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Species Geometry,Data Property,,,Transport Model,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Species Geometry Title,Data Property,,,Transport Model,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Lennard Jones Well Depth,Data Property,,,Transport Model,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Lennard Jones Well Depth Units,Data Property,,,Transport Model,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Lennard Jones Diameter,Data Property,,,Transport Model,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Lennard Jones Diameter Units,Data Property,,,Transport Model,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Dipole Moment,Data Property,,,Transport Model,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Dipole Moment Units,Data Property,,,Transport Model,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Polarizability,Data Property,,,Transport Model,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Polarizability Units,Data Property,,,Transport Model,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Rotational Relaxation Collision Number,Data Property,,,Transport Model,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Rotational Relaxation Collision Number Units,Data Property,,,Transport Model,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
is Species Data Case Sensitive,Data Property,,,Species Metadata,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
is Reaction Data Case Sensitive,Data Property,,,Reaction Metadata,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
is Reversible,Data Property,,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#ChemicalReaction,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
is Landau Teller Reaction,Data Property,,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#ChemicalReaction,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
may Not Conserve Site,Data Property,,,Surface Reaction,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
is Duplicate,Data Property,,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#ChemicalReaction,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
is Defined Via Partial Pressure,Data Property,,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#ChemicalReaction,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
is Defined Via Site Fractions,Data Property,,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#ChemicalReaction,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Equation,Data Property,,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#ChemicalReaction,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Reaction Order Direction,Data Property,,,Reaction Order,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
is Motz Wise Correction Applicable,Data Property,,,Sticking Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Pre Exponential Factor,Data Property,,,Arrhenius Coefficient UNION Sticking Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Pre Exponential Factor Units,Data Property,,,Arrhenius Coefficient UNION Sticking Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Temperature Exponent,Data Property,,,Arrhenius Coefficient UNION Sticking Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
