Source,Type,Target,Relation,Value,Data Type
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_10,,17/02/2021,string
Weblink_12,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_12,,https://phyllis.nl/Biomass/View/484,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_12,,17/02/2021,string
Weblink_13,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_13,,https://phyllis.nl/Biomass/View/703,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_13,,17/02/2021,string
Weblink_16,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_16,,https://phyllis.nl/Biomass/View/539,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_16,,17/02/2021,string
Weblink_18,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_18,,https://phyllis.nl/Biomass/View/2887,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_18,,17/02/2021,string
Weblink_19,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_19,,https://phyllis.nl/Biomass/View/435,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_19,,17/02/2021,string
Weblink_20,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_20,,https://phyllis.nl/Biomass/View/521,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_20,,17/02/2021,string
Weblink_21,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_21,,https://phyllis.nl/Biomass/View/2816,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_21,,17/02/2021,string
Weblink_22,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_22,,https://phyllis.nl/Biomass/View/703,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_22,,17/02/2021,string
Weblink_23,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
