primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_$_MWh,annual_emission_ton,,carbon_price_ton,capacity_factor,biomass_cofiring,,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
lignite,subcritical,77,2400,2202,32.85,14478150,,10,0.75,15,,24.39,12.23333333,36.62333333,,1871.7,12306427.5,24.1461,10.39833333,34.54443333
lignite,subcritical,77,2500,2294,32.68,15083050,,10,0.75,15,,24.26,12.23466667,36.49466667,,1949.9,12820592.5,24.0174,10.39946667,34.41686667
lignite,subcritical,80,100,91.83,79.83,603782.25,,10,0.75,15,,59.26,12.244,71.504,,78.0555,513214.9125,58.6674,10.4074,69.0748
lignite,subcritical,80,200,183.6,58.93,1207170,,10,0.75,15,,43.75,12.24,55.99,,156.06,1026094.5,43.3125,10.404,53.7165
lignite,subcritical,80,300,275.3,51.04,1810097.5,,10,0.75,15,,37.89,12.23555556,50.12555556,,234.005,1538582.875,37.5111,10.40022222,47.91132222
lignite,subcritical,80,400,367.1,46.69,2413682.5,,10,0.75,15,,34.66,12.23666667,46.89666667,,312.035,2051630.125,34.3134,10.40116667,44.71456667
lignite,subcritical,80,500,458.8,43.87,3016610,,10,0.75,15,,32.57,12.23466667,44.80466667,,389.98,2564118.5,32.2443,10.39946667,42.64376667
lignite,subcritical,80,600,550.6,41.85,3620195,,10,0.75,15,,31.07,12.23555556,43.30555556,,468.01,3077165.75,30.7593,10.40022222,41.15952222
lignite,subcritical,80,700,642.3,40.31,4223122.5,,10,0.75,15,,29.92,12.23428571,42.15428571,,545.955,3589654.125,29.6208,10.39914286,40.01994286
lignite,subcritical,80,800,734,39.07,4826050,,10,0.75,15,,29,12.23333333,41.23333333,,623.9,4102142.5,28.71,10.39833333,39.10833333
lignite,subcritical,80,900,825.8,38.05,5429635,,10,0.75,15,,28.25,12.23407407,40.48407407,,701.93,4615189.75,27.9675,10.39896296,38.36646296
lignite,subcritical,80,1000,917.5,37.18,6032562.5,,10,0.75,15,,27.6,12.23333333,39.83333333,,779.875,5127678.125,27.324,10.39833333,37.72233333
lignite,subcritical,80,1100,1009,36.43,6634175,,10,0.75,15,,27.04,12.23030303,39.27030303,,857.65,5639048.75,26.7696,10.39575758,37.16535758
lignite,subcritical,80,1200,1101,35.76,7239075,,10,0.75,15,,26.55,12.23333333,38.78333333,,935.85,6153213.75,26.2845,10.39833333,36.68283333
lignite,subcritical,80,1300,1193,35.15,7843975,,10,0.75,15,,26.09,12.23589744,38.32589744,,1014.05,6667378.75,25.8291,10.40051282,36.22961282
lignite,subcritical,80,1400,1285,34.67,8448875,,10,0.75,15,,25.74,12.23809524,37.97809524,,1092.25,7181543.75,25.4826,10.40238095,35.88498095
lignite,subcritical,80,1500,1376,34.31,9047200,,10,0.75,15,,25.47,12.23111111,37.70111111,,1169.6,7690120,25.2153,10.39644444,35.61174444
lignite,subcritical,80,1600,1468,33.99,9652100,,10,0.75,15,,25.23,12.23333333,37.46333333,,1247.8,8204285,24.9777,10.39833333,35.37603333
lignite,subcritical,80,1700,1560,33.71,10257000,,10,0.75,15,,25.02,12.23529412,37.25529412,,1326,8718450,24.7698,10.4,35.1698
lignite,subcritical,80,1800,1651,33.45,10855325,,10,0.75,15,,24.83,12.22962963,37.05962963,,1403.35,9227026.25,24.5817,10.39518519,34.97688519
lignite,subcritical,80,1900,1743,33.22,11460225,,10,0.75,15,,24.66,12.23157895,36.89157895,,1481.55,9741191.25,24.4134,10.39684211,34.81024211
lignite,subcritical,80,2000,1835,33,12065125,,10,0.75,15,,24.5,12.23333333,36.73333333,,1559.75,10255356.25,24.255,10.39833333,34.65333333
lignite,subcritical,80,2100,1927,32.79,12670025,,10,0.75,15,,24.34,12.23492063,36.57492063,,1637.95,10769521.25,24.0966,10.39968254,34.49628254
lignite,subcritical,80,2200,2018,32.6,13268350,,10,0.75,15,,24.2,12.23030303,36.43030303,,1715.3,11278097.5,23.958,10.39575758,34.35375758
lignite,subcritical,80,2300,2110,32.42,13873250,,10,0.75,15,,24.07,12.23188406,36.30188406,,1793.5,11792262.5,23.8293,10.39710145,34.22640145
lignite,subcritical,80,2400,2202,32.24,14478150,,10,0.75,15,,23.93,12.23333333,36.16333333,,1871.7,12306427.5,23.6907,10.39833333,34.08903333
lignite,subcritical,80,2500,2294,32.06,15083050,,10,0.75,15,,23.8,12.23466667,36.03466667,,1949.9,12820592.5,23.562,10.39946667,33.96146667
lignite,subcritical,83,100,91.83,78.59,603782.25,,10,0.75,15,,58.34,12.244,70.584,,78.0555,513214.9125,57.7566,10.4074,68.164
lignite,subcritical,83,200,183.6,57.89,1207170,,10,0.75,15,,42.97,12.24,55.21,,156.06,1026094.5,42.5403,10.404,52.9443
lignite,subcritical,83,300,275.3,50.1,1810097.5,,10,0.75,15,,37.19,12.23555556,49.42555556,,234.005,1538582.875,36.8181,10.40022222,47.21832222
lignite,subcritical,83,400,367.1,45.82,2413682.5,,10,0.75,15,,34.01,12.23666667,46.24666667,,312.035,2051630.125,33.6699,10.40116667,44.07106667
lignite,subcritical,83,500,458.8,43.04,3016610,,10,0.75,15,,31.95,12.23466667,44.18466667,,389.98,2564118.5,31.6305,10.39946667,42.02996667
lignite,subcritical,83,600,550.6,41.05,3620195,,10,0.75,15,,30.47,12.23555556,42.70555556,,468.01,3077165.75,30.1653,10.40022222,40.56552222
lignite,subcritical,83,700,642.3,39.54,4223122.5,,10,0.75,15,,29.35,12.23428571,41.58428571,,545.955,3589654.125,29.0565,10.39914286,39.45564286
lignite,subcritical,83,800,734,38.33,4826050,,10,0.75,15,,28.45,12.23333333,40.68333333,,623.9,4102142.5,28.1655,10.39833333,38.56383333
lignite,subcritical,83,900,825.8,37.33,5429635,,10,0.75,15,,27.71,12.23407407,39.94407407,,701.93,4615189.75,27.4329,10.39896296,37.83186296
lignite,subcritical,83,1000,917.5,36.48,6032562.5,,10,0.75,15,,27.08,12.23333333,39.31333333,,779.875,5127678.125,26.8092,10.39833333,37.20753333
lignite,subcritical,83,1100,1009,35.73,6634175,,10,0.75,15,,26.52,12.23030303,38.75030303,,857.65,5639048.75,26.2548,10.39575758,36.65055758
lignite,subcritical,83,1200,1101,35.07,7239075,,10,0.75,15,,26.03,12.23333333,38.26333333,,935.85,6153213.75,25.7697,10.39833333,36.16803333
lignite,subcritical,83,1300,1193,34.48,7843975,,10,0.75,15,,25.6,12.23589744,37.83589744,,1014.05,6667378.75,25.344,10.40051282,35.74451282
lignite,subcritical,83,1400,1285,34,8448875,,10,0.75,15,,25.24,12.23809524,37.47809524,,1092.25,7181543.75,24.9876,10.40238095,35.38998095
lignite,subcritical,83,1500,1376,33.66,9047200,,10,0.75,15,,24.99,12.23111111,37.22111111,,1169.6,7690120,24.7401,10.39644444,35.13654444
lignite,subcritical,83,1600,1468,33.35,9652100,,10,0.75,15,,24.76,12.23333333,36.99333333,,1247.8,8204285,24.5124,10.39833333,34.91073333
lignite,subcritical,83,1700,1560,33.07,10257000,,10,0.75,15,,24.55,12.23529412,36.78529412,,1326,8718450,24.3045,10.4,34.7045
