primary_fuel,generation_technology,capacity_MW,amortization_rate,emission_rate_ton_h,generation_cost_per_MWh,annual_emission_ton,carbon_price_$_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh,age
natural_gas,CCGT,900,53,322,56.47,2115540,10,0.75,15,53.83,4.77037037,58.60037037,273.7,1799577.5,50.6002,4.054814815,54.65501481,16
natural_gas,CCGT,900,57,322,55.98,2115540,10,0.75,15,53.37,4.77037037,58.14037037,273.7,1799577.5,50.1678,4.054814815,54.22261481,17
natural_gas,CCGT,900,60,322,55.62,2115540,10,0.75,15,53.02,4.77037037,57.79037037,273.7,1799577.5,49.8388,4.054814815,53.89361481,18
natural_gas,CCGT,900,63,322,55.25,2115540,10,0.75,15,52.67,4.77037037,57.44037037,273.7,1799577.5,49.5098,4.054814815,53.56461481,19
natural_gas,CCGT,900,67,322,54.77,2115540,10,0.75,15,52.21,4.77037037,56.98037037,273.7,1799577.5,49.0774,4.054814815,53.13221481,20
natural_gas,CCGT,900,70,322,54.4,2115540,10,0.75,15,51.86,4.77037037,56.63037037,273.7,1799577.5,48.7484,4.054814815,52.80321481,21
natural_gas,CCGT,900,73,322,54.04,2115540,10,0.75,15,51.52,4.77037037,56.29037037,273.7,1799577.5,48.4288,4.054814815,52.48361481,22
natural_gas,CCGT,900,77,322,53.56,2115540,10,0.75,15,51.06,4.77037037,55.83037037,273.7,1799577.5,47.9964,4.054814815,52.05121481,23
natural_gas,CCGT,900,80,322,53.19,2115540,10,0.75,15,50.71,4.77037037,55.48037037,273.7,1799577.5,47.6674,4.054814815,51.72221481,24
natural_gas,CCGT,900,83,322,52.83,2115540,10,0.75,15,50.36,4.77037037,55.13037037,273.7,1799577.5,47.3384,4.054814815,51.39321481,25
natural_gas,CCGT,900,87,322,52.34,2115540,10,0.75,15,49.9,4.77037037,54.67037037,273.7,1799577.5,46.906,4.054814815,50.96081481,26
natural_gas,CCGT,900,90,322,51.98,2115540,10,0.75,15,49.55,4.77037037,54.32037037,273.7,1799577.5,46.577,4.054814815,50.63181481,27
natural_gas,CCGT,900,93,322,51.62,2115540,10,0.75,15,49.21,4.77037037,53.98037037,273.7,1799577.5,46.2574,4.054814815,50.31221481,28
natural_gas,CCGT,900,97,322,51.13,2115540,10,0.75,15,48.74,4.77037037,53.51037037,273.7,1799577.5,45.8156,4.054814815,49.87041481,29
natural_gas,CCGT,900,100,322,50.77,2115540,10,0.75,15,48.4,4.77037037,53.17037037,273.7,1799577.5,45.496,4.054814815,49.55081481,30
natural_gas,CCGT,1200,3,429,62.3,2818530,10,0.75,15,59.39,4.766666667,64.15666667,364.65,2397573.75,55.8266,4.051666667,59.87826667,1
natural_gas,CCGT,1200,7,429,61.82,2818530,10,0.75,15,58.93,4.766666667,63.69666667,364.65,2397573.75,55.3942,4.051666667,59.44586667,2
natural_gas,CCGT,1200,10,429,61.46,2818530,10,0.75,15,58.59,4.766666667,63.35666667,364.65,2397573.75,55.0746,4.051666667,59.12626667,3
natural_gas,CCGT,1200,13,429,61.09,2818530,10,0.75,15,58.24,4.766666667,63.00666667,364.65,2397573.75,54.7456,4.051666667,58.79726667,4
natural_gas,CCGT,1200,17,429,60.61,2818530,10,0.75,15,57.78,4.766666667,62.54666667,364.65,2397573.75,54.3132,4.051666667,58.36486667,5
natural_gas,CCGT,1200,20,429,60.25,2818530,10,0.75,15,57.44,4.766666667,62.20666667,364.65,2397573.75,53.9936,4.051666667,58.04526667,6
natural_gas,CCGT,1200,23,429,59.89,2818530,10,0.75,15,57.09,4.766666667,61.85666667,364.65,2397573.75,53.6646,4.051666667,57.71626667,7
natural_gas,CCGT,1200,27,429,59.41,2818530,10,0.75,15,56.63,4.766666667,61.39666667,364.65,2397573.75,53.2322,4.051666667,57.28386667,8
natural_gas,CCGT,1200,30,429,59.05,2818530,10,0.75,15,56.29,4.766666667,61.05666667,364.65,2397573.75,52.9126,4.051666667,56.96426667,9
natural_gas,CCGT,1200,33,429,58.69,2818530,10,0.75,15,55.95,4.766666667,60.71666667,364.65,2397573.75,52.593,4.051666667,56.64466667,10
natural_gas,CCGT,1200,37,429,58.21,2818530,10,0.75,15,55.49,4.766666667,60.25666667,364.65,2397573.75,52.1606,4.051666667,56.21226667,11
natural_gas,CCGT,1200,40,429,57.85,2818530,10,0.75,15,55.15,4.766666667,59.91666667,364.65,2397573.75,51.841,4.051666667,55.89266667,12
natural_gas,CCGT,1200,43,429,57.49,2818530,10,0.75,15,54.8,4.766666667,59.56666667,364.65,2397573.75,51.512,4.051666667,55.56366667,13
natural_gas,CCGT,1200,47,429,57,2818530,10,0.75,15,54.34,4.766666667,59.10666667,364.65,2397573.75,51.0796,4.051666667,55.13126667,14
natural_gas,CCGT,1200,50,429,56.64,2818530,10,0.75,15,53.99,4.766666667,58.75666667,364.65,2397573.75,50.7506,4.051666667,54.80226667,15
natural_gas,CCGT,1200,53,429,56.28,2818530,10,0.75,15,53.65,4.766666667,58.41666667,364.65,2397573.75,50.431,4.051666667,54.48266667,16
natural_gas,CCGT,1200,57,429,55.8,2818530,10,0.75,15,53.19,4.766666667,57.95666667,364.65,2397573.75,49.9986,4.051666667,54.05026667,17
natural_gas,CCGT,1200,60,429,55.44,2818530,10,0.75,15,52.85,4.766666667,57.61666667,364.65,2397573.75,49.679,4.051666667,53.73066667,18
natural_gas,CCGT,1200,63,429,55.08,2818530,10,0.75,15,52.51,4.766666667,57.27666667,364.65,2397573.75,49.3594,4.051666667,53.41106667,19
natural_gas,CCGT,1200,67,429,54.6,2818530,10,0.75,15,52.05,4.766666667,56.81666667,364.65,2397573.75,48.927,4.051666667,52.97866667,20
natural_gas,CCGT,1200,70,429,54.24,2818530,10,0.75,15,51.71,4.766666667,56.47666667,364.65,2397573.75,48.6074,4.051666667,52.65906667,21
natural_gas,CCGT,1200,73,429,53.88,2818530,10,0.75,15,51.36,4.766666667,56.12666667,364.65,2397573.75,48.2784,4.051666667,52.33006667,22
