primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
anthracite,supercritical,20,500,302.7,60.95,1990252.5,10,0.75,15,44.61,8.072,52.682,257.295,1691714.625,44.1639,6.8612,51.0251
anthracite,supercritical,20,600,363.2,58.68,2388040,10,0.75,15,42.95,8.071111111,51.02111111,308.72,2029834,42.5205,6.860444444,49.38094444
anthracite,supercritical,20,700,423.7,56.94,2785827.5,10,0.75,15,41.67,8.07047619,49.74047619,360.145,2367953.375,41.2533,6.859904762,48.11320476
anthracite,supercritical,20,800,484.3,55.53,3184272.5,10,0.75,15,40.64,8.071666667,48.71166667,411.655,2706631.625,40.2336,6.860916667,47.09451667
anthracite,supercritical,20,900,544.8,54.37,3582060,10,0.75,15,39.79,8.071111111,47.86111111,463.08,3044751,39.3921,6.860444444,46.25254444
anthracite,supercritical,20,1000,605.3,53.38,3979847.5,10,0.75,15,39.07,8.070666667,47.14066667,514.505,3382870.375,38.6793,6.860066667,45.53936667
anthracite,supercritical,20,1100,665.8,52.52,4377635,10,0.75,15,38.44,8.07030303,46.51030303,565.93,3720989.75,38.0556,6.859757576,44.91535758
anthracite,supercritical,20,1200,726.4,51.76,4776080,10,0.75,15,37.88,8.071111111,45.95111111,617.44,4059668,37.5012,6.860444444,44.36164444
anthracite,supercritical,20,1300,786.9,51.09,5173867.5,10,0.75,15,37.39,8.070769231,45.46076923,668.865,4397787.375,37.0161,6.860153846,43.87625385
anthracite,supercritical,20,1400,847.4,50.49,5571655,10,0.75,15,36.95,8.07047619,45.02047619,720.29,4735906.75,36.5805,6.859904762,43.44040476
