primary_fuel,generation_technology,capacity_MW,amortization_rate,CO2_emission_rate_ton_hr,generation_cost_MWh,CO2_emission_annual,,carbon_price_$_ton,capacity_factor,biomass_cofiring,,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
coal,IGCC,1500,17,322,54.824,2115540,,10,0.75,15,,46.05,0.161247059,46.21124706,,273.7,1799577.5,45.5895,2.432888889,48.02238889
coal,IGCC,1500,20,322,54.56,2115540,,10,0.75,15,,45.82,0.1364,45.9564,,273.7,1799577.5,45.3618,2.432888889,47.79468889
coal,IGCC,1500,23,322,54.304,2115540,,10,0.75,15,,45.61,0.118052174,45.72805217,,273.7,1799577.5,45.1539,2.432888889,47.58678889
coal,IGCC,1500,27,322,53.952,2115540,,10,0.75,15,,45.31,0.099911111,45.40991111,,273.7,1799577.5,44.8569,2.432888889,47.28978889
coal,IGCC,1500,30,322,53.688,2115540,,10,0.75,15,,45.09,0.08948,45.17948,,273.7,1799577.5,44.6391,2.432888889,47.07198889
coal,IGCC,1500,33,322,53.424,2115540,,10,0.75,15,,44.87,0.080945455,44.95094545,,273.7,1799577.5,44.4213,2.432888889,46.85418889
coal,IGCC,1500,37,322,53.08,2115540,,10,0.75,15,,44.58,0.07172973,44.65172973,,273.7,1799577.5,44.1342,2.432888889,46.56708889
coal,IGCC,1500,40,322,52.816,2115540,,10,0.75,15,,44.36,0.06602,44.42602,,273.7,1799577.5,43.9164,2.432888889,46.34928889
coal,IGCC,1500,43,322,52.552,2115540,,10,0.75,15,,44.14,0.061106977,44.20110698,,273.7,1799577.5,43.6986,2.432888889,46.13148889
coal,IGCC,1500,47,322,52.208,2115540,,10,0.75,15,,43.85,0.055540426,43.90554043,,273.7,1799577.5,43.4115,2.432888889,45.84438889
coal,IGCC,1500,50,322,51.944,2115540,,10,0.75,15,,43.63,0.051944,43.681944,,273.7,1799577.5,43.1937,2.432888889,45.62658889
coal,IGCC,1500,53,322,51.68,2115540,,10,0.75,15,,43.41,0.048754717,43.45875472,,273.7,1799577.5,42.9759,2.432888889,45.40878889
coal,IGCC,1500,57,322,51.336,2115540,,10,0.75,15,,43.12,0.045031579,43.16503158,,273.7,1799577.5,42.6888,2.432888889,45.12168889
coal,IGCC,1500,60,322,51.072,2115540,,10,0.75,15,,42.89,0.04256,42.93256,,273.7,1799577.5,42.4611,2.432888889,44.89398889
coal,IGCC,1500,63,322,50.808,2115540,,10,0.75,15,,42.67,0.04032381,42.71032381,,273.7,1799577.5,42.2433,2.432888889,44.67618889
coal,IGCC,1500,67,322,50.456,2115540,,10,0.75,15,,42.38,0.037653731,42.41765373,,273.7,1799577.5,41.9562,2.432888889,44.38908889
coal,IGCC,1500,70,322,50.2,2115540,,10,0.75,15,,42.16,0.035857143,42.19585714,,273.7,1799577.5,41.7384,2.432888889,44.17128889
coal,IGCC,1500,73,322,49.936,2115540,,10,0.75,15,,41.94,0.03420274,41.97420274,,273.7,1799577.5,41.5206,2.432888889,43.95348889
coal,IGCC,1500,77,322,49.584,2115540,,10,0.75,15,,41.64,0.032197403,41.6721974,,273.7,1799577.5,41.2236,2.432888889,43.65648889
coal,IGCC,1500,80,322,49.32,2115540,,10,0.75,15,,41.42,0.030825,41.450825,,273.7,1799577.5,41.0058,2.432888889,43.43868889
coal,IGCC,1500,83,322,49.064,2115540,,10,0.75,15,,41.21,0.029556627,41.23955663,,273.7,1799577.5,40.7979,2.432888889,43.23078889
coal,IGCC,1500,87,322,48.712,2115540,,10,0.75,15,,40.91,0.027995402,40.9379954,,273.7,1799577.5,40.5009,2.432888889,42.93378889
coal,IGCC,1500,90,322,48.448,2115540,,10,0.75,15,,40.69,0.026915556,40.71691556,,273.7,1799577.5,40.2831,2.432888889,42.71598889
coal,IGCC,1500,93,322,48.192,2115540,,10,0.75,15,,40.48,0.025909677,40.50590968,,273.7,1799577.5,40.0752,2.432888889,42.50808889
coal,IGCC,1500,97,322,47.84,2115540,,10,0.75,15,,40.18,0.024659794,40.20465979,,273.7,1799577.5,39.7782,2.432888889,42.21108889
coal,IGCC,1500,100,322,47.576,2115540,,10,0.75,15,,39.96,0.023788,39.983788,,273.7,1799577.5,39.5604,2.432888889,41.99328889
coal,IGCC,2000,3,429,53.544,2818530,,10,0.75,15,,44.97,0.8924,45.8624,,364.65,2397573.75,44.5203,2.431,46.9513
coal,IGCC,2000,7,429,53.2,2818530,,10,0.75,15,,44.68,0.38,45.06,,364.65,2397573.75,44.2332,2.431,46.6642
coal,IGCC,2000,10,429,52.944,2818530,,10,0.75,15,,44.47,0.26472,44.73472,,364.65,2397573.75,44.0253,2.431,46.4563
coal,IGCC,2000,13,429,52.688,2818530,,10,0.75,15,,44.25,0.202646154,44.45264615,,364.65,2397573.75,43.8075,2.431,46.2385
coal,IGCC,2000,17,429,52.344,2818530,,10,0.75,15,,43.96,0.153952941,44.11395294,,364.65,2397573.75,43.5204,2.431,45.9514
coal,IGCC,2000,20,429,52.088,2818530,,10,0.75,15,,43.75,0.13022,43.88022,,364.65,2397573.75,43.3125,2.431,45.7435
coal,IGCC,2000,23,429,51.824,2818530,,10,0.75,15,,43.53,0.11266087,43.64266087,,364.65,2397573.75,43.0947,2.431,45.5257
coal,IGCC,2000,27,429,51.488,2818530,,10,0.75,15,,43.24,0.095348148,43.33534815,,364.65,2397573.75,42.8076,2.431,45.2386
coal,IGCC,2000,30,429,51.224,2818530,,10,0.75,15,,43.02,0.085373333,43.10537333,,364.65,2397573.75,42.5898,2.431,45.0208
coal,IGCC,2000,33,429,50.968,2818530,,10,0.75,15,,42.81,0.077224242,42.88722424,,364.65,2397573.75,42.3819,2.431,44.8129
coal,IGCC,2000,37,429,50.624,2818530,,10,0.75,15,,42.52,0.068410811,42.58841081,,364.65,2397573.75,42.0948,2.431,44.5258
coal,IGCC,2000,40,429,50.368,2818530,,10,0.75,15,,42.3,0.06296,42.36296,,364.65,2397573.75,41.877,2.431,44.308
coal,IGCC,2000,43,429,50.112,2818530,,10,0.75,15,,42.09,0.058269767,42.14826977,,364.65,2397573.75,41.6691,2.431,44.1001
coal,IGCC,2000,47,429,49.768,2818530,,10,0.75,15,,41.8,0.052944681,41.85294468,,364.65,2397573.75,41.382,2.431,43.813
coal,IGCC,2000,50,429,49.512,2818530,,10,0.75,15,,41.58,0.049512,41.629512,,364.65,2397573.75,41.1642,2.431,43.5952
coal,IGCC,2000,53,429,49.248,2818530,,10,0.75,15,,41.36,0.046460377,41.40646038,,364.65,2397573.75,40.9464,2.431,43.3774
coal,IGCC,2000,57,429,48.912,2818530,,10,0.75,15,,41.08,0.042905263,41.12290526,,364.65,2397573.75,40.6692,2.431,43.1002
coal,IGCC,2000,60,429,48.648,2818530,,10,0.75,15,,40.86,0.04054,40.90054,,364.65,2397573.75,40.4514,2.431,42.8824
coal,IGCC,2000,63,429,48.392,2818530,,10,0.75,15,,40.64,0.038406349,40.67840635,,364.65,2397573.75,40.2336,2.431,42.6646
coal,IGCC,2000,67,429,48.048,2818530,,10,0.75,15,,40.35,0.035856716,40.38585672,,364.65,2397573.75,39.9465,2.431,42.3775
coal,IGCC,2000,70,429,47.792,2818530,,10,0.75,15,,40.14,0.034137143,40.17413714,,364.65,2397573.75,39.7386,2.431,42.1696
coal,IGCC,2000,73,429,47.536,2818530,,10,0.75,15,,39.92,0.032558904,39.9525589,,364.65,2397573.75,39.5208,2.431,41.9518
coal,IGCC,2000,77,429,47.192,2818530,,10,0.75,15,,39.64,0.030644156,39.67064416,,364.65,2397573.75,39.2436,2.431,41.6746
coal,IGCC,2000,80,429,46.936,2818530,,10,0.75,15,,39.42,0.029335,39.449335,,364.65,2397573.75,39.0258,2.431,41.4568
coal,IGCC,2000,83,429,46.68,2818530,,10,0.75,15,,39.21,0.028120482,39.23812048,,364.65,2397573.75,38.8179,2.431,41.2489
coal,IGCC,2000,87,429,46.336,2818530,,10,0.75,15,,38.92,0.026629885,38.94662989,,364.65,2397573.75,38.5308,2.431,40.9618
coal,IGCC,2000,90,429,46.072,2818530,,10,0.75,15,,38.7,0.025595556,38.72559556,,364.65,2397573.75,38.313,2.431,40.744
coal,IGCC,2000,93,429,45.816,2818530,,10,0.75,15,,38.48,0.024632258,38.50463226,,364.65,2397573.75,38.0952,2.431,40.5262
coal,IGCC,2000,97,429,45.472,2818530,,10,0.75,15,,38.19,0.023439175,38.21343918,,364.65,2397573.75,37.8081,2.431,40.2391
coal,IGCC,2000,100,429,45.216,2818530,,10,0.75,15,,37.98,0.022608,38.002608,,364.65,2397573.75,37.6002,2.431,40.0312
coal,IGCC,2600,3,536,51.045,3521520,,10,0.75,15,,42.87,0.85075,43.72075,,455.6,2995570,42.4413,2.336410256,44.77771026
coal,IGCC,2600,7,536,50.71384615,3521520,,10,0.75,15,,42.59,0.362241758,42.95224176,,455.6,2995570,42.1641,2.336410256,44.50051026
coal,IGCC,2600,10,536,50.46153846,3521520,,10,0.75,15,,42.38,0.252307692,42.63230769,,455.6,2995570,41.9562,2.336410256,44.29261026
coal,IGCC,2600,13,536,50.20923077,3521520,,10,0.75,15,,42.17,0.193112426,42.36311243,,455.6,2995570,41.7483,2.336410256,44.08471026
coal,IGCC,2600,17,536,49.87807692,3521520,,10,0.75,15,,41.89,0.146700226,42.03670023,,455.6,2995570,41.4711,2.336410256,43.80751026
coal,IGCC,2600,20,536,49.62576923,3521520,,10,0.75,15,,41.68,0.124064423,41.80406442,,455.6,2995570,41.2632,2.336410256,43.59961026
coal,IGCC,2600,23,536,49.37346154,3521520,,10,0.75,15,,41.47,0.107333612,41.57733361,,455.6,2995570,41.0553,2.336410256,43.39171026
coal,IGCC,2600,27,536,49.04230769,3521520,,10,0.75,15,,41.19,0.090819088,41.28081909,,455.6,2995570,40.7781,2.336410256,43.11451026
coal,IGCC,2600,30,536,48.79,3521520,,10,0.75,15,,40.98,0.081316667,41.06131667,,455.6,2995570,40.5702,2.336410256,42.90661026
coal,IGCC,2600,33,536,48.53769231,3521520,,10,0.75,15,,40.77,0.073541958,40.84354196,,455.6,2995570,40.3623,2.336410256,42.69871026
coal,IGCC,2600,37,536,48.20653846,3521520,,10,0.75,15,,40.49,0.065143971,40.55514397,,455.6,2995570,40.0851,2.336410256,42.42151026
coal,IGCC,2600,40,536,47.95423077,3521520,,10,0.75,15,,40.28,0.059942788,40.33994279,,455.6,2995570,39.8772,2.336410256,42.21361026
coal,IGCC,2600,43,536,47.70192308,3521520,,10,0.75,15,,40.06,0.055467352,40.11546735,,455.6,2995570,39.6594,2.336410256,41.99581026
coal,IGCC,2600,47,536,47.37076923,3521520,,10,0.75,15,,39.79,0.050394435,39.84039444,,455.6,2995570,39.3921,2.336410256,41.72851026
coal,IGCC,2600,50,536,47.11846154,3521520,,10,0.75,15,,39.57,0.047118462,39.61711846,,455.6,2995570,39.1743,2.336410256,41.51071026
coal,IGCC,2600,53,536,46.86615385,3521520,,10,0.75,15,,39.36,0.044213353,39.40421335,,455.6,2995570,38.9664,2.336410256,41.30281026
coal,IGCC,2600,57,536,46.535,3521520,,10,0.75,15,,39.08,0.040820175,39.12082018,,455.6,2995570,38.6892,2.336410256,41.02561026
coal,IGCC,2600,60,536,46.28269231,3521520,,10,0.75,15,,38.87,0.03856891,38.90856891,,455.6,2995570,38.4813,2.336410256,40.81771026
coal,IGCC,2600,63,536,46.03038462,3521520,,10,0.75,15,,38.66,0.036532051,38.69653205,,455.6,2995570,38.2734,2.336410256,40.60981026
coal,IGCC,2600,67,536,45.69923077,3521520,,10,0.75,15,,38.38,0.034103904,38.4141039,,455.6,2995570,37.9962,2.336410256,40.33261026
coal,IGCC,2600,70,536,45.44692308,3521520,,10,0.75,15,,38.17,0.032462088,38.20246209,,455.6,2995570,37.7883,2.336410256,40.12471026
coal,IGCC,2600,73,536,45.19461538,3521520,,10,0.75,15,,37.96,0.030955216,37.99095522,,455.6,2995570,37.5804,2.336410256,39.91681026
coal,IGCC,2600,77,536,44.86346154,3521520,,10,0.75,15,,37.68,0.029132118,37.70913212,,455.6,2995570,37.3032,2.336410256,39.63961026
coal,IGCC,2600,80,536,44.61115385,3521520,,10,0.75,15,,37.47,0.027881971,37.49788197,,455.6,2995570,37.0953,2.336410256,39.43171026
coal,IGCC,2600,83,536,44.35884615,3521520,,10,0.75,15,,37.26,0.026722196,37.2867222,,455.6,2995570,36.8874,2.336410256,39.22381026
coal,IGCC,2600,87,536,44.02769231,3521520,,10,0.75,15,,36.98,0.025303271,37.00530327,,455.6,2995570,36.6102,2.336410256,38.94661026
coal,IGCC,2600,90,536,43.77538462,3521520,,10,0.75,15,,36.77,0.024319658,36.79431966,,455.6,2995570,36.4023,2.336410256,38.73871026
coal,IGCC,2600,93,536,43.52307692,3521520,,10,0.75,15,,36.55,0.023399504,36.5733995,,455.6,2995570,36.1845,2.336410256,38.52091026
coal,IGCC,2600,97,536,43.19192308,3521520,,10,0.75,15,,36.28,0.022263878,36.30226388,,455.6,2995570,35.9172,2.336410256,38.25361026
coal,IGCC,2600,100,536,42.93961538,3521520,,10,0.75,15,,36.06,0.021469808,36.08146981,,455.6,2995570,35.6994,2.336410256,38.03581026
