,RLOIid,riverName,RLOIid_upstream,RLOIid_downstream
481,5131,River Keekle,,
482,7015,River Churn,,7016
483,3252,Sea Levels,,
484,3151,River Neet,3131,
485,8258,River Colne,,8317
486,3164,River Fal,3174,
487,8148,River Seven,8183,
488,7052,River Glyme,,
489,5001,River Wyre,,5186
490,3063,River Wriggle,,
491,7305,River Wandle,7303,7304
492,2168,Wood Brook,,
493,7370,Pymmes Brook,,7371
494,3234,Glen Stream,,
495,2170,River Chelt,,2172
496,2143,River Blythe,2151,
497,1151,Tadburn Lake,,
498,7189,River Chess,,7190
499,2171,River Chelt,2172,2173
500,8128,River Gaunless,8055,8361
501,5029,River Lune,5077,9127
502,8044,River Ouse,8145,8180
503,7198,River Colne,7196,9298
504,5094,River Lune,,5077
505,3187,River Tamar,3336,3203
506,6261,Old Bedford River,6252,6245
507,7105,River Pang,7104,7106
508,7114,River Og,,
509,7106,River Pang,7105,7107
510,3351,River Caen,,3346
511,2197,Kyre Brook,2198,
512,7133,River Thames,7132,7155
513,8171,River Laver,9346,
514,3269,River Piddle,3270,
515,7276,River Crane,,7277
516,3127,River Mole,3096,
517,2187,River Soar,,2136
518,1080,River Medway,1067,1090
519,5224,River Brun,,
520,6248,Babingley River,,
521,1040,River Darent,9136,9137
522,5168,River Eamont,5206,5046
523,7247,River Ash,,7248
524,8233,River Esk,8232,8216
525,3260,River Exe,3246,9427
526,6071,Billinghay Skirth,,6227
527,7272,The Roxbourne,,
528,6207,River Waveney,6209,6206
529,7300,River Wandle,,7301
530,7025,River Coln,,7026
531,3070,River Yeo,,3074
532,1163,River Lavant,,9244
533,6191,River Rhee,6199,
534,7026,River Coln,7025,7406
535,8327,Meanwood Beck,,
536,7332,River Lee,9289,7333
537,5005,River Eden,5059,5138
538,7287,Wealdstone Brook,,7288
539,1050,Candover Stream,,
540,3371,River Ebble,,3318
541,2138,River Derwent,2103,2130
542,6055,River Witham,6051,6067
543,2022,River Severn,2081,2041
544,2224,Bow Brook,,2010
545,8018,Bedburn Beck,,
546,7339,River Beane,7340,7341
547,6044,River Witham,6057,6049
548,5128,River Cocker,5129,
549,3194,River Thrushel,,3178
550,8174,River Don,8090,8175
551,2120,River Amber,,
552,6153,River Kym,,6155
553,3094,River Exe,9010,
554,2205,River Leadon,,2012
555,6278,River Great Ouse,6180,6254
556,5052,River Mersey,5008,5149
557,3103,River Torridge,3126,
558,8187,Eller Beck,9316,9317
559,7349,Stansted Brook,,
560,1139,Little Stour,,
561,7404,Chalgrove Brook,,
562,3027,River Avon,,3016
563,7268,River Thames,7269,7393
564,3415,Northmoor Main Drain,,3061
565,7156,River Thames,7155,7396
566,7355,Canons Brook,,
567,3385,River Kennall,,
568,3208,River Erme,,3219
569,7171,River Thames,7172,7213
570,3135,River Gannel,,
571,2097,River Derwent,,2230
572,5103,River Derwent,5179,5181
573,7258,Redhill Brook,,
574,5115,River Irwell,5136,5026
575,5186,River Wyre,5001,5055
576,3408,Sherston Avon,3035,
577,6041,River Bain,6060,
578,2071,River Severn,2059,
579,5061,River Darwen,,5048
580,8323,River Don,9326,8248
581,6126,River Stour,6134,6128
