year,coal_power_capacity_GW,gas_power_capacity_GW,oil_power_capacity_GW,coal_power_capacity_existing,gas_power_capacity_existing,oil_power_capacity_existing,coal_power_capacity_new,gas_power_capacity_new,oil_power_capacity_new,coal_annual_emission_intensity_2015,gas_annual_emission_intensity_2015,oil_annual_emission_intensity_2015,coal_lock_emission_intensity_2015,gas_lock_emission_intensity_2015,oil_lock_emission_intensity_2015,coal_power_annual_emission_existing,gas_power_annual_emission_existing,oil_power_annual_emission_existing,coal_power_lock_emission_existing,gas_power_lock_emission_existing,oil_power_lock_emission_existing,coal_power_annual_emission_new,gas_power_annual_emission_new,oil_power_annual_emission_new,coal_power_lock_emission_new,gas_power_lock_emission_new,oil_power_lock_emission_new,coal_annual_emission_overall,gas_annual_emission_overall,oil_annual_emission_overall,coal_power_lock_emission_overall,gas_power_lock_emission_overall,oil_power_lock_emission_overall
2041,2169.0,2150.4,287.9,1047.1486519999999,784.3002947000001,172.9149366,35.18,68.1,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,5.356762225,1.812221808,0.40076949,42.70948178,16.32801706,4.184504969,0.18,0.16,0.0,6.59,5.89,0.0,11.24676223,5.072221808,1.00076949,190.64123178000003,104.44851706,15.630254969
2042,2173.8,2180.6,285.7,976.0287115,746.1793964999999,158.96517869999997,75.92,68.32,2.85,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,4.967095426,1.7177092109999998,0.366082807,40.37468441,15.41642525,4.009907293,0.4,0.16,0.01,14.21,5.91,0.25,11.25709543,5.137709211000001,0.976082807,197.26668441000004,106.49492525000001,15.169407292999999
2043,2177.8,2210.3,283.1,918.2905896999999,698.6779441000001,151.0521857,61.74,77.2,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,4.658381389,1.5985844980000001,0.345820685,38.01603932,14.7862163,3.824407047,0.32,0.18,0.0,11.56,6.67,0.0,11.26838139,5.198584498,0.955820685,200.86303932,109.43496629999999,14.441407046999997
2044,2183.8,2246.5,280.8,845.0166892999999,626.9520227,144.81599540000002,79.27,107.93,0.62,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,4.265427087,1.4238489890000001,0.330156946,36.037314200000004,14.37591891,3.632808617,0.42,0.26,0.0,14.84,9.33,0.05,11.29542709,5.283848989,0.940156946,207.83031420000003,115.08816890999998,13.757308617000001
2045,2189.5,2281.3,279.3,742.3706736,580.3632405000001,133.3795328,108.35,81.39,4.93,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,3.72449913,1.309568142,0.30082856199999997,35.22690908,13.78760136,3.488376975,0.57,0.19,0.01,20.28,7.03,0.44,11.32449913,5.359568142,0.9208285620000001,221.03490907999998,118.03010136,13.509126975
2046,2197.4,2317.2,274.9,690.4453981,505.78044969999996,117.3874878,59.83,110.48,5.07,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,3.443710321,1.1260511,0.262020214,33.80514382,13.67164066,3.408148592,0.31,0.26,0.01,11.2,9.55,0.45,11.35371032,5.4360511,0.8920202140000001,224.04114381999995,123.78864066,13.324148591999998
2047,2204.9,2350.6,272.7,622.3284493,463.41592139999995,109.5158733,75.62,75.76,5.74,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,3.07471353,1.020233287,0.241689655,33.35793696,13.48715182,3.3539642360000004,0.4,0.18,0.01,14.15,6.55,0.51,11.38471353,5.510233287,0.881689655,230.69193695999996,126.23990181999999,13.213964235999999
2048,2212.3,2378.8,269.8,522.8078796,392.58417389999994,93.67189455,106.92,99.03,13.22,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,2.543593275,0.8473960559999999,0.20295343100000002,33.23527949,13.48886856,3.3716855480000003,0.56,0.24,0.03,20.01,8.56,1.17,11.41359328,5.577396056,0.8729534309999999,243.17352949,130.72361856000003,13.822935547999998
2049,2218.0,2406.3,267.6,475.8774773,361.70860550000003,90.8092618,52.63,58.38,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,2.287984935,0.77062443,0.19518249,33.28077226,13.47605769,3.3219048589999995,0.28,0.14,0.0,9.85,5.05,0.0,11.43798493,5.64062443,0.86518249,245.16302226000002,131.46880768999998,13.165154859000001
2050,2224.8,2436.1,265.4,383.3025212,308.54240310000006,77.52097575,99.37,82.97,3.71,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,1.7878071169999998,0.640691339,0.16228377300000002,34.36806594,13.44058217,3.2901645889999998,0.52,0.2,0.01,18.6,7.17,0.33,11.45780712,5.710691338999999,0.842283773,256.69806594,134.18508217000002,12.855414588999999
