year,coal_power_capacity_GW,gas_power_capacity_GW,oil_power_capacity_GW,coal_power_capacity_existing,gas_power_capacity_existing,oil_power_capacity_existing,coal_power_capacity_new,gas_power_capacity_new,oil_power_capacity_new,coal_annual_emission_intensity_2015,gas_annual_emission_intensity_2015,oil_annual_emission_intensity_2015,coal_lock_emission_intensity_2015,gas_lock_emission_intensity_2015,oil_lock_emission_intensity_2015,coal_power_annual_emission_existing,gas_power_annual_emission_existing,oil_power_annual_emission_existing,coal_power_lock_emission_existing,gas_power_lock_emission_existing,oil_power_lock_emission_existing,coal_power_annual_emission_new,gas_power_annual_emission_new,oil_power_annual_emission_new,coal_power_lock_emission_new,gas_power_lock_emission_new,oil_power_lock_emission_new,coal_annual_emission_overall,gas_annual_emission_overall,oil_annual_emission_overall,coal_power_lock_emission_overall,gas_power_lock_emission_overall,oil_power_lock_emission_overall
2038,2155.6,2063.0,297.0,1982.3222649999998,1615.100001,388.40000019999997,6.93,28.1,2.86,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.644987614,3.5420364139999996,0.842868938,119.8826122,44.61319297,11.87813322,0.04,0.07,0.01,1.3,2.43,0.25,10.55498761,4.622036414,1.4228689380000001,137.4941122,73.17594297,24.094883220000003
2039,2159.7,2095.7,293.0,1981.4175850000001,1615.100001,388.40000019999997,5.0,32.7,5.78,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.614869247,3.517541571,0.836084438,119.21620259999999,46.28780593,12.45514443,0.03,0.08,0.01,0.94,2.83,0.51,10.55486925,4.677541571,1.4260844380000002,136.9569526,76.71330592999999,24.66589443
2040,2164.5,2121.9,290.8,1979.1012620000001,1615.100001,388.40000019999997,7.12,26.2,3.36,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.557301879,3.49048929,0.8314831709999999,121.792961,48.32616075,12.65719035,0.04,0.06,0.01,1.33,2.26,0.3,10.53730188,4.71048929,1.431483171,140.029461,79.97366075,24.63919035
2041,2169.0,2150.4,287.9,1973.832762,1615.100001,388.40000019999997,9.77,28.5,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.505106622000001,3.469245861,0.829910282,121.9228885,49.83971031,12.61138404,0.05,0.07,0.0,1.83,2.46,0.0,10.53510662,4.759245861,1.4299102819999998,141.1218885,82.85271030999999,24.05713404
2042,2173.8,2180.6,285.7,1968.422084,1612.458884,387.7026244,10.21,32.84,2.85,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.414624184,3.4459072269999997,0.8215034259999999,128.8196408,51.11890414,13.2471987,0.05,0.08,0.01,1.91,2.84,0.25,10.49462418,4.815907227,1.431503426,149.0153908,85.81590414,24.4066987
2043,2177.8,2210.3,283.1,1949.6359850000001,1598.901777,384.20475730000004,22.79,43.26,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.278737928,3.394092052,0.810220197,132.6425192,52.87944413,13.41350502,0.12,0.1,0.0,4.27,3.74,0.0,10.47873793,4.864092052,1.420220197,156.1472692,90.08944413,24.03050502
2044,2183.8,2246.5,280.8,1913.5842460000001,1568.35633,376.87742369999995,42.05,66.75,0.62,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.051749669,3.301335785,0.7923761359999999,137.58450269999997,55.70258236,13.29312974,0.22,0.16,0.0,7.87,5.77,0.05,10.47174967,4.931335785,1.402376136,167.89150269999996,97.36208236000002,23.417629740000002
2045,2189.5,2281.3,279.3,1870.1065039999999,1536.35834,368.9933878,49.18,66.8,4.93,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,8.769209468,3.215889475,0.7704201340000001,147.0976823,56.66053903,13.551599,0.26,0.16,0.01,9.21,5.77,0.44,10.44920947,5.005889475,1.390420134,185.3501823,102.62528903,23.572349
2046,2197.4,2317.2,274.9,1839.27438,1508.611038,362.38419500000003,38.73,63.65,5.07,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,8.585858166,3.126028277,0.750112158,150.2494207,60.25132216,14.23345998,0.2,0.15,0.01,7.25,5.5,0.45,10.46585817,5.066028277,1.3801121580000002,194.25717070000002,110.10707216,24.149459979999996
2047,2204.9,2350.6,272.7,1816.9154,1493.386052,358.9265628,29.86,48.62,5.74,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,8.423520281,3.073476155,0.738465388,157.8575068,62.21225388,14.55236189,0.16,0.12,0.01,5.59,4.2,0.51,10.46352028,5.133476155,1.3784653880000002,205.7792568,114.52150387999998,24.41236189
2048,2212.3,2378.8,269.8,1761.6149260000002,1450.10566,348.62262589999995,62.7,71.48,13.22,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,8.09062265,2.955659595,0.7108729359999999,167.089968,64.99978951,15.18013227,0.33,0.17,0.03,11.74,6.18,1.17,10.46062265,5.185659595,1.380872936,224.935968,121.63753951,25.631382269999996
2049,2218.0,2406.3,267.6,1758.482316,1449.436911,349.0668744,8.83,28.17,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,8.032181293999999,2.9382576260000004,0.7095296879999999,174.4191849,67.16546127,15.354286199999999,0.05,0.07,0.0,1.65,2.43,0.0,10.45218129,5.238257626,1.379529688,231.8059349,124.22721127,25.197536200000002
2050,2224.8,2436.1,265.4,1716.0154129999999,1417.7982240000001,341.45451230000003,49.27,61.44,3.71,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,7.758142024,2.851135228,0.688338071,185.8431908,69.36431592,15.92606913,0.26,0.15,0.01,9.22,5.31,0.33,10.43814202,5.301135228,1.368338071,250.2994408,129.66931592,25.49131913
