primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
subbituminous,subcritical,27,1500,1330,46.61,8744750.00,8
subbituminous,subcritical,27,1600,1419,46.22,9329925.00,8
subbituminous,subcritical,27,1700,1507,45.87,9908525.00,8
subbituminous,subcritical,27,1800,1596,45.55,10493700.00,8
subbituminous,subcritical,27,1900,1685,45.27,11078875.00,8
subbituminous,subcritical,27,2000,1773,45.02,11657475.00,8
subbituminous,subcritical,27,2100,1862,44.78,12242650.00,8
subbituminous,subcritical,27,2200,1951,44.57,12827825.00,8
subbituminous,subcritical,27,2300,2039,44.38,13406425.00,8
subbituminous,subcritical,27,2400,2128,44.19,13991600.00,8
subbituminous,subcritical,27,2500,2217,44.02,14576775.00,8
subbituminous,subcritical,30,100,88.74,96.6,583465.50,9
subbituminous,subcritical,30,200,177.4,74.34,1166405.00,9
subbituminous,subcritical,30,300,266.1,65.61,1749607.50,9
subbituminous,subcritical,30,400,354.7,60.67,2332152.50,9
subbituminous,subcritical,30,500,443.4,57.4,2915355.00,9
subbituminous,subcritical,30,600,532,55.03,3497900.00,9
subbituminous,subcritical,30,700,620.7,53.2,4081102.50,9
subbituminous,subcritical,30,800,709.3,51.72,4663647.50,9
subbituminous,subcritical,30,900,798,50.5,5246850.00,9
subbituminous,subcritical,30,1000,886.7,49.45,5830052.50,9
subbituminous,subcritical,30,1100,975.3,48.54,6412597.50,9
subbituminous,subcritical,30,1200,1064,47.74,6995800.00,9
subbituminous,subcritical,30,1300,1153,47.03,7580975.00,9
subbituminous,subcritical,30,1400,1241,46.44,8159575.00,9
subbituminous,subcritical,30,1500,1330,46,8744750.00,9
subbituminous,subcritical,30,1600,1419,45.62,9329925.00,9
subbituminous,subcritical,30,1700,1507,45.27,9908525.00,9
subbituminous,subcritical,30,1800,1596,44.96,10493700.00,9
subbituminous,subcritical,30,1900,1685,44.68,11078875.00,9
subbituminous,subcritical,30,2000,1773,44.43,11657475.00,9
subbituminous,subcritical,30,2100,1862,44.2,12242650.00,9
subbituminous,subcritical,30,2200,1951,43.99,12827825.00,9
subbituminous,subcritical,30,2300,2039,43.8,13406425.00,9
subbituminous,subcritical,30,2400,2128,43.62,13991600.00,9
subbituminous,subcritical,30,2500,2217,43.45,14576775.00,9
subbituminous,subcritical,33,100,88.74,95.47,583465.50,10
subbituminous,subcritical,33,200,177.4,73.39,1166405.00,10
subbituminous,subcritical,33,300,266.1,64.74,1749607.50,10
subbituminous,subcritical,33,400,354.7,59.87,2332152.50,10
subbituminous,subcritical,33,500,443.4,56.64,2915355.00,10
subbituminous,subcritical,33,600,532,54.29,3497900.00,10
subbituminous,subcritical,33,700,620.7,52.49,4081102.50,10
subbituminous,subcritical,33,800,709.3,51.03,4663647.50,10
subbituminous,subcritical,33,900,798,49.82,5246850.00,10
subbituminous,subcritical,33,1000,886.7,48.79,5830052.50,10
subbituminous,subcritical,33,1100,975.3,47.9,6412597.50,10
subbituminous,subcritical,33,1200,1064,47.11,6995800.00,10
subbituminous,subcritical,33,1300,1153,46.4,7580975.00,10
subbituminous,subcritical,33,1400,1241,45.83,8159575.00,10
subbituminous,subcritical,33,1500,1330,45.39,8744750.00,10
subbituminous,subcritical,33,1600,1419,45.01,9329925.00,10
subbituminous,subcritical,33,1700,1507,44.67,9908525.00,10
subbituminous,subcritical,33,1800,1596,44.37,10493700.00,10
subbituminous,subcritical,33,1900,1685,44.09,11078875.00,10
subbituminous,subcritical,33,2000,1773,43.85,11657475.00,10
subbituminous,subcritical,33,2100,1862,43.62,12242650.00,10
subbituminous,subcritical,33,2200,1951,43.41,12827825.00,10
subbituminous,subcritical,33,2300,2039,43.22,13406425.00,10
subbituminous,subcritical,33,2400,2128,43.04,13991600.00,10
subbituminous,subcritical,33,2500,2217,42.87,14576775.00,10
subbituminous,subcritical,37,100,88.74,93.97,583465.50,11
subbituminous,subcritical,37,200,177.4,72.12,1166405.00,11
subbituminous,subcritical,37,300,266.1,63.59,1749607.50,11
subbituminous,subcritical,37,400,354.7,58.79,2332152.50,11
subbituminous,subcritical,37,500,443.4,55.62,2915355.00,11
subbituminous,subcritical,37,600,532,53.31,3497900.00,11
subbituminous,subcritical,37,700,620.7,51.54,4081102.50,11
subbituminous,subcritical,37,800,709.3,50.11,4663647.50,11
subbituminous,subcritical,37,900,798,48.93,5246850.00,11
subbituminous,subcritical,37,1000,886.7,47.92,5830052.50,11
subbituminous,subcritical,37,1100,975.3,47.04,6412597.50,11
subbituminous,subcritical,37,1200,1064,46.26,6995800.00,11
subbituminous,subcritical,37,1300,1153,45.57,7580975.00,11
subbituminous,subcritical,37,1400,1241,45.01,8159575.00,11
