powerplanteic,time,power,*
48WSTN00000SIZBP,31,1196.46,*
48WSTN00000SIZBP,32,1196.94,*
48WSTN00000SIZBP,33,1196.3200000000002,*
48WSTN00000SIZBP,34,1197.24,*
48WSTN00000SIZBP,35,1196.0,*
48WSTN00000SIZBP,36,1197.02,*
48WSTN00000SIZBP,37,1197.06,*
48WSTN00000SIZBP,38,1196.8200000000002,*
48WSTN00000SIZBP,39,1196.64,*
48WSTN00000SIZBP,40,1196.06,*
48WSTN00000SIZBP,41,1196.84,*
48WSTN00000SIZBP,42,1197.1799999999998,*
48WSTN00000SIZBP,43,1196.98,*
48WSTN00000SIZBP,44,1197.04,*
48WSTN00000SIZBP,45,1196.82,*
48WSTN00000SIZBP,46,1196.14,*
48WSTN00000SIZBP,47,1195.62,*
48WSTN00000SIZBP,48,1196.32,*
48WSTN00000TORNX,1,635.424,*
48WSTN00000TORNX,2,635.152,*
48WSTN00000TORNX,3,634.84,*
48WSTN00000TORNX,4,635.192,*
48WSTN00000TORNX,5,635.04,*
48WSTN00000TORNX,6,635.032,*
48WSTN00000TORNX,7,633.744,*
48WSTN00000TORNX,8,635.16,*
48WSTN00000TORNX,9,634.448,*
48WSTN00000TORNX,10,634.28,*
48WSTN00000TORNX,11,634.416,*
48WSTN00000TORNX,12,636.464,*
48WSTN00000TORNX,13,638.024,*
48WSTN00000TORNX,14,636.736,*
48WSTN00000TORNX,15,638.112,*
48WSTN00000TORNX,16,638.512,*
48WSTN00000TORNX,17,637.504,*
48WSTN00000TORNX,18,637.784,*
48WSTN00000TORNX,19,637.752,*
48WSTN00000TORNX,20,637.656,*
48WSTN00000TORNX,21,638.288,*
48WSTN00000TORNX,22,637.96,*
48WSTN00000TORNX,23,637.536,*
