generatoreic,time,power,*
48W000000DAMC-1M,12,0.0,*
48W000000DAMC-1M,13,0.0,*
48W000000DAMC-1M,14,0.0,*
48W000000DAMC-1M,15,0.0,*
48W000000DAMC-1M,16,0.0,*
48W000000DAMC-1M,17,0.0,*
48W000000DAMC-1M,18,0.0,*
48W000000DAMC-1M,19,0.0,*
48W000000DAMC-1M,20,0.0,*
48W000000DAMC-1M,21,0.0,*
48W000000DAMC-1M,22,0.0,*
48W000000DAMC-1M,23,0.0,*
48W000000DAMC-1M,24,0.0,*
48W000000DAMC-1M,25,66.15,*
48W000000DAMC-1M,26,261.9,*
48W000000DAMC-1M,27,466.02,*
48W000000DAMC-1M,28,481.41,*
48W000000DAMC-1M,29,481.14,*
48W000000DAMC-1M,30,481.14,*
48W000000DAMC-1M,31,480.6,*
48W000000DAMC-1M,32,519.21,*
48W000000DAMC-1M,33,750.6,*
48W000000DAMC-1M,34,768.42,*
48W000000DAMC-1M,35,771.12,*
48W000000DAMC-1M,36,771.39,*
48W000000DAMC-1M,37,770.58,*
48W000000DAMC-1M,38,771.66,*
48W000000DAMC-1M,39,768.69,*
48W000000DAMC-1M,40,607.77,*
48W000000DAMC-1M,41,566.73,*
48W000000DAMC-1M,42,571.59,*
48W000000DAMC-1M,43,712.26,*
48W000000DAMC-1M,44,579.15,*
48W000000DAMC-1M,45,659.88,*
48W000000DAMC-1M,46,622.89,*
48W000000DAMC-1M,47,507.06,*
48W000000DAMC-1M,48,481.41,*
48W000000COSO-1F,1,0.0,*
48W000000COSO-1F,2,0.0,*
48W000000COSO-1F,3,0.0,*
48W000000COSO-1F,4,0.0,*
48W000000COSO-1F,5,0.0,*
48W000000COSO-1F,6,0.0,*
48W000000COSO-1F,7,0.0,*
48W000000COSO-1F,8,0.0,*
48W000000COSO-1F,9,0.0,*
48W000000COSO-1F,10,0.0,*
48W000000COSO-1F,11,0.0,*
48W000000COSO-1F,12,0.0,*
48W000000COSO-1F,13,0.0,*
48W000000COSO-1F,14,0.0,*
48W000000COSO-1F,15,0.0,*
48W000000COSO-1F,16,0.0,*
48W000000COSO-1F,17,0.0,*
48W000000COSO-1F,18,0.0,*
48W000000COSO-1F,19,0.0,*
48W000000COSO-1F,20,0.0,*
48W000000COSO-1F,21,0.0,*
48W000000COSO-1F,22,0.0,*
48W000000COSO-1F,23,0.0,*
48W000000COSO-1F,24,0.0,*
48W000000COSO-1F,25,0.0,*
48W000000COSO-1F,26,0.0,*
48W000000COSO-1F,27,9.978,*
48W000000COSO-1F,28,126.15,*
48W000000COSO-1F,29,502.834,*
48W000000COSO-1F,30,534.108,*
48W000000COSO-1F,31,534.47,*
48W000000COSO-1F,32,545.246,*
48W000000COSO-1F,33,617.346,*
48W000000COSO-1F,34,598.068,*
48W000000COSO-1F,35,542.408,*
48W000000COSO-1F,36,597.754,*
48W000000COSO-1F,37,526.368,*
48W000000COSO-1F,38,546.576,*
48W000000COSO-1F,39,543.222,*
48W000000COSO-1F,40,557.424,*
48W000000COSO-1F,41,544.15,*
48W000000COSO-1F,42,312.254,*
48W000000COSO-1F,43,0.0,*
48W000000COSO-1F,44,0.0,*
48W000000COSO-1F,45,0.0,*
48W000000COSO-1F,46,0.0,*
48W000000COSO-1F,47,0.0,*
48W000000COSO-1F,48,0.0,*
48W000000DIDCB5C,1,0.0,*
48W000000DIDCB5C,2,0.0,*
48W000000DIDCB5C,3,0.0,*
48W000000DIDCB5C,4,0.0,*
48W000000DIDCB5C,5,0.0,*
48W000000DIDCB5C,6,0.0,*
48W000000DIDCB5C,7,0.0,*
48W000000DIDCB5C,8,0.0,*
48W000000DIDCB5C,9,0.0,*
48W000000DIDCB5C,10,0.0,*
48W000000DIDCB5C,11,0.0,*
48W000000DIDCB5C,12,0.0,*
48W000000DIDCB5C,13,0.0,*
48W000000DIDCB5C,14,0.0,*
48W000000DIDCB5C,15,92.6,*
48W000000DIDCB5C,16,252.2,*
48W000000DIDCB5C,17,514.2,*
48W000000DIDCB5C,18,718.0,*
48W000000DIDCB5C,19,720.2,*
48W000000DIDCB5C,20,720.4,*
48W000000DIDCB5C,21,722.2,*
48W000000DIDCB5C,22,721.8,*
48W000000DIDCB5C,23,720.2,*
48W000000DIDCB5C,24,720.4,*
48W000000DIDCB5C,25,719.4,*
48W000000DIDCB5C,26,719.8,*
48W000000DIDCB5C,27,719.0,*
48W000000DIDCB5C,28,718.2,*
48W000000DIDCB5C,29,718.2,*
48W000000DIDCB5C,30,718.6,*
48W000000DIDCB5C,31,718.4,*
48W000000DIDCB5C,32,718.4,*
48W000000DIDCB5C,33,718.4,*
48W000000DIDCB5C,34,719.0,*
48W000000DIDCB5C,35,719.2,*
48W000000DIDCB5C,36,719.4,*
48W000000DIDCB5C,37,719.2,*
48W000000DIDCB5C,38,720.6,*
48W000000DIDCB5C,39,720.8,*
48W000000DIDCB5C,40,721.6,*
48W000000DIDCB5C,41,722.2,*
48W000000DIDCB5C,42,723.4,*
48W000000DIDCB5C,43,723.6,*
48W000000DIDCB5C,44,723.4,*
48W000000DIDCB5C,45,724.0,*
48W000000DIDCB5C,46,721.8,*
48W000000DIDCB5C,47,724.8,*
48W000000DIDCB5C,48,691.6,*
48W000000LBAR-1Y,1,0.06,*
48W000000LBAR-1Y,2,0.08,*
48W000000LBAR-1Y,3,0.06,*
48W000000LBAR-1Y,4,0.08,*
48W000000LBAR-1Y,5,0.06,*
48W000000LBAR-1Y,6,0.08,*
48W000000LBAR-1Y,7,0.06,*
48W000000LBAR-1Y,8,0.06,*
48W000000LBAR-1Y,9,0.08,*
48W000000LBAR-1Y,10,0.06,*
48W000000LBAR-1Y,11,0.08,*
48W000000LBAR-1Y,12,0.06,*
48W000000LBAR-1Y,13,0.06,*
48W000000LBAR-1Y,14,0.08,*
48W000000LBAR-1Y,15,0.08,*
48W000000LBAR-1Y,16,0.08,*
48W000000LBAR-1Y,17,0.06,*
48W000000LBAR-1Y,18,0.08,*
48W000000LBAR-1Y,19,0.08,*
48W000000LBAR-1Y,20,0.06,*
48W000000LBAR-1Y,21,0.06,*
48W000000LBAR-1Y,22,0.04,*
48W000000LBAR-1Y,23,0.08,*
48W000000LBAR-1Y,24,0.04,*
48W000000LBAR-1Y,25,0.06,*
48W000000LBAR-1Y,26,0.06,*
48W000000LBAR-1Y,27,0.06,*
48W000000LBAR-1Y,28,0.06,*
48W000000LBAR-1Y,29,0.06,*
48W000000LBAR-1Y,30,0.06,*
48W000000LBAR-1Y,31,0.04,*
48W000000LBAR-1Y,32,0.06,*
48W000000LBAR-1Y,33,0.06,*
48W000000LBAR-1Y,34,0.06,*
48W000000LBAR-1Y,35,0.06,*
48W000000LBAR-1Y,36,0.06,*
48W000000LBAR-1Y,37,0.06,*
48W000000LBAR-1Y,38,0.06,*
48W000000LBAR-1Y,39,0.06,*
48W000000LBAR-1Y,40,0.04,*
48W000000LBAR-1Y,41,0.06,*
48W000000LBAR-1Y,42,0.04,*
48W000000LBAR-1Y,43,0.04,*
48W000000LBAR-1Y,44,0.06,*
48W000000LBAR-1Y,45,0.04,*
48W000000LBAR-1Y,46,0.06,*
48W000000LBAR-1Y,47,0.04,*
48W000000LBAR-1Y,48,0.06,*
48W000000DIDCB6A,1,442.0,*
48W000000DIDCB6A,2,442.4,*
48W000000DIDCB6A,3,442.6,*
48W000000DIDCB6A,4,442.4,*
48W000000DIDCB6A,5,442.4,*
48W000000DIDCB6A,6,442.6,*
48W000000DIDCB6A,7,442.4,*
48W000000DIDCB6A,8,442.0,*
48W000000DIDCB6A,9,464.4,*
48W000000DIDCB6A,10,442.4,*
48W000000DIDCB6A,11,442.4,*
48W000000DIDCB6A,12,442.4,*
48W000000DIDCB6A,13,533.2,*
48W000000DIDCB6A,14,682.8,*
48W000000DIDCB6A,15,677.8,*
48W000000DIDCB6A,16,671.8,*
48W000000DIDCB6A,17,673.6,*
48W000000DIDCB6A,18,686.0,*
48W000000DIDCB6A,19,678.4,*
48W000000DIDCB6A,20,671.0,*
48W000000DIDCB6A,21,674.4,*
48W000000DIDCB6A,22,683.0,*
48W000000DIDCB6A,23,672.6,*
48W000000DIDCB6A,24,683.4,*
48W000000DIDCB6A,25,672.8,*
48W000000DIDCB6A,26,676.8,*
48W000000DIDCB6A,27,675.0,*
48W000000DIDCB6A,28,675.2,*
48W000000DIDCB6A,29,674.6,*
48W000000DIDCB6A,30,675.0,*
48W000000DIDCB6A,31,675.0,*
48W000000DIDCB6A,32,675.2,*
48W000000DIDCB6A,33,676.4,*
48W000000DIDCB6A,34,676.8,*
48W000000DIDCB6A,35,678.0,*
48W000000DIDCB6A,36,678.4,*
48W000000DIDCB6A,37,678.2,*
48W000000DIDCB6A,38,679.2,*
48W000000DIDCB6A,39,679.0,*
48W000000DIDCB6A,40,679.2,*
48W000000DIDCB6A,41,678.8,*
48W000000DIDCB6A,42,679.2,*
48W000000DIDCB6A,43,680.6,*
48W000000DIDCB6A,44,681.2,*
48W000000DIDCB6A,45,681.0,*
48W000000DIDCB6A,46,681.0,*
48W000000DIDCB6A,47,681.0,*
48W000000DIDCB6A,48,656.8,*
48W000000SIZB-1U,1,602.22,*
48W000000SIZB-1U,2,598.66,*
48W000000SIZB-1U,3,599.48,*
48W000000SIZB-1U,4,601.98,*
48W000000SIZB-1U,5,602.04,*
48W000000SIZB-1U,6,601.8,*
48W000000SIZB-1U,7,601.78,*
48W000000SIZB-1U,8,601.56,*
48W000000SIZB-1U,9,601.82,*
48W000000SIZB-1U,10,601.62,*
48W000000SIZB-1U,11,602.16,*
48W000000SIZB-1U,12,601.54,*
48W000000SIZB-1U,13,601.96,*
48W000000SIZB-1U,14,601.62,*
48W000000SIZB-1U,15,601.76,*
48W000000SIZB-1U,16,601.88,*
