13STo   13STm   20VEo   20VEm   61WBo   61WBm   64KSo   64KSm   21BIo   21BIm   24FLo   24FLm   54BLo   54BLm   72FIo   72FIm   27TAo   27TAm   51BFo   51BFm   52NGo   52NGm   74BTo   74BTm   73FWo   73FWm
  54.100   20.125   58.400   43.832   61.200    8.897   57.400   67.168   60.700   21.679   28.700    8.236   13.600   14.481   18.100    1.781   39.000    4.283   18.800    2.778   11.400    2.451   62.800   32.621   18.200    7.718
  42.800   34.293   57.500   60.114   38.600   31.314   56.000   71.606   60.700   40.610   35.900   26.983   16.500   29.774   16.000   28.138   32.000    7.780   24.100   12.121   14.500   15.770   70.700   50.387   17.100   31.813
 -99.000   38.757   39.700   59.624   31.600   22.927   42.900   71.700   42.700   31.405   27.600   23.317   14.300   22.783   13.000   18.980   22.300    2.730   30.800    7.064    8.600    7.498   55.900   45.577   10.700   18.402
 -99.000   20.283   30.800   48.396   22.500   13.823   31.200   57.990   27.200   20.520   16.800   15.471    7.100    9.751    8.800    8.391   15.400    1.272   23.200    5.484    4.900    3.108   37.000   29.051    5.600    7.040
 -99.000   13.764   22.800   41.822   15.700    9.177   33.500   46.783   21.800   18.175   11.700   11.326    5.500    6.615    6.300    3.445   12.000    1.000   11.900    4.642    2.000    2.187   34.700   22.577    5.500    3.231
 -99.000   10.472   20.800   39.335   14.100    7.504   31.400   42.262   17.800   15.766    7.500    8.781    4.100    4.775    4.900    2.393    8.500    0.733    7.000    3.516    2.000    1.663   35.100   19.542    5.400    2.462
  16.200    9.748   24.700   35.655   11.700    6.623   34.800   40.355   22.100   15.277    8.900    7.101    4.600    3.992    7.000    1.830    7.900    0.611    8.400    2.686    2.000    1.679   36.500   18.951    2.000    1.967
  17.600    9.497   28.200   29.838   19.800    6.109   34.800   40.158   24.000   13.359    9.800    5.931    4.700    3.916    9.600    1.722    9.700    0.568    9.800    2.512    5.400    1.736   45.700   19.013    6.200    1.549
  18.300   14.008   28.400   30.404   16.000    8.000   41.000   47.369   20.700   15.993   14.000    9.809   11.500    5.572   11.300    2.991    8.600    0.789    7.800    3.853    5.800    2.304   44.200   20.791    9.700    2.135
  20.100   30.773   32.200   51.029   15.800   11.479   47.900   62.472   21.900   24.091    9.900   17.046   11.900   10.537   11.000    6.238    9.700    1.157   10.700    7.080    7.600    2.277   44.500   27.124   11.300    2.433
  23.200   22.953   29.900   33.484   18.400    7.926   49.400   52.338   22.400   21.047   14.900   14.733    9.200    5.887   10.700    4.052   13.800    0.490   18.100    8.835   11.300    2.267   46.800   24.052   11.400    3.915
  29.200   21.122   31.400   31.508   20.100    9.701   42.600   48.271   20.700   21.359   26.400   10.648   13.700    4.091   15.800    2.911   16.600    0.948   18.800    8.443   13.800    2.201   45.100   24.668   16.500    4.875
  31.200   27.356   39.500   33.989   20.300   13.159   50.000   53.178   25.700   25.985   31.000    8.141   10.200    5.616   16.800    2.706   16.200    2.265   12.800   15.159   12.000    1.951   41.000   24.472   15.000    4.310
  37.200   23.571   54.700   30.084   48.000   18.638   47.200   45.033   34.000   25.542   30.500    5.546   10.900    5.324   25.200    2.669   19.000    3.432    9.500   14.107   14.200    1.810   37.700   24.016   14.100    2.984
  50.100   18.705   62.000   31.295   51.200   24.002   55.900   39.953   38.800   28.246   38.800    6.213   15.100    4.962   15.600    4.078   20.000    5.929   14.900    8.923   17.300    2.013   45.700   27.472   19.300    3.101
  59.500   32.382   54.900   48.039   30.000   33.454   56.400   49.296   51.400   38.059   49.900    9.454   33.500    6.743   15.200    9.290   20.500    8.711   21.000   13.061   18.500    4.505   52.900   41.178   21.100    6.846
  55.200   48.511   44.600   59.093   37.400   47.260   50.400   64.493   49.100   54.196   37.200   12.263   18.800    8.675   14.100    8.034   24.400   10.613   19.800   16.726   13.700    6.862   52.500   56.217   19.900    5.669
  43.400   51.783   46.100   64.080   34.500   52.266   39.300   69.433   40.000   62.045  -99.000   10.879   14.400    9.527   19.600    5.351   19.900    9.624   21.000   14.425   15.000    5.237   44.700   62.260   16.500    7.282
  13.700   42.271   23.800   54.514   23.900   45.765   18.200   42.922   23.100   58.530   13.300    5.976   14.000    8.726   13.000    4.167   19.700    5.969   18.400    8.426   14.500    3.053   28.800   45.667   13.800    4.840
  16.300   29.397   22.500   33.397   28.400   18.504   20.000   26.805   15.000   51.813    9.300    3.410    9.300    6.790   12.000    2.943   14.900    4.965    9.800    4.580   12.200    1.759   13.000   40.758   13.300    3.304
  16.800   32.368   23.700   27.944   32.400   33.740   17.600   24.865   15.800   45.366   11.000    2.530  -99.000    5.293    8.200    2.600   17.400    4.828    8.700    3.455   11.400    1.471   12.800   32.439   10.800    2.855
  15.500   27.041   20.700   30.213   30.300   38.325   21.300   22.506   17.200   48.830   10.100    2.247    6.900    4.929   18.100    2.412   22.800    5.571    9.300    2.698   10.400    1.420   19.700   35.792   27.600    2.645
  16.000   29.584   27.200   30.774   32.800   37.953   29.400   27.117   22.300   51.413   10.400    2.783   15.600    4.981   18.100    2.557   22.300    6.306   11.500    3.140    7.500    1.593   34.300   39.105   11.200    2.914
  26.800   31.592   41.400   34.723   32.100   39.565   44.900   40.151   38.500   53.628   17.800    4.568    9.200    4.823   17.100    3.197   29.800    7.985   14.500    5.338   10.600    2.134   45.900   47.365   17.900    3.829
  24.100   38.442   33.800   48.614   33.200   43.245   38.100   82.234   32.900   62.944   20.200   10.731    9.700    5.939   14.100    5.973   21.600   14.699   17.700   12.641   11.200    3.886   45.100   71.023    9.500    7.519
  21.900   64.916   32.200   71.760   28.300   50.822   37.400   92.371   28.900   69.482   19.300   26.513    8.800    8.076   10.100    9.102   20.300   34.766   14.000   26.727    6.200    8.554   40.000   79.137    6.500    6.232
  13.100   43.464   25.300   70.780   17.500   44.256   31.700  103.039   22.500   72.500   13.400   14.237    7.700    5.276    7.400    7.373   20.400   30.730   11.500   22.641    2.000    4.209   35.600   86.244    2.000    2.714
  11.200   22.249   25.700   52.065   16.100   33.162   36.400   75.713   22.600   45.809    9.000    6.521    4.800    4.204    4.600    4.705    9.100   20.653    7.300   11.064    2.000    2.166   33.700   62.412    2.000    1.209
   9.400   16.157   21.800   38.993   13.100   27.860   33.800   60.434   23.200   33.839    8.000    5.358    7.900    4.308    2.000    4.227    6.100   12.397    8.500    7.667    2.000    1.885   29.200   43.956    2.000    1.431
  12.400   13.000   26.200   30.917   19.100   21.948   40.100   51.136   23.200   29.749    8.200    4.785    8.100    3.734    8.800    2.992    7.200    6.635    6.800    6.283    2.000    1.675   35.200   37.617    8.700    1.366
  12.100   14.968   34.200   30.524   23.300   17.421   33.900   53.481   29.200   30.397   11.200    5.392    8.000    3.672   11.700    3.102   12.400    5.074    7.200    7.137    2.000    2.024   43.900   36.841   10.600    2.317
  13.000   17.101   23.700   27.289   21.000   13.351   25.400   52.366   24.600   25.812   10.600    4.664    7.000    3.540   10.100    2.892   15.800    4.130    7.500    8.192    7.300    2.148   33.200   32.959    9.200    2.496
   9.200   18.638   21.400   26.700   19.500   12.479   27.600   50.875   18.400   26.409    9.500    4.143    5.300    3.992    9.000    3.375   10.900    4.521    5.300    7.843    5.500    2.306   31.200   33.243    6.500    4.664
   7.500   20.042   20.800   28.951   14.200   12.698   26.800   53.465   16.300   30.384    8.600    4.811    2.000    4.414    6.500    3.903    7.900    6.807    4.900    9.212    5.100    2.574   28.600   33.386    2.000    6.920
   7.400   20.222   17.200   32.671   12.100   12.746   30.800   60.616   13.100   29.664    8.800    6.023    2.000    4.706    5.800    3.642    7.500    7.970    2.000   10.092    2.000    2.567   24.500   36.973    2.000    5.026
   7.100   20.517   18.600   31.603   17.200   12.751   29.600   63.719   11.400   27.235   13.300    5.640    2.000    4.916    6.000    3.507    5.900    7.919    2.000    9.748    2.000    2.492   28.200   38.133    4.300    3.654
   8.000   17.845   20.400   26.170   13.500   11.809   25.000   52.786    9.000   25.159   12.800    4.426    2.000    4.161    2.000    2.721    7.400    5.212    2.000    7.350    2.000    1.964   22.600   31.746    2.000    2.789
   8.900   18.167   17.500   21.759   13.300   11.125   20.700   44.065    9.000   23.099   16.600    3.450    2.000    3.991    5.000    2.433    7.000    3.886    2.000    6.517    8.100    1.831   17.700   25.329    2.000    2.571
  10.100   18.104   25.300   18.989   13.900   12.184   19.200   38.556   13.000   23.253   21.800    4.166    2.000    3.881    2.000    2.881    7.900    4.889    6.400    6.706    2.000    2.139   19.100   22.750    4.900    3.406
  15.700   40.663   27.600   26.623   23.100   11.040   36.500   52.457   19.600   30.682   33.100    7.167    2.000    5.161    9.000    5.440   12.500    6.738    8.200   12.668    7.100    4.052   22.300   30.875    4.400    7.960
  18.500   57.083   22.000   41.610   19.400    5.560   42.600   67.596   15.300   40.543   29.200   11.741    2.000    7.589   12.900    5.911   11.300    9.578   10.600   21.648    2.000    5.379   25.700   41.975    8.400   11.907
  18.400   57.085   21.900   43.439   22.600   17.554   36.600   63.611   10.100   43.111   16.600   11.952    2.000    7.256    8.900    4.531    9.500    7.926   15.200   27.091    2.000    3.864   25.700   40.471   12.900    8.724
  16.600   53.395   17.800   19.842   21.200   16.261   36.300   51.417    7.400   35.879  -99.000    6.463    2.000    6.241    4.600    3.669    6.600    4.914   11.800   16.021    8.400    2.056   17.400   24.676    2.000    4.854
  13.100   34.117   14.300   12.441   12.100    6.900   36.400   24.355    8.900   28.233   22.000    3.172    2.000    3.631   17.600    2.293    8.100    3.225    9.300    6.797   10.700    1.114   16.700   16.167    8.600    2.705
  14.300   24.109   16.300   10.746   13.900    9.338   44.400   18.261   11.300   28.186   19.700    2.145    2.000    3.295   13.100    2.044    9.100    2.784    9.600    3.995   10.800    1.079   25.800   16.259    9.000    2.262
  15.800   19.508   20.700   11.333   14.000   11.456   43.900   15.872   16.300   29.869   22.400    1.885  -99.000    3.485    7.900    1.964    6.800    3.269   12.000    2.905   10.300    1.135   28.100   18.567   13.300    2.152
  28.300   17.515   25.800   15.595   22.500   15.044   51.200   19.947   17.700   36.549   26.300    2.465    2.000    4.546    9.600    2.225    6.900    5.174   13.900    3.131    9.900    1.400   37.000   27.024   18.000    2.508
  23.700   20.354   26.100   23.990   16.700   19.201   49.900   34.540   14.400   48.589   28.000    4.309    2.000    4.539   11.400    3.089    8.900    8.143   14.900    5.087   10.400    2.145   29.600   44.522   13.600    3.787
  11.500   32.963   21.300   49.923    9.100   22.251   28.300   74.843   12.000   61.720   21.300   11.310    2.000    6.042   12.400    6.316   12.400   15.657    8.000   13.648    9.400    4.177   12.900   67.482   12.900    8.749
   7.300   56.206   20.000   64.308   18.700   36.649   18.200   82.872   10.200   59.284    9.300   29.235    2.000    8.382    8.400   11.592   15.900   29.266    4.100   31.347    7.400   12.334   12.700   70.059    2.000    8.232
   4.900   31.689   19.900   67.288   10.500   37.567   20.300   93.211   11.500   62.001   10.200   10.905    2.000    5.171    4.000   10.822   19.500   16.572    5.000   13.812    2.000    2.618   13.800   69.049    2.000    1.385
   2.000   17.534   15.300   34.331   11.400   28.090   18.600   47.414    8.300   32.407    7.500    9.179    2.000    3.919    2.000    8.792   16.500   21.178    2.000    5.857    6.500    0.814   10.900   41.955    2.000    0.075
   2.000   12.543   16.000   18.111   13.400   24.925   15.400   36.967    8.300   26.094    2.000    7.238    2.000    3.149    2.000    8.646   13.100   17.154    2.000    4.290    2.000    0.653    8.800   28.632    2.000    0.228
   2.000   11.254   12.900   16.474    9.200   21.819   16.900   35.872   10.400   23.868    5.100    7.055    2.000    3.417    2.000    8.236   11.800   14.101    2.000    3.976    6.300    0.625   11.300   24.425    2.000    0.340
   5.300   11.039   13.900   17.402    8.400   18.825   16.800   34.628    5.900   21.965    4.900    6.893    2.000    4.630    2.000    7.709   10.900   12.021    2.000    3.686    2.000    0.501    9.200   24.622    2.000    0.445
   5.200   11.580   15.400   21.665    7.200   19.518   17.400   35.333    2.000   22.676    2.000    5.991    2.000    2.209    2.000    7.782    6.000    9.355    2.000    3.411    4.600    0.468   11.000   29.896    2.000    0.261
   5.700   12.509   15.400   28.251    7.100   18.983   13.900   37.356    2.000   21.783    2.000    7.182    2.000    1.447    2.000    7.372    4.100    6.510    2.000    4.493    2.000    0.425   10.900   30.289    2.000    0.075
   4.400   12.252   17.700   21.195    8.700   17.948   18.000   37.116    2.000   21.962    2.000    6.923    4.300    1.039    5.000    7.530    2.000    9.038    2.000    4.262    2.000    0.307    9.400   28.378    4.900    0.113
   5.900   15.854   15.900   23.015    7.300   21.124   18.500   48.690    2.000   31.059    2.000    9.290    2.000    1.213    4.700   10.960    2.000   12.287    2.000    4.497    5.000    0.319    9.900   38.727    2.000    0.456
   5.700   18.298   22.800   26.458    8.800   25.069   22.800   55.805    2.000   31.708    2.000   12.027    2.000    1.406    5.100   12.450    2.000   12.633    2.000    4.970    4.200    0.416    9.300   40.017    2.000    0.614
   8.100   15.739   26.100   20.871   10.400   28.373   27.300   50.429    2.000   25.682    4.300   13.730    2.000    1.333    5.600   12.173    2.000   10.770    2.000    4.478    2.000    0.568   13.700   28.521    2.000    1.658
  10.000   13.349   30.800   18.549   12.500   25.745   22.300   42.180    5.100   23.740    8.700   14.350    4.400    1.182   10.800   11.178    4.200    8.444    2.000    3.296    4.200    0.752   13.800   21.798    4.100    3.918
  14.700   12.130   30.200   16.061   18.000   20.478   31.300   35.891   12.700   22.251   13.300   13.152    6.300    1.413   19.500   11.716    6.500    7.378  -99.000    3.970    6.500    1.368   19.100   16.793   10.000    6.698
  12.400   15.571   30.800   22.308   16.800   28.390   26.700   42.192   10.100   31.177   16.500   22.642    8.700    1.166   29.000   18.799    8.500   11.700    7.700    7.742   10.500    4.347   15.300   26.113   33.300   10.694
  13.500   24.319   25.900   32.767   13.200   36.765   19.100   53.283    8.800   44.245   27.100   27.654   12.200    1.821   16.800   31.226    9.100   18.974   13.300    9.825   18.800    7.314   19.200   41.067   18.400   21.026
