country,capacity_MW,primary_fuel,generation_technology,year,age,output_MWh,fuel_used
Belarus,780,natural_gas,CCGT,1986,31,1790644,gas
Belarus,1035,natural_gas,CCGT,1977,40,5952623,gas
Belarus,1130,natural_gas,CCGT,1961,56,2151392,gas
Belarus,2460,natural_gas,subcritical,1961,56,10900000,gas
Belarus,2640,natural_gas,subcritical,1969,48,7065780,gas
Belgium,1,natural_gas,subcritical,1999,18,2400,gas
Belgium,1,natural_gas,subcritical,2005,12,3798,gas
Belgium,1,natural_gas,subcritical,2001,16,2965,gas
Belgium,2,natural_gas,subcritical,2006,11,6720,gas
Belgium,2,natural_gas,subcritical,2008,9,7533,gas
Belgium,2,natural_gas,subcritical,1995,22,4554,gas
Belgium,2,natural_gas,subcritical,1992,25,6532,gas
Belgium,3,natural_gas,subcritical,1999,18,10865,gas
Belgium,3,natural_gas,subcritical,2003,14,9552,gas
Belgium,3,natural_gas,subcritical,2009,8,33649,gas
Belgium,4,natural_gas,subcritical,2001,16,13006,gas
Belgium,5,natural_gas,subcritical,2002,15,18175,gas
Belgium,37,natural_gas,OCGT,2002,15,43085,gas
Belgium,83,natural_gas,OCGT,1976,41,204950,oil
Belgium,126,natural_gas,OCGT,1951,66,506470,gas
Belgium,130,natural_gas,cogeneration,1951,66,437677,gas
Belgium,156,natural_gas,OCGT,1951,66,186171,gas
Belgium,210,natural_gas,OCGT,1924,93,342142,gas
Belgium,238,natural_gas,CCGT,1924,93,447247,gas
Belgium,255,coal,subcritical,1924,93,39253,coal
Belgium,350,natural_gas,CCGT,1924,93,1365103,gas
Belgium,359,natural_gas,CCGT,1998,19,1365103,gas
Belgium,385,natural_gas,CCGT,1986,31,2437200,gas
Belgium,389,natural_gas,subcritical,1986,31,1688199,gas
Belgium,400,natural_gas,subcritical,2006,11,1093263,gas
Belgium,405,natural_gas,subcritical,2011,6,0,gas
Belgium,410,natural_gas,CCGT,2011,6,366238,gas
Belgium,420,natural_gas,CCGT,1968,49,744571,gas
Belgium,422,natural_gas,CCGT,2011,6,0,gas
Belgium,438,coal,subcritical,2011,6,2721132,coal
Belgium,460,natural_gas,CCGT,1998,19,1490472,gas
Belgium,485,natural_gas,CCGT,1994,23,2627965,gas
Belgium,538,natural_gas,CCGT,1994,23,1015459,gas
Belgium,543,natural_gas,CCGT,1993,24,1920523,gas
Belgium,556,coal,subcritical,1993,24,3848348,coal
Belgium,889,coal,subcritical,1993,24,0,coal
Belgium,930,coal,subcritical,1998,19,0,gas
Bolivia,14,natural_gas,OCGT,1998,19,4463,gas
Bolivia,42,natural_gas,OCGT,1998,19,191232,gas
Bolivia,80,natural_gas,OCGT,1998,19,238236,gas
Bolivia,90,natural_gas,OCGT,2000,17,157902,gas
Bolivia,120,natural_gas,OCGT,2000,17,120000,gas
Bolivia,153,natural_gas,OCGT,2000,17,678960,gas
Bolivia,167,natural_gas,OCGT,2000,17,949797,gas
Bolivia,350,natural_gas,OCGT,2000,17,1365103,gas
Bosnia_and_Herzegovina,300,lignite,supercritical,2000,17,1990822,coal
Bosnia_and_Herzegovina,450,lignite,subcritical,2000,17,2675795,coal
Bosnia_and_Herzegovina,730,lignite,subcritical,2000,17,307639,coal
Botswana,20,lignite,subcritical,1991,26,14091,coal
Botswana,132,bituminous,subcritical,1991,26,0,coal
Botswana,190,natural_gas,CCGT,1991,26,229086,gas
Botswana,600,bituminous,subcritical,1991,26,3402101,coal
Brazil,20,coal,subcritical,1991,26,14091,coal
Brazil,24,oil,subcritical,1991,26,33927,oil
Brazil,30,oil,subcritical,1991,26,28760,oil
Brazil,33,oil,subcritical,1991,26,28378,oil
Brazil,48,oil,subcritical,2002,15,20151,oil
Brazil,60,oil,subcritical,2006,11,36949,gas
Brazil,66,oil,subcritical,2006,11,44123,oil
Brazil,72,coal,subcritical,2006,11,12236,coal
Brazil,83,oil,engine,2006,11,0,oil
Brazil,85,oil,engine,2006,11,14042,oil
Brazil,128,natural_gas,OCGT,2006,11,437677,gas
Brazil,176,oil,engine,2006,11,416230,oil
Brazil,190,oil,engine,1999,18,192948,gas
Brazil,198,natural_gas,OCGT,1999,18,0,gas
Brazil,226,natural_gas,CCGT,2002,15,1153882,gas
Brazil,230,oil,cogeneration,2002,15,530052,oil
Brazil,240,natural_gas,OCGT,2002,15,0,gas
Brazil,246,natural_gas,cogeneration,2002,15,1119999,gas
Brazil,250,natural_gas,cogeneration,1997,20,159382,gas
Brazil,326,natural_gas,cogeneration,2003,14,1385502,gas
Brazil,342,natural_gas,cogeneration,2003,14,1056906,gas
Brazil,346,natural_gas,CCGT,2003,14,1365103,gas
Brazil,347,natural_gas,OCGT,2003,14,1365103,gas
Brazil,360,coal,subcritical,2003,14,1710553,coal
Brazil,360,natural_gas,CCGT,2003,14,1641762,gas
Brazil,384,natural_gas,OCGT,2003,14,1239909,gas
Brazil,394,natural_gas,OCGT,2001,16,391080,gas
Brazil,436,oil,subcritical,2001,16,2202695,oil
Brazil,480,natural_gas,CCGT,2001,16,0,gas
Brazil,484,natural_gas,CCGT,2001,16,2627965,gas
Brazil,490,natural_gas,CCGT,2001,16,540505,gas
Brazil,520,natural_gas,CCGT,2001,16,851236,gas
Brazil,766,natural_gas,CCGT,2001,16,0,gas
Brazil,780,natural_gas,CCGT,2001,16,1790644,gas
Brazil,796,coal,subcritical,2001,16,5318100,coal
Brazil,857,coal,subcritical,2001,16,1468640,coal
Brazil,920,natural_gas,OCGT,2001,16,1269052,gas
Brazil,932,natural_gas,CCGT,2001,16,0,gas
Brazil,1040,natural_gas,CCGT,2001,16,4543482,gas
Brazil,1058,natural_gas,CCGT,2001,16,1698542,gas
Brazil,1080,coal,subcritical,2001,16,4328770,coal
Brunei,80,natural_gas,CCGT,2001,16,238236,gas
Brunei,102,natural_gas,CCGT,2001,16,165566,gas
Brunei,110,natural_gas,CCGT,2001,16,130423,gas
Brunei,120,natural_gas,CCGT,2001,16,120000,gas
Brunei,180,natural_gas,CCGT,1985,32,1450149,gas
Bulgaria,120,coal,subcritical,1951,66,355352,coal
Bulgaria,400,coal,subcritical,1964,53,1467633,coal
Bulgaria,630,coal,subcritical,1964,53,1160895,coal
Bulgaria,670,lignite,subcritical,1964,53,1112220,coal
Bulgaria,840,lignite,subcritical,1964,53,6576326,coal
Bulgaria,908,lignite,subcritical,1980,37,2809416,coal
Bulgaria,1260,anthracite,subcritical,1980,37,10100000,coal
Bulgaria,1450,lignite,supercritical,1980,37,2884990,coal
Burkina_Faso,22,lignite,supercritical,2000,17,123434,oil
Canada,18,natural_gas,OCGT,2000,17,28066,gas
Canada,30,natural_gas,OCGT,1956,61,99208,gas
Canada,30,natural_gas,OCGT,1956,61,2050,oil
Canada,36,natural_gas,CCGT,1956,61,43085,gas
Canada,40,natural_gas,subcritical,1956,61,129996,gas
Canada,40,natural_gas,cogeneration,1956,61,129996,gas
Canada,40,natural_gas,CCGT,1956,61,129996,gas
Canada,43,natural_gas,CCGT,1956,61,22828,gas
Canada,44,natural_gas,OCGT,1956,61,37782,gas
Canada,45,natural_gas,OCGT,1956,61,37782,gas
Canada,45,natural_gas,CCGT,1956,61,37782,gas
Canada,46,natural_gas,CCGT,1956,61,37782,gas
Canada,46,natural_gas,OCGT,1956,61,37782,gas
Canada,47,natural_gas,OCGT,1956,61,28106,gas
Canada,50,natural_gas,cogeneration,1976,41,128060,gas
Canada,50,natural_gas,OCGT,1976,41,40818,oil
Canada,57,coal,subcritical,1976,41,537819,coal
Canada,66,oil,engine,1976,41,44123,oil
Canada,68,natural_gas,CCGT,1976,41,59535,gas
Canada,79,natural_gas,OCGT,1976,41,171992,gas
Canada,80,natural_gas,cogeneration,1976,41,238236,gas
Canada,80,natural_gas,CCGT,1976,41,238236,gas
Canada,84,natural_gas,cogeneration,1976,41,190778,gas
Canada,85,natural_gas,cogeneration,1976,41,190778,gas
Canada,88,natural_gas,CCGT,1976,41,583103,gas
Canada,90,natural_gas,cogeneration,1976,41,157902,gas
Canada,90,natural_gas,CCGT,1976,41,157902,gas
Canada,94,natural_gas,OCGT,1976,41,84329,gas
Canada,100,natural_gas,CCGT,1976,41,426830,gas
Canada,102,natural_gas,CCGT,1976,41,165566,gas
Canada,105,subbituminous,subcritical,1976,41,546045,coal
Canada,108,natural_gas,CCGT,1976,41,377674,gas
Canada,110,natural_gas,CCGT,1976,41,130423,gas
Canada,111,natural_gas,CCGT,1976,41,130423,gas
Canada,118,natural_gas,cogeneration,1976,41,304008,gas
Canada,120,natural_gas,CCGT,1976,41,120000,gas
Canada,120,natural_gas,OCGT,1976,41,120000,gas
Canada,126,natural_gas,subcritical,1976,41,506470,gas
Canada,132,oil,engine,1976,41,236260,oil
Canada,138,natural_gas,OCGT,1976,41,522767,gas
Canada,150,bituminous,subcritical,1976,41,1051001,coal
Canada,154,bituminous,subcritical,1973,44,843963,coal
Canada,160,natural_gas,CCGT,1973,44,308983,gas
Canada,162,natural_gas,OCGT,1976,41,203071,gas
Canada,165,natural_gas,OCGT,1990,27,22800000,coal
Canada,165,natural_gas,cogeneration,1990,27,949797,gas
Canada,170,natural_gas,cogeneration,1990,27,108033,gas
Canada,170,natural_gas,CCGT,1990,27,108033,gas
Canada,172,natural_gas,CCGT,2003,14,2376195,gas
Canada,192,bituminous,subcritical,2003,14,675409,coal
Canada,220,natural_gas,CCGT,2003,14,1153882,gas
Canada,230,coal,subcritical,1985,32,684135,coal
Canada,243,natural_gas,OCGT,1985,32,323059,gas
Canada,250,natural_gas,CCGT,1985,32,159382,gas
Canada,260,natural_gas,OCGT,1985,32,759984,gas
Canada,260,natural_gas,CCGT,1985,32,759984,gas
Canada,263,oil,subcritical,1985,32,1004406,oil
Canada,265,natural_gas,CCGT,1985,32,857084,gas
Canada,279,lignite,subcritical,1985,32,1550877,coal
Canada,300,natural_gas,CCGT,1985,32,796145,gas
Canada,300,oil,subcritical,1985,32,2145390,oil
Canada,309,natural_gas,OCGT,1985,32,1027330,gas
Canada,310,coal,subcritical,1985,32,26500,coal
Canada,350,oil,subcritical,1985,32,2426218,oil
Canada,386,natural_gas,CCGT,1985,32,181066,gas
Canada,399,oil,OCGT,1985,32,1259662,oil
Canada,400,natural_gas,CCGT,1985,32,1093263,gas
Canada,411,natural_gas,OCGT,1992,25,366238,gas
Canada,450,bituminous,subcritical,1992,25,2675795,coal
Canada,456,natural_gas,OCGT,1992,25,1333567,gas
Canada,480,natural_gas,CCGT,1992,25,0,gas
Canada,490,oil,subcritical,1992,25,2202695,oil
Canada,550,natural_gas,CCGT,2008,9,1695178,gas
Canada,550,natural_gas,CCGT,2008,9,0,gas
Canada,570,natural_gas,CCGT,2008,9,1913109,gas
Canada,575,natural_gas,CCGT,2008,9,1913109,gas
Canada,582,lignite,subcritical,2008,9,3930953,coal
Canada,600,bituminous,subcritical,2008,9,3402101,coal
Canada,600,oil,subcritical,2008,9,1227512,oil
Canada,615,natural_gas,CCGT,2008,9,1850903,gas
Canada,642,natural_gas,CCGT,2008,9,3564000,gas
Canada,670,subbituminous,subcritical,2008,9,1112220,coal
Canada,760,coal,subcritical,2008,9,3232147,coal
Canada,780,natural_gas,CCGT,2008,9,1790644,gas
Canada,813,coal,subcritical,1959,58,6203511,coal
Canada,875,natural_gas,CCGT,1959,58,33898,gas
Canada,950,natural_gas,CCGT,1962,55,749469,gas
Canada,1030,natural_gas,CCGT,1962,55,5952623,gas
Canada,1050,oil,subcritical,1962,55,2930864,oil
