Year      Month     Day      Hour      X(m)      Y(m)      Z(m)      O3        NO        NO2       H2O2      N2O5      HNO3      HONO      SO2       Sulphate  CO        C2H6      HCHO      CH3CHO    C2H4      PAN       nC4H10    CH3COC2H5 C3H6      oXylene   isoprene  PM2.5     PM10      
2020  5  6 12  370628.312  137794.703      10.000   0.3069028E+00   0.2420759E+03   0.1238697E+02   0.1327625E-04   0.8715152E-07   0.1789171E-02   0.1006143E+00   0.1146397E+02   0.1576336E-03   0.1868419E+02   0.1994674E+01   0.1603550E+01   0.1741245E+01   0.3479622E+01   0.7326213E-05   0.2504933E+02   0.1064408E+00   0.5516832E+01   0.1316338E+02   0.0000000E+00   0.1073662E-01   0.1097549E-01
2020  5  6 12  370628.312  139794.703      10.000   0.3079884E+00   0.5117350E+03   0.2644847E+02   0.4245242E-04   0.1956670E-06   0.7302179E-02   0.2999074E+00   0.2423995E+02   0.6239244E-03   0.3952764E+02   0.4218547E+01   0.3384015E+01   0.3684399E+01   0.7358760E+01   0.2924219E-04   0.5296604E+02   0.2257535E+00   0.1166346E+02   0.2782758E+02   0.0000000E+00   0.2275021E-01   0.2309442E-01
2020  5  6 12  370628.312  141794.703      10.000   0.2976581E+00   0.1809296E+03   0.9178697E+01   0.2444441E-04   0.6863544E-07   0.4411446E-02   0.1341117E+00   0.8588296E+01   0.3815654E-03   0.1397176E+02   0.1490678E+01   0.1189824E+01   0.1304920E+01   0.2599279E+01   0.1615372E-04   0.1876033E+02   0.8036007E-01   0.4125255E+01   0.9869632E+01   0.0000000E+00   0.8866134E-02   0.8934981E-02
2020  5  6 12  370628.312  143794.703      10.000   0.2764140E+00   0.5387600E+02   0.2558782E+01   0.8479589E-05   0.1536258E-07   0.1608727E-02   0.3825357E-01   0.2559742E+01   0.1485518E-03   0.4151731E+01   0.4429364E+00   0.3524169E+00   0.3886376E+00   0.7720243E+00   0.5213663E-05   0.5589595E+01   0.2403788E-01   0.1227288E+01   0.2945383E+01   0.0000000E+00   0.2898001E-02   0.2915308E-02
2020  5  6 12  370628.312  145794.703      10.000   0.1806512E+00   0.9336805E+01   0.3117056E+00   0.1348698E-05   0.9474201E-09   0.2667139E-03   0.6383216E-02   0.4398103E+00   0.3171141E-04   0.7134214E+00   0.7607913E-01   0.6027109E-01   0.6679803E-01   0.1325891E+00   0.7851037E-06   0.9603446E+00   0.4142686E-02   0.2107782E+00   0.5060881E+00   0.0000000E+00   0.4993690E-03   0.5019358E-03
2020  5  6 12  370628.312  147794.703      10.000   0.1210144E-01   0.2580548E+00   0.2933037E-02   0.2118879E-07   0.6892119E-12   0.4869099E-05   0.1545213E-03   0.1192312E-01   0.9831964E-06   0.1942604E-01   0.2070471E-02   0.1637712E-02   0.1813520E-02   0.3609748E-02   0.1259665E-07   0.2604518E-01   0.1122352E-03   0.5724423E-02   0.1369477E-01   0.0000000E+00   0.1172263E-04   0.1200231E-04
2020  5  6 12  370628.312  149794.703      10.000   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
2020  5  6 12  372628.312  131794.703      10.000   0.1145275E-01   0.4061707E+00   0.2770157E-02   0.1357949E-07   0.1006944E-12   0.4654370E-05   0.2558352E-03   0.1870169E-01   0.1000759E-05   0.3050125E-01   0.3252555E-02   0.2588967E-02   0.2845077E-02   0.5672313E-02   0.1467777E-07   0.4086029E-01   0.1754065E-03   0.8990175E-02   0.2146982E-01   0.0000000E+00   0.1881657E-04   0.1877263E-04
2020  5  6 12  372628.312  133794.703      10.000   0.6135528E-02   0.7182767E-02   0.6555756E-04   0.1371386E-07   0.5056976E-12   0.7092861E-06   0.9937547E-05   0.3203315E-03   0.5850618E-06   0.5239543E-03   0.5574413E-04   0.4347345E-04   0.4887658E-04   0.9718165E-04   0.4094419E-09   0.6998638E-03   0.3050731E-05   0.1538032E-03   0.3673979E-03   0.0000000E+00   0.3616087E-06   0.3458543E-06
2020  5  6 12  372628.312  135794.703      10.000   0.1582992E+00   0.8255555E+01   0.3088203E+00   0.7057811E-06   0.1082673E-08   0.1504693E-03   0.5501974E-02   0.3880208E+00   0.1512573E-04   0.6321952E+00   0.6745757E-01   0.5397414E-01   0.5897866E-01   0.1176507E+00   0.5676540E-06   0.8477483E+00   0.3623793E-02   0.1865623E+00   0.4456154E+00   0.0000000E+00   0.3768019E-03   0.3822113E-03
2020  5  6 12  372628.312  137794.703      10.000   0.2620821E+00   0.4038160E+02   0.1770743E+01   0.3949658E-05   0.9988740E-08   0.5067025E-03   0.2292778E-01   0.1907997E+01   0.5459370E-04   0.3105694E+01   0.3313550E+00   0.2643530E+00   0.2897033E+00   0.5778583E+00   0.2000765E-05   0.4168149E+01   0.1777660E-01   0.9169854E+00   0.2192373E+01   0.0000000E+00   0.1950177E-02   0.1970378E-02
2020  5  6 12  372628.312  139794.703      10.000   0.3038033E+00   0.3693064E+03   0.1895730E+02   0.3497235E-04   0.1341079E-06   0.6478552E-02   0.2330778E+00   0.1748733E+02   0.5597882E-03   0.2852536E+02   0.3043858E+01   0.2439145E+01   0.2659030E+01   0.5309567E+01   0.2343035E-04   0.3821149E+02   0.1631211E+00   0.8413958E+01   0.2007301E+02   0.0000000E+00   0.1634480E-01   0.1655881E-01
2020  5  6 12  372628.312  141794.703      10.000   0.3029449E+00   0.3027646E+03   0.1558037E+02   0.3125070E-04   0.1079944E-06   0.5632651E-02   0.1637920E+00   0.1437359E+02   0.4864785E-03   0.2338013E+02   0.2495325E+01   0.1997908E+01   0.2183146E+01   0.4351422E+01   0.1956016E-04   0.3139876E+02   0.1341637E+00   0.6906335E+01   0.1651819E+02   0.0000000E+00   0.1449592E-01   0.1473154E-01
2020  5  6 12  372628.312  143794.703      10.000   0.2882941E+00   0.8244124E+02   0.4035050E+01   0.1235396E-04   0.2777648E-07   0.2293790E-02   0.5856929E-01   0.3919098E+01   0.2075716E-03   0.6358484E+01   0.6784340E+00   0.5404049E+00   0.5949887E+00   0.1182576E+01   0.7553902E-05   0.8558384E+01   0.3675508E-01   0.1879624E+01   0.4508910E+01   0.0000000E+00   0.4361016E-02   0.4391575E-02
