fc,x,y,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15
Ang Mo Kio Ave 10,103.8563087,1.368251303,985,1023.411837,1061.823673,1100.23551,1138.647347,1177.059183,1215.47102,1253.882857,1292.294693,1330.70653,1369.118367,1407.530203,1445.94204,1484.353877,1522.765713
Sims Place,103.8793099,1.317035026,1053,1094.063618,1135.127237,1176.190855,1217.254473,1258.318091,1299.38171,1340.445328,1381.508946,1422.572565,1463.636183,1504.699801,1545.763419,1586.827038,1627.890656
Eunos Crescent,103.9042565,1.320331265,810,841.587399,873.174797,904.762196,936.349595,967.936993,999.524392,1031.111791,1062.699189,1094.286588,1125.873987,1157.461386,1189.048784,1220.636183,1252.223582
Jalan Batu,103.8839098,1.302345334,538.4,559.395871,580.391742,601.387613,622.383484,643.379355,664.375226,685.371096,706.366967,727.362838,748.358709,769.35458,790.350451,811.346322,832.342193
Woodlands Centre Road,103.7700768,1.441084221,780,810.417495,840.83499,871.252485,901.66998,932.087475,962.50497,992.922465,1023.33996,1053.757455,1084.17495,1114.592445,1145.00994,1175.427435,1205.84493
West Coast Drive,103.759042,1.311891013,235.3,244.475944,253.651889,262.827833,272.003777,281.179722,290.355666,299.53161,308.707555,317.883499,327.059443,336.235388,345.411332,354.587276,363.763221
West Coast Drive,103.7597514,1.311803092,235.3,244.475944,253.651889,262.827833,272.003777,281.179722,290.355666,299.53161,308.707555,317.883499,327.059443,336.235388,345.411332,354.587276,363.763221
Jurong West Street 52,103.7184414,1.349674258,1532.2,1591.950879,1651.701759,1711.452638,1771.203517,1830.954397,1890.705276,1950.456155,2010.207035,2069.957914,2129.708793,2189.459673,2249.210552,2308.961431,2368.712311
Marine Terrace,103.915737,1.305729738,889.8,924.499342,959.198685,993.898027,1028.59737,1063.296712,1097.996054,1132.695397,1167.394739,1202.094082,1236.793424,1271.492766,1306.192109,1340.891451,1375.590794
Old Airport Road,103.8857317,1.308109821,1696.2,1762.346353,1828.492705,1894.639058,1960.785411,2026.931763,2093.078116,2159.224469,2225.370821,2291.517174,2357.663527,2423.809879,2489.956232,2556.102584,2622.248937
Bedok North Street 3,103.930456,1.333009477,999.3,1038.269491,1077.238981,1116.208472,1155.177963,1194.147454,1233.116944,1272.086435,1311.055926,1350.025417,1388.994907,1427.964398,1466.933889,1505.90338,1544.87287
Hougang Avenue 9,103.8828942,1.375148977,400,415.598715,431.197431,446.796146,462.394862,477.993577,493.592292,509.191008,524.789723,540.388439,555.987154,571.585869,587.184585,602.7833,618.382016
Bukit Panjang Ring Road,103.7724897,1.377600588,396.5,411.962227,427.424453,442.88668,458.348907,473.811133,489.27336,504.735586,520.197813,535.66004,551.122266,566.584493,582.04672,597.508946,612.971173
Telok Blangah Drive,103.8076216,1.273364915,400,415.598715,431.197431,446.796146,462.394862,477.993577,493.592292,509.191008,524.789723,540.388439,555.987154,571.585869,587.184585,602.7833,618.382016
Teban Gardens Road,103.7427481,1.320831094,634.4,659.139563,683.879125,708.618688,733.35825,758.097813,782.837376,807.576938,832.316501,857.056064,881.795626,906.535189,931.274751,956.014314,980.753877
Tampines Avenue 4,103.9403811,1.353547396,410,425.988683,441.977367,457.96605,473.954733,489.943416,505.9321,521.920783,537.909466,553.89815,569.886833,585.875516,601.864199,617.852883,633.841566
Ang Mo Kio Ave 10,103.854458,1.372772089,985,1023.411837,1061.823673,1100.23551,1138.647347,1177.059183,1215.47102,1253.882857,1292.294693,1330.70653,1369.118367,1407.530203,1445.94204,1484.353877,1522.765713
Bedok North Street 3,103.9246213,1.33206727,999.3,1038.269491,1077.238981,1116.208472,1155.177963,1194.147454,1233.116944,1272.086435,1311.055926,1350.025417,1388.994907,1427.964398,1466.933889,1505.90338,1544.87287
New Upper Changi Road,103.9411253,1.324200878,1409.6,1464.569873,1519.539746,1574.509619,1629.479492,1684.449365,1739.419238,1794.389111,1849.358985,1904.328858,1959.298731,2014.268604,2069.238477,2124.20835,2179.178223
Tanjong Pagar Plaza,103.843167,1.276614652,859,892.498241,925.996483,959.494724,992.992965,1026.491207,1059.989448,1093.487689,1126.985931,1160.484172,1193.982413,1227.480655,1260.978896,1294.477137,1327.975378
Ang Mo Kio Ave 4,103.8406281,1.380987609,1840,1911.754091,1983.508182,2055.262273,2127.016363,2198.770454,2270.524545,2342.278636,2414.032727,2485.786818,2557.540908,2629.294999,2701.04909,2772.803181,2844.557272
Bedok Reservoir Road,103.914054,1.333159298,906.1,941.43499,976.76998,1012.10497,1047.43996,1082.77495,1118.10994,1153.44493,1188.77992,1224.114911,1259.449901,1294.784891,1330.119881,1365.454871,1400.789861
Empress Road,103.8056364,1.316245752,851.6,884.809665,918.01933,951.228995,984.43866,1017.648325,1050.857991,1084.067656,1117.277321,1150.486986,1183.696651,1216.906316,1250.115981,1283.325646,1316.535311
Ang Mo Kio Ave 6,103.8465103,1.372172584,843,875.874293,908.748585,941.622878,974.497171,1007.371464,1040.245756,1073.120049,1105.994342,1138.868634,1171.742927,1204.61722,1237.491512,1270.365805,1303.240098
Clementi West Street 2,103.7642508,1.303810733,1333.5,1385.502217,1437.504435,1489.506652,1541.50887,1593.511087,1645.513305,1697.515522,1749.51774,1801.519957,1853.522175,1905.524392,1957.52661,2009.528827,2061.531045
Lorong 4 Toa Payoh,103.8520035,1.334550746,624.5,648.853494,673.206989,697.560483,721.913978,746.267472,770.620967,794.974461,819.327955,843.68145,868.034944,892.388439,916.741933,941.095427,965.448922
Market Street,103.8499837,1.283885416,760,789.637559,819.275119,848.912678,878.550237,908.187796,937.825356,967.462915,997.100474,1026.738033,1056.375593,1086.013152,1115.650711,1145.28827,1174.92583
Kadayanallur Street,103.8444748,1.28053791,1030,1070.166692,1110.333384,1150.500076,1190.666769,1230.833461,1271.000153,1311.166845,1351.333537,1391.500229,1431.666922,1471.833614,1512.000306,1552.166998,1592.33369
Haig Road,103.8955878,1.315109096,1105.6,1148.714849,1191.829699,1234.944548,1278.059397,1321.174247,1364.289096,1407.403946,1450.518795,1493.633644,1536.748494,1579.863343,1622.978192,1666.093042,1709.207891
Ang Mo Kio Ave 4,103.8389772,1.374282618,1840,1911.754091,1983.508182,2055.262273,2127.016363,2198.770454,2270.524545,2342.278636,2414.032727,2485.786818,2557.540908,2629.294999,2701.04909,2772.803181,2844.557272
Commonwealth Drive,103.7978355,1.299730723,400,415.598715,431.197431,446.796146,462.394862,477.993577,493.592292,509.191008,524.789723,540.388439,555.987154,571.585869,587.184585,602.7833,618.382016
Marsiling Lane,103.7769672,1.443404823,1285.1,1335.214773,1385.329546,1435.444319,1485.559092,1535.673865,1585.788637,1635.90341,1686.018183,1736.132956,1786.247729,1836.362502,1886.477275,1936.592048,1986.706821
Boon Lay Place,103.7128007,1.345224063,1472,1529.403273,1586.806545,1644.209818,1701.613091,1759.016363,1816.419636,1873.822909,1931.226181,1988.629454,2046.032727,2103.435999,2160.839272,2218.242545,2275.645817
