confidence,ssp_scenario,quantile,projectionreferenceyear,projectionyear,sealevelriseinmeters
low,ssp126,83,2014,2090,0.74
low,ssp126,83,2014,2100,0.862
low,ssp126,83,2014,2110,0.983
low,ssp126,83,2014,2120,1.107
low,ssp126,83,2014,2130,1.229
low,ssp126,83,2014,2140,1.353
low,ssp126,83,2014,2150,1.482
low,ssp126,95,2014,2020,0.115
low,ssp126,95,2014,2030,0.194
low,ssp126,95,2014,2040,0.308
low,ssp126,95,2014,2050,0.436
low,ssp126,95,2014,2060,0.563
low,ssp126,95,2014,2070,0.697
low,ssp126,95,2014,2080,0.851
low,ssp126,95,2014,2090,1.015
low,ssp126,95,2014,2100,1.194
low,ssp126,95,2014,2110,1.372
low,ssp126,95,2014,2120,1.546
low,ssp126,95,2014,2130,1.724
low,ssp126,95,2014,2140,1.898
low,ssp126,95,2014,2150,2.079
low,ssp585,5,2014,2020,0.005
low,ssp585,5,2014,2030,0.039
low,ssp585,5,2014,2040,0.073
low,ssp585,5,2014,2050,0.126
low,ssp585,5,2014,2060,0.173
low,ssp585,5,2014,2070,0.24
low,ssp585,5,2014,2080,0.313
low,ssp585,5,2014,2090,0.402
low,ssp585,5,2014,2100,0.492
low,ssp585,5,2014,2110,0.491
low,ssp585,5,2014,2120,0.564
low,ssp585,5,2014,2130,0.632
low,ssp585,5,2014,2140,0.696
low,ssp585,5,2014,2150,0.755
low,ssp585,17,2014,2020,0.022
low,ssp585,17,2014,2030,0.061
low,ssp585,17,2014,2040,0.105
low,ssp585,17,2014,2050,0.163
low,ssp585,17,2014,2060,0.22
low,ssp585,17,2014,2070,0.299
low,ssp585,17,2014,2080,0.383
low,ssp585,17,2014,2090,0.485
low,ssp585,17,2014,2100,0.597
low,ssp585,17,2014,2110,0.614
low,ssp585,17,2014,2120,0.702
low,ssp585,17,2014,2130,0.788
low,ssp585,17,2014,2140,0.865
low,ssp585,17,2014,2150,0.938
low,ssp585,50,2014,2020,0.05
low,ssp585,50,2014,2030,0.099
low,ssp585,50,2014,2040,0.162
low,ssp585,50,2014,2050,0.24
low,ssp585,50,2014,2060,0.325
low,ssp585,50,2014,2070,0.436
low,ssp585,50,2014,2080,0.57
low,ssp585,50,2014,2090,0.73
low,ssp585,50,2014,2100,0.919
low,ssp585,50,2014,2110,1.101
low,ssp585,50,2014,2120,1.317
low,ssp585,50,2014,2130,1.554
low,ssp585,50,2014,2140,1.814
low,ssp585,50,2014,2150,2.105
low,ssp585,83,2014,2020,0.084
low,ssp585,83,2014,2030,0.164
low,ssp585,83,2014,2040,0.281
low,ssp585,83,2014,2050,0.422
low,ssp585,83,2014,2060,0.604
low,ssp585,83,2014,2070,0.831
low,ssp585,83,2014,2080,1.098
low,ssp585,83,2014,2090,1.404
low,ssp585,83,2014,2100,1.735
low,ssp585,83,2014,2110,2.05
low,ssp585,83,2014,2120,2.357
low,ssp585,83,2014,2130,3.094
low,ssp585,83,2014,2140,4.14
low,ssp585,83,2014,2150,5.279
low,ssp585,95,2014,2020,0.102
low,ssp585,95,2014,2030,0.212
low,ssp585,95,2014,2040,0.383
low,ssp585,95,2014,2050,0.583
low,ssp585,95,2014,2060,0.825
low,ssp585,95,2014,2070,1.135
low,ssp585,95,2014,2080,1.519
low,ssp585,95,2014,2090,1.963
low,ssp585,95,2014,2100,2.488
low,ssp585,95,2014,2110,3.084
low,ssp585,95,2014,2120,3.737
low,ssp585,95,2014,2130,4.454
low,ssp585,95,2014,2140,5.185
low,ssp585,95,2014,2150,5.992
